dataset,video,video_id,video_tag,method,qp,bytes,bitstream_path,bitstream_sha256,real_rans
uvg,Bosphorus,1,uvg_01,beta_mid,3,49959,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/beta_mid_qp3.bin,d420f68d909ace10156c6ecd0b6dc8f9c1fd716d94584fe02b4bf979f1df4313,True
uvg,Bosphorus,1,uvg_01,beta_high,0,17487,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/beta_high_qp0.bin,369d059b7bcbb6a38d526979be4413fdb7abc7a69b494f052935aeba0318793e,True
uvg,Bosphorus,1,uvg_01,beta_high,1,22494,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/beta_high_qp1.bin,8b86c16a5d1b6c92afb6a866933a02819e46a6a3ae39d6de07ae4b18215f68a3,True
uvg,Bosphorus,1,uvg_01,beta_high,2,29321,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/beta_high_qp2.bin,4fc695b1630fdd97a0ea4fa9c9f2500a14af102651f6404124582eaffdb004f4,True
uvg,Bosphorus,1,uvg_01,beta_high,3,38934,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/beta_high_qp3.bin,02a5ffc0276e744992e224c6d96a58bd06fa25a29149ee30d9a8dc2a9608ba7d,True
uvg,HoneyBee,2,uvg_02,original,0,26780,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/original_qp0.bin,6f053a241701be293e873e0e968b6650ddcd3d670a1ac1a08e8084ff4b3c0a0c,True
uvg,HoneyBee,2,uvg_02,original,1,32959,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/original_qp1.bin,cf828e9a25441688a83c5401bda9da2c84e4ddc89a3b14fbe093e54090ab40e2,True
uvg,HoneyBee,2,uvg_02,original,2,41126,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/original_qp2.bin,3a4dce1cf7ea065e27fd1831dea3685a5c1fee39f4531b7e34fd45a9e81ea781,True
uvg,HoneyBee,2,uvg_02,original,3,50898,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/original_qp3.bin,628e4d96b73f18884485a02fed4930ab4024333b83fcfef4297ee768a86ed2bd,True
uvg,HoneyBee,2,uvg_02,stage_a,0,27448,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/stage_a_qp0.bin,e7437bee033bfc2569df92e4d0938d380a43e8884beab91bc9e055b7b742d3ae,True
