dataset,video,video_id,video_tag,test_group,method,stage,beta,checkpoint,checkpoint_sha256,qp,num_frames,fps,bytes,bits,bpp,kbps,total_pixel_SSE,aggregate_MSE,PSNR,SSIM,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,state_sync_pass,compression_hash_before,compression_hash_after,bytes_consumed,decode_status,independent_decode_pass,finite
uvg,Bosphorus,1,uvg_01,original_v2_test,original,original,none,,,0,64,120.0,26465,211720,0.0015953534915123457,396.975,839929.4267578125,0.0021096799918162968,26.757834159479383,0.9573225565254688,0.8564465092495084,0.16794015024788678,0.09777263924479485,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/original_qp0.bin,20e438748adacbe30e028e0a581f3e4ecd55448af272ba5306a603e3cc4fcba3,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,26465,PASS,True,True
uvg,Bosphorus,1,uvg_01,original_v2_test,original,original,none,,,1,64,120.0,34338,274704,0.002069950810185185,515.07,717964.9462890625,0.0018033375587973575,27.439229720011376,0.9632799541577697,0.8753982558846474,0.146963975392282,0.09024877566844225,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/original_qp1.bin,559e8568c4c4da6ccecf1f50949a530162944e4cf4a5a98df1fa17423386b086,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,34338,PASS,True,True
uvg,Bosphorus,1,uvg_01,original_v2_test,original,original,none,,,2,64,120.0,46098,368784,0.002778862847222222,691.47,595163.43359375,0.0014948927227852276,28.25389972272042,0.9694601930677891,0.8947754735127091,0.12621307105291635,0.08265662007033825,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/original_qp2.bin,ef147669689553f61856fefe9f67fb9f9fa3d959f3cf43c27b7e2b74df8b6dc7,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,46098,PASS,True,True
uvg,Bosphorus,1,uvg_01,original_v2_test,original,original,none,,,3,64,120.0,60395,483160,0.0036407093942901233,905.925,521505.3798828125,0.0013098832241301673,28.827674198987722,0.9731766218319535,0.9079901361837983,0.11266664904542267,0.0789403673261404,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/original_qp3.bin,34875667fe01b1b2403d786948c1cdbbcf3d598bae2d15be7afc1b04f8af0586,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,60395,PASS,True,True
uvg,Bosphorus,1,uvg_01,original_v2_test,stage_a,stage_a,none,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/joint_warmup/step_2000.pt,cd6fe50847ad17772a65966216317bbab203b97f13626150fc6f9dc1c4ecf949,0,64,120.0,27237,217896,0.0016418909143518518,408.555,994315.2998046875,0.002497456365652045,26.02502090818529,0.9508244087919593,0.8486652709543705,0.19205929734744132,0.1143463458865881,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/stage_a_qp0.bin,59e0c0e778644f49ff76d6f415c9fbfdbb5e92cc747dc0ca269abaa5d8141347,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,27237,PASS,True,True
uvg,Bosphorus,1,uvg_01,original_v2_test,stage_a,stage_a,none,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/joint_warmup/step_2000.pt,cd6fe50847ad17772a65966216317bbab203b97f13626150fc6f9dc1c4ecf949,1,64,120.0,34898,279184,0.0021037085262345678,523.47,867085.1103515625,0.0021778878679981936,26.61964484342991,0.9567759269848466,0.8681187555193901,0.16974432743154466,0.10657928045839071,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/stage_a_qp1.bin,0ceabedd88351aa8b5afc0177ab44962a97ceeb9edcd8d6224c93b69957b0b7e,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,34898,PASS,True,True
uvg,Bosphorus,1,uvg_01,original_v2_test,stage_a,stage_a,none,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/joint_warmup/step_2000.pt,cd6fe50847ad17772a65966216317bbab203b97f13626150fc6f9dc1c4ecf949,2,64,120.0,47730,381840,0.0028772424768518517,715.95,721063.6279296875,0.0018111206253860223,27.42052623570572,0.9637950537726283,0.8884964818134904,0.14625211735256016,0.09642473794519901,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/stage_a_qp2.bin,91312e4a898b6ebc5ac83277429155c375aff3e8270a997a691d12fc553a0bba,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,47730,PASS,True,True
uvg,Bosphorus,1,uvg_01,original_v2_test,stage_a,stage_a,none,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/joint_warmup/step_2000.pt,cd6fe50847ad17772a65966216317bbab203b97f13626150fc6f9dc1c4ecf949,3,64,120.0,62710,501680,0.0037802613811728394,940.65,640139.5771484375,0.0016078608688503626,27.93751534259687,0.9677068693563342,0.902272917330265,0.1299856536788866,0.09074398316442966,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/stage_a_qp3.bin,fbc9af9a44cbc81e324e801c29f541399e0b9720f26dd6909e8ac164a1d549b5,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,62710,PASS,True,True
uvg,Bosphorus,1,uvg_01,original_v2_test,beta_low,rate,beta_low,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_low/step_5000.pt,df342823a9a3952b2784fd8665032eb195834ba52a6cec8ebe6bf1595a7c1241,0,64,120.0,24977,199816,0.0015056544174382716,374.655,1117126.359375,0.0028059251808825836,25.519239134798063,0.9468520665541291,0.838098781183362,0.18205428728833795,0.11326129734516144,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/beta_low_qp0.bin,37aadb856d481b0d1afc95baf1cf47f84602893d35d3f756078a943ee685f086,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,24977,PASS,True,True
uvg,Bosphorus,1,uvg_01,original_v2_test,beta_low,rate,beta_low,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_low/step_5000.pt,df342823a9a3952b2784fd8665032eb195834ba52a6cec8ebe6bf1595a7c1241,1,64,120.0,32517,260136,0.0019601779513888887,487.755,949809.052734375,0.002385668474950908,26.223899083199285,0.9545561317354441,0.861036847345531,0.1590606973040849,0.10522548295557499,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/beta_low_qp1.bin,9211d08ca20a55e43fa61a9a37eac6beca5092ecbfb603cc25149f7ca7eff738,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,32517,PASS,True,True
