dataset,video,video_id,qp,granularity,frame,trajectory_id,parent_trajectory_id,cumulative_actual_bytes,baseline_prefix_bytes,prefix_rate_ratio,cumulative_RGB_MSE,number_1x_tiles,number_2x_tiles,modified_frames,beam_rank,bitstream_hash,DPB_state_hash
uvg,HoneyBee,2,1,G4,48,uvg_02_qp1_G4_T3800,uvg_02_qp1_G4_T3767,23606,23722,0.9951100244498777,0.05160338879795745,22950,1530,3,7,00e0d728d107824811afbd6a67691e47f99846a1bbe8b9ab0dbc635b43042ca6,36e8b004d397bef9d03550618940d0bdfe3a061e8b9904ee854201976d816308
uvg,HoneyBee,2,1,G4,48,uvg_02_qp1_G4_T3802,uvg_02_qp1_G4_T3767,23599,23722,0.9948149397184048,0.051610018766950816,22695,1785,4,8,4d8b58c859d5bb3fbbcc3f54d86be2d872ffffcdec00a93374be29086467dd17,9fed1d4d55ffdbfd5348f8b526e6f956023904053ee27846c2df2ecbc5fb53e7
uvg,HoneyBee,2,1,G4,48,uvg_02_qp1_G4_T3803,uvg_02_qp1_G4_T3767,23569,23722,0.9935502908692353,0.05161075800424442,22593,1887,4,9,093a314958717f10dfec22e4c22388f460280977c786f75e1d01938af4bba9dc,98fbf1024c5c9748aa9c82b2f933f3bd41f127fc308fe1a44b9b1ae2ac34a0b0
uvg,HoneyBee,2,1,G4,48,uvg_02_qp1_G4_T3804,uvg_02_qp1_G4_T3768,23504,23722,0.9908102183627013,0.0516900725197047,22440,2040,4,10,ef350192abf308f2554877921a3bedab54c88854ca66c54ed5af5cca139503e6,62a116e3a379615bc32e2e0f01f99efc4ca05afb4b474a746fca917f3a5eeed8
uvg,HoneyBee,2,1,G4,48,uvg_02_qp1_G4_T3806,uvg_02_qp1_G4_T3768,23503,23722,0.9907680634010623,0.051699368515983224,22338,2142,5,11,219ca5e8e89141179eeeeb132672ebaf90ce10455523d6471ec1f52c9be11bf6,f6ffb096bc58afb6a115242bb9cc4ff41a5d37d3865c61fd385c4a5e71cc1d2d
uvg,HoneyBee,2,1,G4,48,BASELINE_PATH,BASELINE_PATH,23722,23722,1.0,0.05160174716729671,24480,0,0,-1,880e7ca1d8adc6162d4f0171cd4c543c6f5ad468fce91226de88ec3e51f4f22a,3e791962870e3827134a9b75b133e119e2d1ed7e2fe940fc7e8a804fd64e58c5
uvg,HoneyBee,2,1,G4,49,uvg_02_qp1_G4_T3832,uvg_02_qp1_G4_T3794,24035,24039,0.9998336037272765,0.05269434966612607,24123,867,2,0,06afea8ec704eb8467d26820930ffa023496bd41fb5eaa488eb113f33532ebc4,ce4f882c80f39a5ee3f8b8044046d11dcc6d68d06b345029ed93dc477f57183f
uvg,HoneyBee,2,1,G4,49,uvg_02_qp1_G4_T3836,uvg_02_qp1_G4_T3782,24326,24039,1.0119389325679105,0.05267260980326682,24021,969,5,1,8de8de835adab4143802e61798aa233d186a054767c1e1c93c419326ac78a5e0,d4fa0040dc023be4dc57abaf9b6630c268d9731ee99e82dd7e686ed2686ba9e0
uvg,HoneyBee,2,1,G4,49,uvg_02_qp1_G4_T3835,uvg_02_qp1_G4_T3782,24275,24039,1.009817380090686,0.052673340076580644,24072,918,4,2,c74b846616c7512cb5be344cb74468d509aa7260af61f66a90b2a46679698546,2244f773838fd5037a563ba848eec085242a78f517b5f20089c81bbd138be274
uvg,HoneyBee,2,1,G4,49,uvg_02_qp1_G4_T3847,uvg_02_qp1_G4_T3790,24058,24039,1.0007903822954365,0.05267616035416722,24480,510,1,3,099dfb3990e3784260cca41ef2355c836ccca8449627f5d2d0d3683bdc71694d,810802e99c6e320dcfe2fff6fb581db5c98a4cd2c10fc81f3e24167b1124e653
uvg,HoneyBee,2,1,G4,49,uvg_02_qp1_G4_T3864,uvg_02_qp1_G4_T3800,23980,24039,0.9975456549773285,0.05273085628869012,23103,1887,4,4,ed62f65c025e10f8744f0d58a0ccc17647cfcfdd7b1d26d86d9ccfde64ecb1a5,f9ec8271fbb294127723fe49c6f11bf8b6401e97c0cf06bfcfc809b538fa28e6
uvg,HoneyBee,2,1,G4,49,uvg_02_qp1_G4_T3862,uvg_02_qp1_G4_T3800,23948,24039,0.9962144847955405,0.05273239052621648,23460,1530,3,5,13dc5ea4d615f72cc1c52cae4c061ec65e9638251aff503bce2dd0ae4c9c5f72,f6f31c7d33f7d1fcb69aec5ecb29bf000cc3cd3ae9a4a0066ae3206161afa418
uvg,HoneyBee,2,1,G4,49,uvg_02_qp1_G4_T3869,uvg_02_qp1_G4_T3803,23913,24039,0.9947585174092101,0.05274887807900086,23103,1887,4,6,cdd380bd08eda337db9254738677871e9cf5e315fee60f845a596e43364bbf7f,a8219379b45d6a67b5afb2fabf90594164fa686cabaca4c4aec28df50d51b3f2
uvg,HoneyBee,2,1,G4,49,uvg_02_qp1_G4_T3872,uvg_02_qp1_G4_T3804,23904,24039,0.9943841257955822,0.05281862081028521,22950,2040,4,7,8b73a39c635e56e73f2c44ea6e17efdb11b8857b5ba9e515062343be6e64d57c,8f1d7d23751155c23aa711d62c2e5bd4a26242b2d36454d628af5892f12cc081
uvg,HoneyBee,2,1,G4,49,uvg_02_qp1_G4_T3837,uvg_02_qp1_G4_T3782,24333,24039,1.0122301260451765,0.052673455444164574,23817,1173,5,8,9ae65260fa9710839ee7fbe591c070d9c20e1a3d7c6ef39828ecb075291005e6,69f98f89883cdd65c9f1edefc5135b9f1e0b84c99670656ea179a3d4bc889728
