dataset,video,video_id,qp,frame,round,edit_type,symbol_family_1,symbol_index_1,old_value_1,new_value_1,symbol_family_2,symbol_index_2,old_value_2,new_value_2,frame_bytes_before,frame_bytes_after,delta_frame_bytes,cumulative_bytes_after,baseline_cumulative_bytes,budget_bank,RGB_MSE_before,RGB_MSE_after,PSNR_before,PSNR_after,LPIPS_before,LPIPS_after,DISTS_before,DISTS_after
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,2,1,single,w1,24502,0,-1,,,,,1508,1509,1,12347,12347,0,0.0012296944623813033,0.0012294998159632087,29.10202782695037,29.10271531932315,0.12832622230052948,0.12831147015094757,0.0676947832107544,0.06767624616622925
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,2,2,pair,w1,24592,-1,0,w1,24584,0,-1,1509,1509,0,12347,12347,0,0.0012294998159632087,0.0012293270556256175,29.10271531932315,29.103325601098557,0.12831147015094757,0.1282767355442047,0.06767624616622925,0.06764698028564453
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,2,3,pair,w0,24521,-1,0,w1,24592,0,-1,1509,1509,0,12347,12347,0,0.0012293270556256175,0.0012283208779990673,29.103325601098557,29.106881663050814,0.1282767355442047,0.12830397486686707,0.06764698028564453,0.06765848398208618
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,0,single,w1,24528,0,1,,,,,7101,7101,0,14948,14948,0,0.0009554006392136216,0.0009539331658743322,30.198144724865614,30.204820516153497,0.10319019109010696,0.10314594209194183,0.05747181177139282,0.057563960552215576
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1,single,w0,24505,1,0,,,,,7101,7101,0,14948,14948,0,0.0009539331658743322,0.0009531818795949221,30.204820516153497,30.208242223754525,0.10314594209194183,0.1031552329659462,0.057563960552215576,0.05760049819946289
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,2,single,w1,24518,0,1,,,,,7101,7101,0,14948,14948,0,0.0009531818795949221,0.0009527478250674903,30.208242223754525,30.210220339620044,0.1031552329659462,0.10314630717039108,0.05760049819946289,0.05758541822433472
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,3,single,w0,24503,1,0,,,,,7101,7101,0,14948,14948,0,0.0009527478250674903,0.0009526765206828713,30.210220339620044,30.210545381134907,0.10314630717039108,0.10315592586994171,0.05758541822433472,0.057557642459869385
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,2,0,single,w0,24485,0,1,,,,,886,886,0,5876,5876,0,0.0014783263904973865,0.001475107274018228,28.3022967017475,28.311763954010033,0.06964485347270966,0.06964503228664398,0.07399898767471313,0.07391554117202759
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,4,0,single,w1,24584,0,-1,,,,,672,673,1,7338,7338,0,0.001338456990197301,0.001332096173427999,28.733955798151808,28.75464419248825,0.06402240693569183,0.0639757364988327,0.06840747594833374,0.06848716735839844
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,4,1,single,w1,24518,0,-1,,,,,673,673,0,7338,7338,0,0.001332096173427999,0.0013315249234437943,28.75464419248825,28.756507000378026,0.0639757364988327,0.0639818012714386,0.06848716735839844,0.06845611333847046
