dataset,video,video_id,qp,frame,frame_type,actual_qp,actual_bytes,MSE,PSNR,SSIM,LPIPS,DISTS
uvg,Bosphorus,1,1,0,I,1,3910,0.0009415350505150855,30.261635078704213,0.9459484815597534,0.19369938969612122,0.18898433446884155
uvg,Bosphorus,1,1,1,P,3,3871,0.0010109045542776585,29.95289846889039,0.9402580261230469,0.17365939915180206,0.13170182704925537
uvg,Bosphorus,1,1,2,P,1,921,0.0009543300257064402,30.203014119232794,0.9427288174629211,0.1635548174381256,0.12902361154556274
uvg,Bosphorus,1,3,0,I,3,6159,0.000730058818589896,31.36642148701499,0.9597603678703308,0.14366284012794495,0.16364026069641113
uvg,Bosphorus,1,3,1,P,5,4558,0.0008027342846617103,30.95428187974488,0.9530540108680725,0.1387210190296173,0.11906570196151733
uvg,HoneyBee,2,1,0,I,1,5028,0.0014437215868383646,28.405165498119093,0.9510519504547119,0.2127966582775116,0.13843679428100586
uvg,HoneyBee,2,1,1,P,3,5114,0.000983934965915978,30.07033605712165,0.9737389087677002,0.15678617358207703,0.11995112895965576
uvg,HoneyBee,2,1,2,P,1,1212,0.0009894594550132751,30.046019971369873,0.97604900598526,0.14481380581855774,0.11861944198608398
uvg,HoneyBee,2,3,0,I,3,8070,0.0008912784396670759,30.49986599082945,0.971256673336029,0.1434057354927063,0.1141207218170166
uvg,HoneyBee,2,3,1,P,5,5636,0.0007733837701380253,31.11604946063646,0.9802129864692688,0.11719593405723572,0.10840529203414917
uvg,HoneyBee,2,3,2,P,3,1503,0.0008168438216671348,30.87860971462627,0.981480062007904,0.111323282122612,0.10995745658874512
uvg,HoneyBee,2,3,3,P,4,680,0.0008104898734018207,30.91252407037779,0.9815961718559265,0.11108922213315964,0.11243587732315063
uvg,HoneyBee,2,3,4,P,3,756,0.0007794586708769202,31.082069073974495,0.981952428817749,0.10895489156246185,0.11276078224182129
