sample,video,frame,qp,initialization,objective,step,lambda_p,checkpoint,zero_start_delta,mse,psnr,ms_ssim,lpips,delta_latent_mean,delta_latent_std,delta_latent_l2,delta_latent_rms,delta_latent_max_abs,ell_start_l2,relative_delta_l2,objective_value,transmittable,single_frame_diagnostic,kind,nondominated_psnr_lpips,dominated_by_count,mode
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ORIGINAL_START,MSE_ONLY,0,0.0,run_v1/stage_c/checkpoint.pt,2.0,0.024865779185983688,16.04397927307642,0.77127494878029,0.227483332157135,0.0,0.0,0.0,0.0,0.0,152.04595763378038,0.0,0.024865780025720596,False,True,ORACLE,False,5,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ORIGINAL_START,MSE_ONLY,25,0.0,run_v1/stage_c/checkpoint.pt,2.0,0.020253883128918054,16.934917003609833,0.7900627539870717,0.2253924161195755,-0.0009537552163329759,0.02297820064845695,8.81396120727609,0.022997985869493656,0.02691301703453064,152.04595763378038,0.057969059779316844,0.02025388367474079,False,True,ORACLE,False,3,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ORIGINAL_START,MSE_ONLY,50,0.0,run_v1/stage_c/checkpoint.pt,2.0,0.01726366024757861,17.62867119582721,0.8038578643171469,0.2279614359140396,-0.0028261686229883935,0.04216796575535772,16.197097768171076,0.04226256694795745,0.059369202703237534,152.04595763378038,0.10652764480055163,0.017263660207390785,False,True,ORACLE,False,2,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ORIGINAL_START,MSE_ONLY,100,0.0,run_v1/stage_c/checkpoint.pt,2.0,0.014060449154737652,18.520008057522965,0.8239878682065053,0.2341451793909073,-0.0073320335400111365,0.06989666059892663,26.934822441319763,0.07028016703674934,0.1330699771642685,152.04595763378038,0.17714921764770153,0.014060448855161667,False,True,ORACLE,False,1,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ORIGINAL_START,MSE_ONLY,150,0.0,run_v1/stage_c/checkpoint.pt,2.0,0.012395635871668267,19.067311898744986,0.8403324219772563,0.23723971843719482,-0.011088516414167937,0.08872255766253088,34.267387049084725,0.08941279234230631,0.2056761384010315,152.04595763378038,0.22537519301645326,0.012395637109875679,False,True,ORACLE,True,0,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ORIGINAL_START,MSE_LPIPS,0,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.024865779185983688,16.04397927307642,0.77127494878029,0.227483332157135,0.0,0.0,0.0,0.0,0.0,152.04595763378038,0.0,0.025093263015151024,False,True,ORACLE,False,5,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ORIGINAL_START,MSE_LPIPS,25,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.02025657557594539,16.934339713237968,0.7900991838961184,0.22260695695877075,-0.0009042313561995441,0.022969790439065205,8.80997377315485,0.022987581585719397,0.02694060280919075,152.04595763378038,0.05794283458935918,0.02047918364405632,False,True,ORACLE,False,2,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ORIGINAL_START,MSE_LPIPS,50,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.017268524955406588,17.627447574578035,0.8039534318500415,0.22255435585975647,-0.0027322923645653786,0.04212298399674748,16.177528531948447,0.042211505568454974,0.059271253645420074,152.04595763378038,0.10639893874004744,0.01749107986688614,False,True,ORACLE,False,1,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ORIGINAL_START,MSE_LPIPS,100,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.014063888771592032,18.518945770025866,0.8242999838860476,0.22261205315589905,-0.007123005988723147,0.06975927322360717,26.874201026177236,0.07012198952540681,0.1320512741804123,152.04595763378038,0.1767505130975382,0.014286501333117485,False,True,ORACLE,False,1,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ORIGINAL_START,MSE_LPIPS,150,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.012396144538403434,19.067133685520613,0.8408227873166695,0.2197556048631668,-0.010620495132814012,0.0885205708959485,34.16874385691037,0.08915540582943228,0.21191895008087158,152.04595763378038,0.2247264208050147,0.012615900486707687,False,True,ORACLE,True,0,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ZERO_START,MSE_ONLY,0,0.0,run_v1/stage_c/checkpoint.pt,2.0,0.01469688877315357,18.327745925756183,0.7837258139076623,0.37969109416007996,0.0,0.0,0.0,0.0,0.0,152.06971983685204,0.0,0.014696888625621796,False,True,ORACLE,False,13,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ZERO_START,MSE_ONLY,25,0.0,run_v1/stage_c/checkpoint.pt,2.0,0.013689734705276584,18.636049680201985,0.8016073619629513,0.3733035922050476,-0.0009679941053918238,0.0195701448585403,7.509412979644083,0.019594070081846816,0.02657368592917919,152.06971983685204,0.04938138235343995,0.013689735904335976,False,True,ORACLE,False,9,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ZERO_START,MSE_ONLY,50,0.0,run_v1/stage_c/checkpoint.pt,2.0,0.012861509600353533,18.907080537581244,0.8183631913228121,0.36180511116981506,-0.0001442353986937025,0.03613384810892632,13.848381097023237,0.03613413597983484,0.05882301181554794,152.06971983685204,0.0910659999366111,0.012861509807407856,False,True,ORACLE,False,7,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ZERO_START,MSE_ONLY,100,0.0,run_v1/stage_c/checkpoint.pt,2.0,0.011450989225939751,19.41156993952068,0.8470070884544652,0.33530277013778687,0.002549770324012291,0.06623079484141674,25.401706758028688,0.06627985752874735,0.13387663662433624,152.06971983685204,0.16703987345594443,0.011450989171862602,False,True,ORACLE,False,3,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ZERO_START,MSE_ONLY,150,0.0,run_v1/stage_c/checkpoint.pt,2.0,0.010284452708253785,19.878188145292512,0.8695599561210606,0.3112247586250305,0.00546366696049792,0.09324253570407946,35.79642955881464,0.09340247384936744,0.2088066041469574,152.06971983685204,0.23539485439454236,0.010284451767802238,False,True,ORACLE,False,1,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ZERO_START,MSE_LPIPS,0,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.01469688877315357,18.327745925756183,0.7837258139076623,0.37969109416007996,0.0,0.0,0.0,0.0,0.0,152.06971983685204,0.0,0.01507657952606678,False,True,ORACLE,False,13,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ZERO_START,MSE_LPIPS,25,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.013689192071802204,18.63622182918764,0.8018637638102155,0.3643910586833954,-0.0004689564650063826,0.019742198995516484,7.568317597504826,0.019747768009186335,0.026514442637562752,152.06971983685204,0.0497687350619472,0.014053582213819027,False,True,ORACLE,False,8,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ZERO_START,MSE_LPIPS,50,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.012858812197919942,18.90799146475071,0.818582567668405,0.3457210958003998,0.0009032312002238629,0.03659598566615279,14.029655847599948,0.03660713036388291,0.05899618938565254,152.06971983685204,0.09225805020652146,0.013204533606767654,False,True,ORACLE,False,6,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ZERO_START,MSE_LPIPS,100,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.011443582416818839,19.41437998243578,0.8470684434576348,0.30906057357788086,0.004539419767464596,0.06724595021135628,25.83061430541015,0.06739899221541414,0.1335088610649109,152.06971983685204,0.1698603399356724,0.011752643622457981,False,True,ORACLE,False,1,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ZERO_START,MSE_LPIPS,150,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.010275836807452057,19.881828014654264,0.8694557865833851,0.2780449092388153,0.008099830958073127,0.09456654611804194,36.3752595392704,0.0949127963250747,0.20821040868759155,152.06971983685204,0.23920120046446847,0.010553881525993347,False,True,ORACLE,True,0,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ORIGINAL_FP16,NONE,0,,,,0.024866283592519144,16.04389117659992,0.7712777039324986,0.22749066352844238,,,,,,,,,,,REFERENCE,False,8,ORIGINAL_FP16
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,REFERENCE_FP32,NONE,0,,,,0.024865779185983688,16.04397927307642,0.77127494878029,0.227483332157135,,,,,,,,,,,REFERENCE,False,5,REFERENCE_FP32
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,BASE_ONLY_C,NONE,0,,,,0.014561482178863223,18.36794416963921,0.7855932347447001,0.3779688775539398,,,,,,,,,,,REFERENCE,False,12,BASE_ONLY_C
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,0,ZERO_START_C_DELTA2,NONE,0,,,,0.01469688877315357,18.327745925756183,0.7837258139076623,0.37969109416007996,,,,,,,,,,,REFERENCE,False,13,ZERO_START_C_DELTA2
