sample,initialization,objective,step,psnr,lpips,ms_ssim,relative_delta_l2,psnr_minus_BASE_ONLY_C,lpips_minus_BASE_ONLY_C,dominates_BASE_ONLY_C,psnr_minus_REFERENCE_FP32,lpips_minus_REFERENCE_FP32,dominates_REFERENCE_FP32,psnr_minus_ORIGINAL_FP16,lpips_minus_ORIGINAL_FP16,dominates_ORIGINAL_FP16
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,ZERO_START,MSE_LPIPS,25.0,18.566183106270163,0.36342155933380127,0.7865590493914745,0.050120122508500564,0.28804134105419976,-0.01146593689918518,True,2.576502102395194,0.1296435296535492,False,2.5757742496667895,0.1296403408050537,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,ZERO_START,MSE_LPIPS,50.0,18.849527805646748,0.34619027376174927,0.8045659370193626,0.09309898525419508,0.5713860404307844,-0.028697222471237183,True,2.859846801771779,0.11241224408149719,False,2.859118949043374,0.11240905523300171,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,ZERO_START,MSE_LPIPS,100.0,19.381222783788466,0.31151705980300903,0.8357035855692413,0.17063041463152523,1.103081018572503,-0.06337043642997742,True,3.3915417799134975,0.07773903012275696,False,3.390813927185093,0.07773584127426147,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,ZERO_START,MSE_LPIPS,150.0,19.877160085238813,0.28020521998405457,0.8602201965743733,0.23964127330310073,1.59901832002285,-0.09468227624893188,True,3.8874790813638445,0.04642719030380249,False,3.8867512286354398,0.04642400145530701,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ORIGINAL_START,MSE_ONLY,0.0,27.896994104471112,0.15142160654067993,0.8950533683446825,0.0,-1.3884566922140564,-0.01647886633872986,False,0.0,0.0,False,0.004317730961240329,-0.00010083615779876709,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ORIGINAL_START,MSE_ONLY,25.0,29.607376366283486,0.1468634009361267,0.9052867650762311,0.04843244447738162,0.3219255695983172,-0.02103707194328308,True,1.7103822618123736,-0.004558205604553223,True,1.714699992773614,-0.00465904176235199,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ORIGINAL_START,MSE_ONLY,50.0,30.452649638305296,0.1435932219028473,0.9138764546406817,0.07722311962244993,1.1671988416201273,-0.0243072509765625,True,2.5556555338341838,-0.007828384637832642,True,2.559973264795424,-0.007929220795631409,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ORIGINAL_START,MSE_ONLY,100.0,31.54675006025347,0.13328471779823303,0.929290141476364,0.11547358899677936,2.2612992635683007,-0.03461575508117676,True,3.649755955782357,-0.0181368887424469,True,3.6540736867435974,-0.018237724900245667,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ORIGINAL_START,MSE_ONLY,150.0,32.37420791440234,0.12458633631467819,0.9400299471669182,0.14837781184489776,3.088757117717172,-0.0433141365647316,True,4.477213809931229,-0.02683527022600174,True,4.481531540892469,-0.026936106383800507,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ORIGINAL_START,MSE_LPIPS,0.0,27.896994104471112,0.15142160654067993,0.8950533683446825,0.0,-1.3884566922140564,-0.01647886633872986,False,0.0,0.0,False,0.004317730961240329,-0.00010083615779876709,True
