video,scope,level,delta,mode,frames,diagnostic_intervention,formal_rate_kbps,input_statistics_scope,psnr,ms_ssim,lpips,symbol_nonzero_fraction,u_hat_mean,u_hat_std,u_hat_l2,u_hat_rms,u_hat_max_abs,delta_ell_mean,delta_ell_std,delta_ell_l2,delta_ell_rms,delta_ell_max_abs,psnr_minus_zero,ms_ssim_minus_zero,lpips_minus_zero,psnr_minus_real,ms_ssim_minus_real,lpips_minus_real,psnr_minus_wrong_source,ms_ssim_minus_wrong_source,lpips_minus_wrong_source
026aa77c-d036-41b7-a998-83c1911fe2bf,P,0,0.125,WRONG_SOURCE,15,True,,P frames only; missing on I frames,33.39589369012349,0.9677462067449117,0.06991711507240932,0.13354575236638386,-0.0295812908496732,0.07934489460468964,5.40893503248657,0.0846801626561133,0.25,0.0036357921619701813,0.10226275704358333,39.217252870072315,0.10232831823695032,0.5152621547381083,-0.0016962255580817024,-3.6347245942599155e-05,0.0001843849817911784,0.06794405981544903,0.00010925805123115731,-0.0004118785262107849,0.0,0.0,0.0
026aa77c-d036-41b7-a998-83c1911fe2bf,IP,0,0.125,WRONG_SOURCE,16,True,,P frames only; missing on I frames,33.18075414269988,0.9659607468977498,0.07151055848225951,0.13354575236638386,-0.0295812908496732,0.07934489460468964,5.40893503248657,0.0846801626561133,0.25,0.0036357921619701813,0.10226275704358333,39.217252870072315,0.10232831823695032,0.5152621547381083,-0.001590211460701596,-3.407554307118671e-05,0.00017286092042922974,0.06369755607698346,0.00010242942302920999,-0.00038613611832261086,0.0,0.0,0.0
026aa77c-d036-41b7-a998-83c1911fe2bf,P,0,0.125,ZERO,15,True,,P frames only; missing on I frames,33.39758991568157,0.9677825539908542,0.06973273009061813,0.0,0.0,0.0,0.0,0.0,0.0,0.002349478830739494,0.10268905185892456,39.36615859445511,0.10271685316065926,0.5147783895333607,0.0,0.0,0.0,0.06964028537353073,0.00014560529717375648,-0.0005962635080019633,0.0016962255580817024,3.6347245942599155e-05,-0.0001843849817911784
026aa77c-d036-41b7-a998-83c1911fe2bf,IP,0,0.125,ZERO,16,True,,P frames only; missing on I frames,33.18234435416059,0.965994822440821,0.07133769756183028,0.0,0.0,0.0,0.0,0.0,0.0,0.002349478830739494,0.10268905185892456,39.36615859445511,0.10271685316065926,0.5147783895333607,0.0,0.0,0.0,0.06528776753768506,0.0001365049661003967,-0.0005589970387518406,0.001590211460701596,3.407554307118671e-05,-0.00017286092042922974
026aa77c-d036-41b7-a998-83c1911fe2bf,P,1,0.5,CONTINUOUS,15,True,,P frames only; missing on I frames,33.32755337200028,0.9676355023542922,0.07028948764006297,,-0.034117939093895294,0.09642730868780755,6.533520026243934,0.10228622366813088,0.36156404415766397,0.005013791549193162,0.10225381480127936,39.23615741157281,0.10237764524986463,0.51719797650973,-0.07003654368130299,-0.00014705163656233053,0.0005567575494448344,-0.06006791304885203,-3.0979058528875685e-05,0.0002642124891281128,-0.07013937468665953,-0.00014676077843530275,0.0005498071511586507
026aa77c-d036-41b7-a998-83c1911fe2bf,IP,1,0.5,CONTINUOUS,16,True,,P frames only; missing on I frames,33.11668509445937,0.9658569615315438,0.07185965776443481,,-0.034117939093895294,0.09642730868780755,6.533520026243934,0.10228622366813088,0.36156404415766397,0.005013791549193162,0.10225381480127936,39.23615741157281,0.10237764524986463,0.51719797650973,-0.06565925970122155,-0.00013786090927718486,0.0005219602026045322,-0.05631366848329877,-2.9042867370820957e-05,0.00024769920855760574,-0.06575566376874331,-0.00013758822978309632,0.000515444204211235
026aa77c-d036-41b7-a998-83c1911fe2bf,P,1,0.5,REAL,15,False,221.1,P frames only; missing on I frames,33.38762128504912,0.9676664814128209,0.07002527515093486,0.04679738655686379,-0.02339869281045751,0.10558343740557459,6.907809355309229,0.10814595041199712,0.5,0.0034952180045746853,0.10274436724359998,39.399871425702464,0.10280481896836068,0.5182594557603201,-0.009968630632450962,-0.00011607257803345484,0.0002925450603167216,0.0,0.0,0.0,-0.010071461637807507,-0.00011578171990642706,0.00028559466203053794
026aa77c-d036-41b7-a998-83c1911fe2bf,IP,1,0.5,REAL,16,False,221.1,P frames only; missing on I frames,33.17299876294266,0.9658860043989146,0.07161195855587721,0.04679738655686379,-0.02339869281045751,0.10558343740557459,6.907809355309229,0.10814595041199712,0.5,0.0034952180045746853,0.10274436724359998,39.399871425702464,0.10280481896836068,0.5182594557603201,-0.009345591217922777,-0.0001088180419063639,0.0002742609940469265,0.0,0.0,0.0,-0.009441995285444538,-0.00010854536241227536,0.0002677449956536293
026aa77c-d036-41b7-a998-83c1911fe2bf,P,1,0.5,WRONG_SOURCE,15,True,,P frames only; missing on I frames,33.397692746686936,0.9677822631327273,0.06973968048890432,0.00024509805371053517,-0.00012254901960784314,0.007826844290115572,0.5,0.007827803638564366,0.5,0.002353864394440032,0.10269067085234035,39.36681733883654,0.1027185720012145,0.5147783895333607,0.00010283100535654436,-2.9085812702778213e-07,6.950398286183675e-06,0.010071461637807507,0.00011578171990642706,-0.00028559466203053794,0.0,0.0,0.0
026aa77c-d036-41b7-a998-83c1911fe2bf,IP,1,0.5,WRONG_SOURCE,16,True,,P frames only; missing on I frames,33.18244075822811,0.9659945497613269,0.07134421356022358,0.00024509805371053517,-0.00012254901960784314,0.007826844290115572,0.5,0.007827803638564366,0.5,0.002353864394440032,0.10269067085234035,39.36681733883654,0.1027185720012145,0.5147783895333607,9.640406752176034e-05,-2.7267949408854575e-07,6.5159983932971954e-06,0.009441995285444538,0.00010854536241227536,-0.0002677449956536293,0.0,0.0,0.0
026aa77c-d036-41b7-a998-83c1911fe2bf,P,1,0.5,ZERO,15,True,,P frames only; missing on I frames,33.39758991568157,0.9677825539908542,0.06973273009061813,0.0,0.0,0.0,0.0,0.0,0.0,0.002349478830739494,0.10268905185892456,39.36615859445511,0.10271685316065926,0.5147783895333607,0.0,0.0,0.0,0.009968630632450962,0.00011607257803345484,-0.0002925450603167216,-0.00010283100535654436,2.9085812702778213e-07,-6.950398286183675e-06
026aa77c-d036-41b7-a998-83c1911fe2bf,IP,1,0.5,ZERO,16,True,,P frames only; missing on I frames,33.18234435416059,0.965994822440821,0.07133769756183028,0.0,0.0,0.0,0.0,0.0,0.0,0.002349478830739494,0.10268905185892456,39.36615859445511,0.10271685316065926,0.5147783895333607,0.0,0.0,0.0,0.009345591217922777,0.0001088180419063639,-0.0002742609940469265,-9.640406752176034e-05,2.7267949408854575e-07,-6.5159983932971954e-06
026aa77c-d036-41b7-a998-83c1911fe2bf,P,2,2.0,CONTINUOUS,15,True,,P frames only; missing on I frames,33.32755337200028,0.9676355023542922,0.07028948764006297,,-0.034117939093895294,0.09642730868780755,6.533520026243934,0.10228622366813088,0.36156404415766397,0.005013791549193162,0.10225381480127936,39.23615741157281,0.10237764524986463,0.51719797650973,-0.07003654368130299,-0.00014705163656233053,0.0005567575494448344,-0.07003654368130299,-0.00014705163656233053,0.0005567575494448344,-0.07003654368130299,-0.00014705163656233053,0.0005567575494448344
026aa77c-d036-41b7-a998-83c1911fe2bf,IP,2,2.0,CONTINUOUS,16,True,,P frames only; missing on I frames,33.11668509445937,0.9658569615315438,0.07185965776443481,,-0.034117939093895294,0.09642730868780755,6.533520026243934,0.10228622366813088,0.36156404415766397,0.005013791549193162,0.10225381480127936,39.23615741157281,0.10237764524986463,0.51719797650973,-0.06565925970122155,-0.00013786090927718486,0.0005219602026045322,-0.06565925970122155,-0.00013786090927718486,0.0005219602026045322,-0.06565925970122155,-0.00013786090927718486,0.0005219602026045322
026aa77c-d036-41b7-a998-83c1911fe2bf,P,2,2.0,REAL,15,False,56.1,P frames only; missing on I frames,33.39758991568157,0.9677825539908542,0.06973273009061813,0.0,0.0,0.0,0.0,0.0,0.0,0.002349478830739494,0.10268905185892456,39.36615859445511,0.10271685316065926,0.5147783895333607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
026aa77c-d036-41b7-a998-83c1911fe2bf,IP,2,2.0,REAL,16,False,56.1,P frames only; missing on I frames,33.18234435416059,0.965994822440821,0.07133769756183028,0.0,0.0,0.0,0.0,0.0,0.0,0.002349478830739494,0.10268905185892456,39.36615859445511,0.10271685316065926,0.5147783895333607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
026aa77c-d036-41b7-a998-83c1911fe2bf,P,2,2.0,WRONG_SOURCE,15,True,,P frames only; missing on I frames,33.39758991568157,0.9677825539908542,0.06973273009061813,0.0,0.0,0.0,0.0,0.0,0.0,0.002349478830739494,0.10268905185892456,39.36615859445511,0.10271685316065926,0.5147783895333607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
026aa77c-d036-41b7-a998-83c1911fe2bf,IP,2,2.0,WRONG_SOURCE,16,True,,P frames only; missing on I frames,33.18234435416059,0.965994822440821,0.07133769756183028,0.0,0.0,0.0,0.0,0.0,0.0,0.002349478830739494,0.10268905185892456,39.36615859445511,0.10271685316065926,0.5147783895333607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
026aa77c-d036-41b7-a998-83c1911fe2bf,P,2,2.0,ZERO,15,True,,P frames only; missing on I frames,33.39758991568157,0.9677825539908542,0.06973273009061813,0.0,0.0,0.0,0.0,0.0,0.0,0.002349478830739494,0.10268905185892456,39.36615859445511,0.10271685316065926,0.5147783895333607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
026aa77c-d036-41b7-a998-83c1911fe2bf,IP,2,2.0,ZERO,16,True,,P frames only; missing on I frames,33.18234435416059,0.965994822440821,0.07133769756183028,0.0,0.0,0.0,0.0,0.0,0.0,0.002349478830739494,0.10268905185892456,39.36615859445511,0.10271685316065926,0.5147783895333607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30884276-8cb2-485e-b0ca-a22605c1801f,P,-1,,BASE_ONLY,15,False,,P frames only; missing on I frames,24.6396068734331,0.7623190834193299,0.46968616048494977,,,,,,,-0.04078614761239186,0.1186085340766858,48.06964875554329,0.12542659047771762,0.5480376760164897,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,IP,-1,,BASE_ONLY,16,False,,P frames only; missing on I frames,24.489934831589572,0.7574483556733387,0.4596371855586767,,,,,,,-0.04078614761239186,0.1186085340766858,48.06964875554329,0.12542659047771762,0.5480376760164897,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,P,-1,,ORIGINAL_FP16,15,False,,P frames only; missing on I frames,21.720507665174203,0.7194034332684854,0.29363629817962644,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,IP,-1,,ORIGINAL_FP16,16,False,,P frames only; missing on I frames,21.753279323846854,0.7172149336569218,0.29459043964743614,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,P,-1,,REFERENCE_FP32,15,False,,P frames only; missing on I frames,21.719307909945055,0.7193549476175941,0.29362504879633583,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,IP,-1,,REFERENCE_FP32,16,False,,P frames only; missing on I frames,21.752154553319535,0.7171694783592113,0.2945798933506012,,,,,,,,,,,,,,,,,,,,
