dataset,video,video_id,qp,control,fraction,global_delta,total_tiles,number_1x_tiles,number_2x_tiles,number_4x_tiles,total_actual_bytes,actual_bits,bpp,kbps,I_bytes,z_bytes,w0_bytes,w1_bytes,mode_map_bits,mode_map_bytes,header_bytes,MSE,PSNR,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,decode_pass
uvg,Beauty,0,1,random_G8_50pct,0.5,,8505,4221,4284,0,24910,199280,0.0015016155478395062,373.65,3019,7269,10168,948,9710,1238,2268,0.001695704362646211,27.730507977612742,0.9767436385154724,0.15388560947030783,0.14413985330611467,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp1_random_G8_50pct.bin,5e27fa4ceb7b43764656019de4234563c175110f00feef0c5f50a204ac7fc725,True
uvg,Beauty,0,3,random_G8_20pct,0.2,,8505,6804,1701,0,43780,350240,0.0026391300154320987,656.7,4622,10000,22646,3284,7425,950,2278,0.0015673262078053085,28.057796963353454,0.9786502486094832,0.13013517810031772,0.13217074051499367,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp3_random_G8_20pct.bin,ef045710aa38494fea6572b931e8b1ec0d08485b62e9ff6c723523c3b886b498,True
uvg,Beauty,0,3,random_G8_35pct,0.35,,8505,5481,3024,0,43635,349080,0.0026303891782407406,654.525,4622,10000,22837,2714,9237,1184,2278,0.0015652473539375933,28.063348467049675,0.9786724578589201,0.13067754765506834,0.132276956923306,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp3_random_G8_35pct.bin,34b1e292d0d7d23922feeb6a12ca566bca3d779bf86e045832516631672f8548,True
uvg,Beauty,0,3,random_G8_50pct,0.5,,8505,4221,4284,0,43436,347488,0.002618393132716049,651.54,4622,10032,22927,2334,9754,1243,2278,0.001565049220516812,28.064010334779585,0.9786491421982646,0.13105589151382446,0.1337795676663518,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp3_random_G8_50pct.bin,9786e3486edc888d81cb97dd4211d0d3f6c68a489388bab85da2729c1109444d,True
uvg,Bosphorus,1,1,random_G8_20pct,0.2,,8505,6804,1701,0,33927,271416,0.00204517505787037,508.905,3910,5781,19094,1946,7373,946,2250,0.0008186554960047943,30.87539101163184,0.953353688120842,0.15922566084191203,0.13669864367693663,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_01_qp1_random_G8_20pct.bin,c7f46b361a3b5517644f3d4a12976646155a92e46de6e57ba14e096f2795a3fc,True
uvg,Bosphorus,1,1,random_G8_35pct,0.35,,8505,5481,3024,0,34022,272176,0.002050901813271605,510.33,3910,5778,19243,1649,9278,1192,2250,0.0008214446306737955,30.86065960605601,0.9532230030745268,0.15996974520385265,0.13732619490474463,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_01_qp1_random_G8_35pct.bin,f84e223a452c06b92664542e67be58f5c1351a8388e89d1ba6e757ed8da77e7b,True
uvg,Bosphorus,1,1,random_G8_50pct,0.5,,8505,4221,4284,0,33865,270920,0.0020414375964506173,507.975,3910,5776,19221,1458,9790,1248,2252,0.0008209759016608587,30.86310900386534,0.9531416343525052,0.1592766132671386,0.13719886727631092,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_01_qp1_random_G8_50pct.bin,9d83144398cb395405e8f57da10f9f37392c60ac241f310da5c6b0357d83f53a,True
uvg,Bosphorus,1,3,random_G8_20pct,0.2,,8505,6804,1701,0,54837,438696,0.0033056640625,822.555,6159,7353,34184,3940,7412,948,2253,0.0007188728441178682,31.439680274317524,0.9595404397696257,0.1287579583004117,0.11754624079912901,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_01_qp3_random_G8_20pct.bin,59d9b330a66ba64933aa3ddc192114576a4d8cc2c56f2f5869b7b284754df4f6,True
uvg,Bosphorus,1,3,random_G8_35pct,0.35,,8505,5481,3024,0,54562,436496,0.003289086612654321,818.43,6159,7280,34264,3428,9196,1175,2256,0.0007155526709539117,31.45902671881054,0.9596460564061999,0.12918753258418292,0.11795445252209902,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_01_qp3_random_G8_35pct.bin,e9a21c5a3039ec6a96093ee5833af29c474098a46eeac501d21eb0bd696bdd4f,True
uvg,Bosphorus,1,3,random_G8_50pct,0.5,,8505,4221,4284,0,54223,433784,0.003268651138117284,813.345,6159,7367,34475,2723,9740,1245,2254,0.0007232932093756972,31.412891433215847,0.9592467015609145,0.12996586132794619,0.11844224762171507,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_01_qp3_random_G8_50pct.bin,304ff2847461dc0fc61242575a485c1467cd0123edd4e5c195e48f9ca80b8756,True
uvg,HoneyBee,2,1,random_G8_20pct,0.2,,8505,6804,1701,0,30919,247352,0.0018638478973765432,463.785,5028,4341,15114,3232,7475,959,2245,0.0010715949019868276,29.715669368344834,0.9724158588796854,0.15496398764662445,0.1289558494463563,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_02_qp1_random_G8_20pct.bin,93269e87939388e8412846d62f764d65334849b470aae34f2c2cb5e9b58a6424,True
uvg,HoneyBee,2,1,random_G8_35pct,0.35,,8505,5481,3024,0,30981,247848,0.0018675853587962962,464.715,5028,4348,15287,2885,9247,1187,2246,0.001067362520188908,29.732710019356734,0.9724640995264053,0.15481844288296998,0.12932114209979773,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_02_qp1_random_G8_35pct.bin,962ef7eb6297bd4cc12036159fd6f759d12d2fe0c2dea4c401fd9210104eb8a8,True
uvg,HoneyBee,2,1,random_G8_50pct,0.5,,8505,4221,4284,0,30719,245752,0.0018517915702160493,460.785,5028,4391,15247,2563,9740,1244,2246,0.0010808637916852604,29.677591986404728,0.9721871893852949,0.15562568767927587,0.13060433976352215,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_02_qp1_random_G8_50pct.bin,310f1f7e3b05fdc79bf017b83b4db2452acfd3a53226cd8b6fcb861361326652,True
uvg,HoneyBee,2,3,random_G8_20pct,0.2,,8505,6804,1701,0,47407,379256,0.002857771508487654,711.105,8070,5672,25053,5407,7471,955,2250,0.0008658164415464853,30.633099077478807,0.9796413611620665,0.11968347756192088,0.1141304187476635,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_02_qp3_random_G8_20pct.bin,544b7b3285240680ebf5ae7de34bc8525772bdbc5da3b6ed4619095112458b76,True
uvg,HoneyBee,2,3,random_G8_35pct,0.35,,8505,5481,3024,0,47136,377088,0.002841435185185185,707.04,8070,5620,25137,4864,9308,1193,2252,0.0008724504632482422,30.600515894898276,0.9795382749289274,0.12032707897014916,0.11419623158872128,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_02_qp3_random_G8_35pct.bin,f3d136f39b8f8fb0ef5243616f02dc34aee429cde4ca7928f7fe8d2fbedd32af,True
uvg,HoneyBee,2,3,random_G8_50pct,0.5,,8505,4221,4284,0,46716,373728,0.0028161168981481483,700.74,8070,5643,25219,4296,9695,1237,2251,0.0008806934883978101,30.55920715643693,0.9793399376794696,0.12110653379932046,0.11494478117674589,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_02_qp3_random_G8_50pct.bin,29c7ec357009cbd6c9cc4a9b410d75e480748b0effce14ac55c4c6ff12a52e90,True
