dataset,video,video_id,qp,trajectory,granularity,frame,actual_qp,actual_bytes,MSE,PSNR,MS_SSIM,LPIPS,DISTS,DPB_state_hash,w1_hash,latent_hash,RGB_hash
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,20,1,1379,0.0036419271491467953,24.386687458118253,0.9615498781204224,0.2357644885778427,0.09052681922912598,dce438dddc724fed98efd8cd65c328dc883d7091402bd84e9a8aa039ebe79c4c,e7b74933c17477d20c02a4ee7fc694b2fd3acfa3f7b1b85aa1613ab9f4db427b,3451e6ade31b1fd497f86e6925d5f3ba1dbcb8163d8cd2c2ae95861427a990c0,5755f7e24f9923995ac8ea20f4692528e5fa9773bf32631156a4d3f9556898fd
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,21,2,936,0.0036966472398489714,24.32191990892025,0.9632863402366638,0.2337585985660553,0.08811134099960327,45c7d10056f377cf07db035be13eba57fe4b59534cc5bf4214b152f9acae001b,2baa3d53fdf058dec573d66ba04cd5387606d2d029b6d3ee19f976f77514e384,57c2ed9a804fbef5b2209d66c9cdac37c8d233a93bec2d8d04b4eddeb2427897,ca1a33d12af0a007025d3daaa5bc3341b6b29904401c6d24fd961e4e00eb444d
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,22,1,1258,0.003294037189334631,24.822715019994025,0.969709038734436,0.2220236361026764,0.09196662902832031,6e583bac7234fc3ef312d7779059c9a19dd8fe08693de166a0d5c9bb2498a236,fcd9681d074125326509fdd5785e2a2a165409dca96908e706354f459525e21f,c655691b62fa975528787d375b132ce146dc126b4c430dfb4e11f773410f9fc0,ba2e957181334287c340b692746f02bada00ca54b7262c8a05685e629fa8edab
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,23,2,951,0.003290111431851983,24.827893928041625,0.9719960689544678,0.21520984172821045,0.09420126676559448,b1a6c8b696280e0e50d53397d7171f3b90ce5a93ecf717b922652fe7ef5ad28e,255cee7f49213161c9cbc2e1c0512eba6dc48a544a3c7762241be5afd4989f60,c157188c1784af371fe24e984a4188712767de98c4ee5820ddea4126fd9e3c34,66be6c6e82eaa7545d7564834bdc94b518c61fbf991da08591686583cad0c7cb
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,24,1,1433,0.0030208483804017305,25.19871071882406,0.9772008061408997,0.20939573645591736,0.10023164749145508,58c1eefd3c27b87ce3d05565d62bcdada40deb493e0957af7064c6901f9b8be2,5b57e5e0e4679ed2d9ce5c673827f684e536219b3a6b7bf0f5c36bc73b73e9ab,25b3c0bdf6f15fe79d7db3d408d76f1cf0a1ea1dabc3f4d30993c9a79c919aaa,802cf00f2718be8d82669cd72df7f1cb8634e1868ce4d0c9fb1c8255419e507f
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,25,3,2359,0.0026269617956131697,25.80546243192245,0.9819613695144653,0.17337122559547424,0.09316623210906982,96e2903efe6b2821a7685493cda1ae0a8fa25114b19701617de56d06bcab33a2,bc0c5b167c0c95fa4932288c690d4fa63ae76e3074b11fbc07b06e173aefe24a,8768b3411e38ba51b21192e781ef64a7266d17a1d946de747c3f20dd2be282fe,00e5904228547c7fe42ef41ada5d615107fea1ee884eae8e735fb966826c4683
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,26,1,774,0.002677365904673934,25.72292271502092,0.9831609129905701,0.17175421118736267,0.103432297706604,7bb9dad5c63eab7404050dffd89985f9ffffa911d3e5f8b9a110a5635289b0e6,ee65623e97ebc0cd0ae8eb872dd3f3661db7e6d8d6eed6d010edf5b0d28dce52,c3868c22b2cd80e79fe219836a3130525ec5c6bef93ce3eaa38cc351e04bc6bc,4f98bc0f5882678de1c0fa523d4799b7b389c8de08981930ae7d77324c370202
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,27,2,630,0.0029260015580803156,25.337254469511375,0.9831013083457947,0.17388850450515747,0.11040914058685303,ee1ed63b4711587e2c05e49503dca34d0e1f38ecd61367d8481636aa5d3fa588,b1a290bc3ed415a0e2765327f47821158ce9211cc4466fd85095de7fe6c323c8,28f44fb4870ba8fe4594770d86bf3f5cdd1b95197e42b5fc17a6236b10f7cf69,3c09fc12c068d7cc817b53146b07e99e7110838486242b5d9261d15ed18ecdd2
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,28,1,1401,0.0030026535969227552,25.224947675754066,0.984685480594635,0.14139766991138458,0.11549139022827148,a3e3cb98a56a3146458f2a97b6fefa3500ac813c2adfb0a0e1bb7258a9297e38,36dd6fad8b7e89e8f63ca5ccd01058a5562f6d8f44b01f081aa4124d3d83c9cb,6dfc797c1575a2766aef85826a326a4221aec370241243ab91d945514188fec4,43edcb0dc295759e7f5e16ca41773378fa0633e5ec55c722d7f2adf084a98f16
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,29,2,878,0.003022110555320978,25.196896522777298,0.9852170944213867,0.1289220154285431,0.11199384927749634,5e331dea7f805b544fbf1689f053de63c4b1be0d3b0f3d79d6c42b31208189ea,7eb1bed81a8ab27293ce29fa00c2a4befbb5a51aa27e5fd8013a73633f5476cf,6a90453b3be4842a1b6e2aeb9b361da96e38b9a5af4559e93e4e017f9131642b,b15cae956bd5f637d4a30cb241bd996efe92d4b38e9c8a11d5cb88d114441561
