dataset,video,video_id,qp,trajectory,granularity,total_actual_bytes,bpp,kbps,MSE,PSNR,MS_SSIM,LPIPS,DISTS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,uniform_4x,GLOBAL,74049,0.004463794849537037,277.40634365634367,0.001072268682946742,29.705202478769117,0.981667940504849,0.11116397171281278,0.06892978306859732
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,random_G8_20pct,G8,80547,0.004855504918981481,301.74950049950047,0.000974455481809855,30.121885480989338,0.983423775061965,0.10571293870452791,0.06464748922735453
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,random_G8_35pct,G8,80128,0.004830246913580247,300.1798201798202,0.0009845433314694674,30.077593966367594,0.9832251677289605,0.10629279550630599,0.06345934979617596
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,random_G8_50pct,G8,79150,0.004771291473765432,296.515984015984,0.000995873607280373,30.028436598153206,0.9830440375953913,0.10711891448590904,0.06537791714072227
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,fresh_ulong_01_qp3_G8_T5524,G8,76834,0.004631679205246914,287.8396603396604,0.0009963839202100644,30.025122455837298,0.9830275252461433,0.107453175005503,0.06651467736810446
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,baseline,BASELINE,35312,0.00212866512345679,132.28771228771228,0.0014269640669226646,28.47158724994585,0.981841198168695,0.07612672576215118,0.07411882560700178
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,uniform_2x,GLOBAL,35960,0.00216772762345679,134.7152847152847,0.0015210854180622846,28.19768640743492,0.9804984470829368,0.07847328070783988,0.07847821712493896
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,uniform_4x,GLOBAL,35950,0.0021671248070987653,134.67782217782218,0.001545975499539054,28.12644794453499,0.9801452727988362,0.07892402919242159,0.07843425404280424
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,random_G8_20pct,G8,38422,0.002316141010802469,143.93856143856144,0.0014485182673524832,28.407597300414018,0.9815932139754295,0.07654519058996812,0.07513627130538225
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,random_G8_35pct,G8,38288,0.002308063271604938,143.43656343656346,0.001457804439269239,28.3787713190995,0.9814026914536953,0.07714006555033848,0.0751250172033906
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,random_G8_50pct,G8,38089,0.0022960672260802467,142.69105894105894,0.0014625107523897896,28.365928326352503,0.9813694162294269,0.0773937291232869,0.07601493876427412
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,baseline,BASELINE,60467,0.0036450496720679014,226.52472527472526,0.001229947546562471,29.1175276946312,0.9851789195090532,0.06236264604376629,0.061576093547046185
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,uniform_2x,GLOBAL,59092,0.0035621624228395063,221.37362637362637,0.0012998627671549912,28.881555841455906,0.9841498648747802,0.06386025913525373,0.06462651304900646
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,uniform_4x,GLOBAL,59261,0.0035723500192901235,222.00674325674325,0.0013256501488285721,28.79664756294213,0.9837984144687653,0.0644696272793226,0.06578104291111231
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,random_G8_20pct,G8,63357,0.003819263599537037,237.35139860139859,0.0012368345696813776,29.093788208128107,0.9850784046575427,0.06248933117603883,0.061510730534791946
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,random_G8_35pct,G8,62641,0.003776101948302469,234.6690809190809,0.0012433295441951486,29.071018679883178,0.9849896673113108,0.06254772440297529,0.06186177022755146
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,random_G8_50pct,G8,62184,0.0037485532407407407,232.95704295704294,0.0012594771478688926,29.016583039074984,0.9847648208960891,0.06302190374117345,0.06335210427641869
uvg,Beauty,0,1,baseline,BASELINE,22057,0.0013296320408950617,330.855,0.0016920566813496407,27.739446239050412,0.9767590817064047,0.1534828911535442,0.14173196256160736
