dataset,video,video_id,qp,granularity,target_rate_ratio,baseline_bytes,target_bytes,selected_bytes,selected_rate_ratio,selection_type,I_bytes,z_bytes,w0_bytes,w1_bytes,mode_map_bits,mode_map_bytes,header_bytes,modified_frames,total_tiles,number_1x_tiles,number_2x_tiles,PSNR,MS_SSIM,LPIPS,DISTS,decode_audit_pass,bitstream_path,bitstream_sha256
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G16,0.95,78986,75036,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G16,0.9,78986,71087,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G4,0.99,35312,34958,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G4,0.975,35312,34429,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G4,0.95,35312,33546,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G4,0.9,35312,31780,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G8,0.99,35312,34958,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G8,0.975,35312,34429,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G8,0.95,35312,33546,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G8,0.9,35312,31780,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G16,0.99,35312,34958,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G16,0.975,35312,34429,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G16,0.95,35312,33546,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G16,0.9,35312,31780,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
