dataset,video,video_id,qp,frame,w1_shape,block_index,block_y,block_x,pixel_y0,pixel_x0,mode,delta,original_bytes,candidate_bytes,actual_delta_bytes,baseline_RGB_MSE,candidate_RGB_MSE,delta_MSE,baseline_PSNR,candidate_PSNR,mode_map_overhead,raw_map_bits,coded_map_bits,estimated_w1_entropy_bits,actual_w1_RANS_bytes,actual_bytes_saved,delta_MSE_per_actual_saved_bit
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,35,1,5,4,20,2,4,7105,7159,54,0.0009554006392136216,0.0009553840500302613,-1.658918336033821e-08,30.198144724865614,30.19822013462615,37,1020,35,10758.662109375,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,36,1,6,4,24,1,2,7105,7158,53,0.0009554006392136216,0.0009541363106109202,-1.2643286027014256e-06,30.198144724865614,30.20389576326008,37,1020,35,10746.390625,1363,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,36,1,6,4,24,2,4,7105,7158,53,0.0009554006392136216,0.0009541363106109202,-1.2643286027014256e-06,30.198144724865614,30.20389576326008,37,1020,35,10746.2978515625,1363,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,37,1,7,4,28,1,2,7105,7159,54,0.0009554006392136216,0.0009544843342155218,-9.163049980998039e-07,30.198144724865614,30.202311952112115,37,1020,35,10755.2294921875,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,37,1,7,4,28,2,4,7105,7159,54,0.0009554006392136216,0.0009544843342155218,-9.163049980998039e-07,30.198144724865614,30.202311952112115,37,1020,35,10755.1796875,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,38,1,8,4,32,1,2,7105,7156,51,0.0009554006392136216,0.0009551203111186624,-2.8032809495925903e-07,30.198144724865614,30.199419193440434,37,1020,35,10734.0224609375,1361,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,38,1,8,4,32,2,4,7105,7156,51,0.0009554006392136216,0.0009551203111186624,-2.8032809495925903e-07,30.198144724865614,30.199419193440434,37,1020,35,10733.966796875,1361,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,39,1,9,4,36,1,2,7105,7159,54,0.0009554006392136216,0.0009585458901710808,3.1452509574592113e-06,30.198144724865614,30.18387090536573,37,1020,35,10752.015625,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,39,1,9,4,36,2,4,7105,7159,54,0.0009554006392136216,0.0009585458901710808,3.1452509574592113e-06,30.198144724865614,30.18387090536573,37,1020,35,10751.986328125,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,40,1,10,4,40,1,2,7105,7159,54,0.0009554006392136216,0.0009573869756422937,1.9863364286720753e-06,30.198144724865614,30.18912484985632,37,1020,35,10756.58203125,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,40,1,10,4,40,2,4,7105,7159,54,0.0009554006392136216,0.0009573869756422937,1.9863364286720753e-06,30.198144724865614,30.18912484985632,37,1020,35,10756.537109375,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,41,1,11,4,44,1,2,7105,7161,56,0.0009554006392136216,0.0009554327698424459,3.213062882423401e-08,30.198144724865614,30.197998671790195,37,1020,35,10772.03125,1366,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,41,1,11,4,44,2,4,7105,7161,56,0.0009554006392136216,0.0009554327698424459,3.213062882423401e-08,30.198144724865614,30.197998671790195,37,1020,35,10771.98828125,1366,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,42,1,12,4,48,1,2,7105,7157,52,0.0009554006392136216,0.0009543978376314044,-1.0028015822172165e-06,30.198144724865614,30.202705533127908,37,1020,35,10738.93359375,1362,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,42,1,12,4,48,2,4,7105,7157,52,0.0009554006392136216,0.0009543978376314044,-1.0028015822172165e-06,30.198144724865614,30.202705533127908,37,1020,35,10738.86328125,1362,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,43,1,13,4,52,1,2,7105,7160,55,0.0009554006392136216,0.0009559609461575747,5.603069439530373e-07,30.198144724865614,30.195598495802898,37,1020,35,10763.3076171875,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,43,1,13,4,52,2,4,7105,7160,55,0.0009554006392136216,0.0009559609461575747,5.603069439530373e-07,30.198144724865614,30.195598495802898,37,1020,35,10763.2314453125,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,44,1,14,4,56,1,2,7105,7159,54,0.0009554006392136216,0.0009560904582031071,6.898189894855022e-07,30.198144724865614,30.1950101605032,37,1020,35,10754.53125,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,44,1,14,4,56,2,4,7105,7159,54,0.0009554006392136216,0.0009560904582031071,6.898189894855022e-07,30.198144724865614,30.1950101605032,37,1020,35,10754.484375,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,45,1,15,4,60,1,2,7105,7159,54,0.0009554006392136216,0.0009559172322042286,5.165929906070232e-07,30.198144724865614,30.19579709348489,37,1020,35,10755.9345703125,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,45,1,15,4,60,2,4,7105,7159,54,0.0009554006392136216,0.0009559172322042286,5.165929906070232e-07,30.198144724865614,30.19579709348489,37,1020,35,10755.82421875,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,46,1,16,4,64,1,2,7105,7159,54,0.0009554006392136216,0.000954957737121731,-4.429020918905735e-07,30.198144724865614,30.200158482497272,37,1020,35,10757.6640625,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,46,1,16,4,64,2,4,7105,7159,54,0.0009554006392136216,0.000954957737121731,-4.429020918905735e-07,30.198144724865614,30.200158482497272,37,1020,35,10757.572265625,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,47,1,17,4,68,1,2,7105,7161,56,0.0009554006392136216,0.0009557154844515026,3.148452378809452e-07,30.198144724865614,30.19671377518119,37,1020,35,10767.728515625,1366,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,47,1,17,4,68,2,4,7105,7161,56,0.0009554006392136216,0.0009557154844515026,3.148452378809452e-07,30.198144724865614,30.19671377518119,37,1020,35,10767.6943359375,1366,False,
