split,video,alpha,scope,comparison_type,M2_base_bytes,M2_enhancement_bytes,M2_total_bytes,M2_budget_bytes,M2_stream_sent,M2_selected_label_nonzero_frames,M2_actual_nonzero_frames,M2_Z_count,M2_E_count,M2_O1_count,M2_O2_count,M2_psnr,M2_ms_ssim,M2_lpips,M2_psnr_minus_ZERO,M2_ms_ssim_minus_ZERO,M2_lpips_minus_ZERO,M4_base_bytes,M4_enhancement_bytes,M4_total_bytes,M4_budget_bytes,M4_stream_sent,M4_selected_label_nonzero_frames,M4_actual_nonzero_frames,M4_Z_count,M4_E_count,M4_O1_count,M4_O2_count,M4_psnr,M4_ms_ssim,M4_lpips,M4_psnr_minus_ZERO,M4_ms_ssim_minus_ZERO,M4_lpips_minus_ZERO,M4_minus_M2_enhancement_bytes,M4_minus_M2_total_bytes,M4_minus_M2_actual_nonzero_frames,M4_minus_M2_psnr,M4_minus_M2_ms_ssim,M4_minus_M2_lpips,M4_minus_M2_psnr_minus_ZERO,M4_minus_M2_ms_ssim_minus_ZERO,M4_minus_M2_lpips_minus_ZERO
Val6,2996c286-14c5-4157-95ba-f2a73fae0187,0.25,P,"same budget upper bound, not same actual rate",10243.0,2553.0,12796.0,2560.0,True,2.0,2.0,13.0,2.0,0.0,0.0,18.2074312074887,0.47912148397401516,0.5687227487564087,0.016018582793972058,0.0018933411623111018,-0.0034109632174174065,10243.0,2553.0,12796.0,2560.0,True,2.0,2.0,13.0,2.0,0.0,0.0,18.2074312074887,0.47912148397401516,0.5687227487564087,0.016018582793972058,0.0018933411623111018,-0.0034109632174174065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Val6,2996c286-14c5-4157-95ba-f2a73fae0187,0.25,IP,"same budget upper bound, not same actual rate",10243.0,2553.0,12796.0,2560.0,True,2.0,2.0,13.0,2.0,0.0,0.0,18.0911092365879,0.47351512767228787,0.5592347010970116,0.015017421369350359,0.0017750073396666788,-0.0031977780163288116,10243.0,2553.0,12796.0,2560.0,True,2.0,2.0,13.0,2.0,0.0,0.0,18.0911092365879,0.47351512767228787,0.5592347010970116,0.015017421369350359,0.0017750073396666788,-0.0031977780163288116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Val6,2996c286-14c5-4157-95ba-f2a73fae0187,0.5,P,"same budget upper bound, not same actual rate",10243.0,5002.0,15245.0,5121.0,True,4.0,4.0,11.0,4.0,0.0,0.0,18.222037337233715,0.48104946973588714,0.5656415462493897,0.030624712538987353,0.003821326924183077,-0.0064921657244364495,10243.0,5002.0,15245.0,5121.0,True,4.0,4.0,11.0,4.0,0.0,0.0,18.222037337233715,0.48104946973588714,0.5656415462493897,0.030624712538987353,0.003821326924183077,-0.0064921657244364495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Val6,2996c286-14c5-4157-95ba-f2a73fae0187,0.5,IP,"same budget upper bound, not same actual rate",10243.0,5002.0,15245.0,5121.0,True,4.0,4.0,11.0,4.0,0.0,0.0,18.104802483223853,0.4753226143240428,0.5563460737466812,0.028710668005302864,0.0035824939914216314,-0.006086405366659164,10243.0,5002.0,15245.0,5121.0,True,4.0,4.0,11.0,4.0,0.0,0.0,18.104802483223853,0.4753226143240428,0.5563460737466812,0.028710668005302864,0.0035824939914216314,-0.006086405366659164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Val6,30884276-8cb2-485e-b0ca-a22605c1801f,0.1,P,"same budget upper bound, not same actual rate",8190.0,0.0,8190.0,819.0,False,0.0,0.0,15.0,0.0,0.0,0.0,24.614347393933592,0.7621310976361042,0.46169843077659606,0.0,0.0,0.0,8190.0,714.0,8904.0,819.0,True,1.0,1.0,14.0,0.0,1.0,0.0,24.646540988314346,0.7626820026055376,0.45873989661534625,0.032193594380753865,0.0005509049694334411,-0.002958534161249804,714.0,714.0,1.0,0.032193594380753865,0.0005509049694334411,-0.002958534161249804,0.032193594380753865,0.0005509049694334411,-0.002958534161249804
Val6,30884276-8cb2-485e-b0ca-a22605c1801f,0.1,IP,"same budget upper bound, not same actual rate",8190.0,0.0,8190.0,819.0,False,0.0,0.0,15.0,0.0,0.0,0.0,24.466254068320332,0.7572721192271843,0.45214868895709515,0.0,0.0,0.0,8190.0,714.0,8904.0,819.0,True,1.0,1.0,14.0,0.0,1.0,0.0,24.496435563052287,0.7577885926360282,0.44937506318092346,0.030181494731955638,0.0005164734088438649,-0.0027736257761716843,714.0,714.0,1.0,0.030181494731955638,0.0005164734088438649,-0.0027736257761716843,0.030181494731955638,0.0005164734088438649,-0.0027736257761716843
Val6,30884276-8cb2-485e-b0ca-a22605c1801f,0.25,P,"same budget upper bound, not same actual rate",8190.0,928.0,9118.0,2047.0,True,1.0,1.0,14.0,1.0,0.0,0.0,24.61614457858714,0.7624664874248578,0.4573616087436676,0.00179718465354739,0.0003353897887535817,-0.004336822032928456,8190.0,1863.0,10053.0,2047.0,True,3.0,3.0,12.0,0.0,3.0,0.0,24.702973671758265,0.7635999382622835,0.4558924595514933,0.08862627782467314,0.0014688406261792464,-0.005805971225102735,935.0,935.0,2.0,0.08682909317112575,0.0011334508374256647,-0.0014691491921742794,0.08682909317112575,0.0011334508374256647,-0.0014691491921742794
Val6,30884276-8cb2-485e-b0ca-a22605c1801f,0.25,IP,"same budget upper bound, not same actual rate",8190.0,928.0,9118.0,2047.0,True,1.0,1.0,14.0,1.0,0.0,0.0,24.467938928933034,0.7575865471541408,0.4480829183012247,0.0016848606127020105,0.00031442792695646204,-0.004065770655870438,8190.0,1863.0,10053.0,2047.0,True,3.0,3.0,12.0,0.0,3.0,0.0,24.549341203780962,0.7586491573142273,0.4467055909335613,0.08308713546063018,0.0013770380870430365,-0.005443098023533821,935.0,935.0,2.0,0.08140227484792817,0.0010626101600865745,-0.0013773273676633835,0.08140227484792817,0.0010626101600865745,-0.0013773273676633835
Val6,30884276-8cb2-485e-b0ca-a22605c1801f,0.5,P,"same budget upper bound, not same actual rate",8190.0,928.0,9118.0,4095.0,True,1.0,1.0,14.0,1.0,0.0,0.0,24.61614457858714,0.7624664874248578,0.4573616087436676,0.00179718465354739,0.0003353897887535817,-0.004336822032928456,8190.0,4038.0,12228.0,4095.0,True,7.0,7.0,8.0,0.0,6.0,1.0,24.813299699907898,0.7651475031692105,0.45272636810938516,0.1989523059743057,0.0030164055331063366,-0.0089720626672109,3110.0,3110.0,6.0,0.1971551213207583,0.002681015744352755,-0.004635240634282445,0.1971551213207583,0.002681015744352755,-0.004635240634282445
Val6,30884276-8cb2-485e-b0ca-a22605c1801f,0.5,IP,"same budget upper bound, not same actual rate",8190.0,928.0,9118.0,4095.0,True,1.0,1.0,14.0,1.0,0.0,0.0,24.467938928933034,0.7575865471541408,0.4480829183012247,0.0016848606127020105,0.00031442792695646204,-0.004065770655870438,8190.0,4038.0,12228.0,4095.0,True,7.0,7.0,8.0,0.0,6.0,1.0,24.652771855171245,0.7600999994144715,0.44373738020658493,0.18651778685091358,0.0028278801872871906,-0.008411308750510216,3110.0,3110.0,6.0,0.18483292623821157,0.0025134522603307285,-0.004345538094639778,0.18483292623821157,0.0025134522603307285,-0.004345538094639778
