split,video,frame,sample,candidate,family,step,lambda,checkpoint,integer_symbol_sha256,packet_bytes,nonzero_symbols,residual_linf,mse,psnr,ms_ssim,lpips,d,init_source,frame_share_bytes,elapsed_seconds,selection_objective,selected_by_lambda
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,O2_s100,O2,100,0.18864966852870935,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002/step_100.pt,71d637e110f0b0e75431c8f1b2a499d2b1a5cbff97f8376a939b2b3ac9156da8,1132.0,1934.0,1.3425109386444092,0.01709296939431728,17.671824849945327,0.7728844057170128,0.36804455518722534,0.017461013949504504,legacy,1138.3333333333333,27.46147235482931,0.018289510114660807,False
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,O2_s150,O2,150,0.18864966852870935,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002/step_150.pt,64b23a9f93034965804d2af6449f86416414f47988a96cba8fe32120d279ac90,1080.0,1842.0,1.2946703433990479,0.01677609866509912,17.75309028323465,0.776282098619848,0.36693301796913147,0.017143031683068254,legacy,1086.3333333333333,41.456952288746834,0.017933681464106146,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003,Z_ORIGINAL,Z,,,,ea57129a181083808880401faeb2d2ff1c145e81226b9d9321f80cc1da296164,1,0,0.0,0.023966150225914484,16.20401722742292,0.7808415121884614,0.22311259806156158,0.024189262823976047,,,,,
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003,O1_s000,O1,0,0.09432483426435467,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003/step_000.pt,922a0167eb3d2fedf9015da44e627fb015fcf89348da4e0c9ca9996e55b53b72,643.0,1100.0,0.7618281245231628,0.02355078118591387,16.27994682628294,0.7853774552786662,0.2234172523021698,0.02377419843821604,legacy,649.3333333333334,0.32178833335638046,0.024010495733929726,False
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003,O1_s025,O1,25,0.09432483426435467,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003/step_025.pt,922a0167eb3d2fedf9015da44e627fb015fcf89348da4e0c9ca9996e55b53b72,643.0,1100.0,0.7618281245231628,0.02355078118591387,16.27994682628294,0.7853774552786662,0.2234172523021698,0.02377419843821604,legacy,649.3333333333334,4.505694955587387,0.024010495733929726,False
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003,O1_s050,O1,50,0.09432483426435467,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003/step_050.pt,92bb6fbcb273d6ea74714dc666c525c87ca0ee71d2ec3c6d2b61e1e7a9311b9a,1347.0,2024.0,1.5170788764953613,0.01807609232674627,17.42895449101511,0.7774352821565698,0.33067113161087036,0.01840676345835714,legacy,1353.3333333333333,11.837525002658367,0.01889925166194932,False
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003,O1_s100,O1,100,0.09432483426435467,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003/step_100.pt,bf74a570f8987d0f19d0704155648d69075f0d9a48a037576649f2a371fd1eac,1265.0,1982.0,1.4919750690460205,0.01717206918065731,17.65177370558473,0.7767784312333071,0.35327786207199097,0.017525347042729303,legacy,1271.3333333333333,26.299077555537224,0.017987994828074273,False
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003,O1_s150,O1,150,0.09432483426435467,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003/step_150.pt,7b94993dae0f9f5662389c29b7d85ed5727892d2af134211f95401a378adc7e8,1262.0,1977.0,1.3844194412231445,0.016727226544340577,17.765760612096834,0.7775904545780636,0.36078453063964844,0.017088011074980227,legacy,1268.3333333333333,40.12271813303232,0.017549567137706397,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003,O2_s000,O2,0,0.18864966852870935,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003/step_000.pt,ea57129a181083808880401faeb2d2ff1c145e81226b9d9321f80cc1da296164,1.0,0.0,0.0,0.023966150225914484,16.20401722742292,0.7808415121884614,0.22311259806156158,0.024189262823976047,zero,7.333333333333333,0.26545561105012894,0.02419460013455685,False
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003,O2_s025,O2,25,0.18864966852870935,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003/step_025.pt,ea57129a181083808880401faeb2d2ff1c145e81226b9d9321f80cc1da296164,1.0,0.0,0.0,0.023966150225914484,16.20401722742292,0.7808415121884614,0.22311259806156158,0.024189262823976047,zero,7.333333333333333,4.503668211400509,0.02419460013455685,False
