split,candidate,lambda,sample,video,frame,step,init_source,nonzero_symbols,packet_bytes,frame_share_bytes,elapsed_seconds,integer_symbol_sha256,residual_linf,mse,psnr,ms_ssim,lpips,d,selection_objective,checkpoint,selected_by_lambda
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0005,c227e33d-910e-4e39-a325-0fe1d1116436,5.0,0.0,zero,0.0,1.0,7.333333333333333,0.24677224457263947,ea57129a181083808880401faeb2d2ff1c145e81226b9d9321f80cc1da296164,0.0,0.00162091852639574,27.902388139152063,0.8996471264488822,0.14047224819660187,0.001761390774592342,0.0017640594298827428,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0005/step_000.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0005,c227e33d-910e-4e39-a325-0fe1d1116436,5.0,25.0,zero,0.0,1.0,7.333333333333333,5.468996182084084,ea57129a181083808880401faeb2d2ff1c145e81226b9d9321f80cc1da296164,0.0,0.00162091852639574,27.902388139152063,0.8996471264488822,0.14047224819660187,0.001761390774592342,0.0017640594298827428,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0005/step_025.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0005,c227e33d-910e-4e39-a325-0fe1d1116436,5.0,50.0,zero,857.0,558.0,564.3333333333334,13.704030387103558,ac128d9ae8e7466dbb669337f52fdd650b58d863bb5e72ccd80ef498d9c2b575,0.26289495825767517,0.0016196968683127601,27.90566257517561,0.8973913606021022,0.1621207296848297,0.0017818175979975898,0.0019871827528452654,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0005/step_050.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0005,c227e33d-910e-4e39-a325-0fe1d1116436,5.0,100.0,zero,682.0,497.0,503.3333333333333,27.334811128675938,f79fbe252f583e262e3c0409254bb7386eab5422a1adfeaadf16c6e29dac0182,0.5565123558044434,0.0012425909686552437,29.056718072313906,0.904693440353861,0.14781659841537476,0.0013904075670706185,0.001573574362002686,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0005/step_100.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0005,c227e33d-910e-4e39-a325-0fe1d1116436,5.0,150.0,zero,779.0,525.0,531.3333333333334,41.35837181657553,1d97cb50212369b3f26c2d3c62e71496a715151718fb5d557f2939756015d31e,0.6752380132675171,0.001133063036094144,29.457459282069316,0.9054458055732395,0.14945337176322937,0.0012825164078573733,0.0014758726138982443,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0005/step_150.pt,True
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0006,c227e33d-910e-4e39-a325-0fe1d1116436,6.0,0.0,zero,0.0,1.0,7.333333333333333,0.25247905403375626,ea57129a181083808880401faeb2d2ff1c145e81226b9d9321f80cc1da296164,0.0,0.0016254876110209774,27.890163362175194,0.8988237164885957,0.1408768594264984,0.0017663644704474758,0.0017690331257378766,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0006/step_000.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0006,c227e33d-910e-4e39-a325-0fe1d1116436,6.0,25.0,zero,0.0,1.0,7.333333333333333,4.8468722850084305,ea57129a181083808880401faeb2d2ff1c145e81226b9d9321f80cc1da296164,0.0,0.0016254876110209774,27.890163362175194,0.8988237164885957,0.1408768594264984,0.0017663644704474758,0.0017690331257378766,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0006/step_025.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0006,c227e33d-910e-4e39-a325-0fe1d1116436,6.0,50.0,zero,780.0,534.0,540.3333333333334,12.423591084778309,6dafa25aac9a2e32f3a9f058051a19f56f85f0020cea09d617a8bcda26f6f926,0.3359732925891876,0.0016257343343186587,27.889504221896573,0.8971426438396598,0.16257573664188385,0.0017883100709605425,0.0019849414448578147,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0006/step_050.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0006,c227e33d-910e-4e39-a325-0fe1d1116436,6.0,100.0,zero,659.0,491.0,497.3333333333333,27.659658052027225,53c25a120eba96734df9af8b41d5e3328c7e3fa69d20a022d0c908bd8ae0d193,0.5387058258056641,0.0012482842368942712,29.036865136442913,0.9032124390534898,0.15245969593524933,0.0014007439328295205,0.001581727282523987,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0006/step_100.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0006,c227e33d-910e-4e39-a325-0fe1d1116436,6.0,150.0,zero,753.0,518.0,524.3333333333334,41.79768715053797,45443a568f8cd157de2cc77159a5e06bf92f52382f927d6fb47af88d1be8d025,0.5870817303657532,0.0011395743046989152,29.432573518626086,0.9045274924717472,0.1502269208431244,0.0012898012255420396,0.0014806100788057098,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0006/step_150.pt,True
