candidate,reference,video_tag,metric,reference_qp,reference_kbps,reference_metric,candidate_qp,candidate_kbps,candidate_metric,rate_saving_percent
v3_beta_low,original,fresh_ulong_10,DISTS,1,132.28771228771228,0.07741482742130756,2,163.0631868131868,0.07114601507782936,-23.2640462165836
v3_beta_low,original,fresh_ulong_10,LPIPS,2,170.96403596403596,0.07108415098628029,2,163.0631868131868,0.0694654209073633,4.621351564554299
v3_beta_low,original,fresh_ulong_10,DISTS,2,170.96403596403596,0.07177437469363213,2,163.0631868131868,0.07114601507782936,4.621351564554299
v3_beta_low,original,fresh_ulong_100,LPIPS,0,79.3425,0.29269819892942905,0,77.29125,0.26146513083949685,2.585310520843176
v3_beta_low,original,fresh_ulong_100,DISTS,0,79.3425,0.16495357640087605,0,77.29125,0.15237974748015404,2.585310520843176
v3_beta_low,original,fresh_ulong_100,LPIPS,1,104.03625,0.2718278067186475,0,77.29125,0.26146513083949685,25.707385646829827
v3_beta_low,original,fresh_ulong_100,DISTS,1,104.03625,0.14852433372288942,1,102.01125,0.13557828404009342,1.94643693904768
v3_beta_low,original,fresh_ulong_100,LPIPS,2,135.69375,0.2521602513734251,1,102.01125,0.23583866865374148,24.822440237667532
v3_beta_low,original,fresh_ulong_100,DISTS,2,135.69375,0.1400949666276574,1,102.01125,0.13557828404009342,24.822440237667532
v3_beta_low,original,fresh_ulong_100,LPIPS,3,178.53375,0.24006535904482007,1,102.01125,0.23583866865374148,42.86164380684324
v3_beta_low,original,fresh_ulong_100,DISTS,3,178.53375,0.12822777964174747,2,134.1825,0.12243397161364555,24.84194164968808
v3_beta_low,original,fresh_ulong_101,LPIPS,0,130.61625,0.14503708214033395,0,114.765,0.12375683442223817,12.13574115012489
v3_beta_low,original,fresh_ulong_101,DISTS,0,130.61625,0.14316138438880444,0,114.765,0.12036233860999346,12.13574115012489
v3_beta_low,original,fresh_ulong_101,LPIPS,1,187.965,0.12968529714271426,0,114.765,0.12375683442223817,38.94342031761232
v3_beta_low,original,fresh_ulong_101,DISTS,1,187.965,0.13265275675803423,0,114.765,0.12036233860999346,38.94342031761232
v3_beta_low,original,fresh_ulong_101,LPIPS,2,268.7025,0.11332689819391817,1,160.88625,0.11200100427959114,40.12476623775365
v3_beta_low,original,fresh_ulong_101,DISTS,2,268.7025,0.12257856503129005,0,114.765,0.12036233860999346,57.28919529963434
v3_beta_low,original,fresh_ulong_101,LPIPS,3,370.47,0.10008981416467577,2,227.27625,0.09935128246434033,38.65191513482873
v3_beta_low,original,fresh_ulong_101,DISTS,3,370.47,0.11417116690427065,1,160.88625,0.11058843228965998,56.57239452587255
v3_beta_low,original,fresh_ulong_102,LPIPS,0,71.71875,0.2845525681041181,0,70.335,0.25839518452994525,1.9294117647058906
v3_beta_low,original,fresh_ulong_102,DISTS,0,71.71875,0.15179892908781767,0,70.335,0.12870446871966124,1.9294117647058906
v3_beta_low,original,fresh_ulong_102,LPIPS,1,93.0825,0.26449672039598227,0,70.335,0.25839518452994525,24.43799854967368
v3_beta_low,original,fresh_ulong_102,DISTS,1,93.0825,0.132149588316679,0,70.335,0.12870446871966124,24.43799854967368
v3_beta_low,original,fresh_ulong_102,LPIPS,2,120.00375,0.2455117697827518,1,91.545,0.23522729356773198,23.714883909877816
v3_beta_low,original,fresh_ulong_102,DISTS,2,120.00375,0.12347044423222542,1,91.545,0.1102999858558178,23.714883909877816
v3_beta_low,original,fresh_ulong_102,LPIPS,3,155.41125,0.22789993113838136,2,116.86125,0.21893164864741266,24.805154067031822
v3_beta_low,original,fresh_ulong_102,DISTS,3,155.41125,0.12158727552741766,1,91.545,0.1102999858558178,41.094997948990176
v3_beta_low,original,fresh_ulong_103,LPIPS,0,167.85375,0.1013468625023961,0,158.73375,0.09273759601637721,5.433301311409489
v3_beta_low,original,fresh_ulong_103,DISTS,0,167.85375,0.08589303214102983,1,198.04875,0.07763765007257462,-17.98887424320281
v3_beta_low,original,fresh_ulong_103,LPIPS,1,209.77125,0.09009590174537152,1,198.04875,0.08210330724250525,5.5882300362895325
v3_beta_low,original,fresh_ulong_103,DISTS,1,209.77125,0.07973845582455397,1,198.04875,0.07763765007257462,5.5882300362895325
v3_beta_low,original,fresh_ulong_103,LPIPS,2,267.9075,0.0804876679321751,2,250.32375,0.07293866766849533,6.563366087175626
v3_beta_low,original,fresh_ulong_103,DISTS,2,267.9075,0.07174810487776995,2,250.32375,0.07128428481519222,6.563366087175626
v3_beta_low,original,fresh_ulong_103,LPIPS,3,337.8,0.07214005698915571,3,312.96,0.06622234813403338,7.35346358792186
v3_beta_low,original,fresh_ulong_103,DISTS,3,337.8,0.06679034605622292,3,312.96,0.06506939325481653,7.35346358792186
v3_beta_low,original,fresh_ulong_104,LPIPS,0,106.4475,0.15110041748266667,0,100.48125,0.1447322400053963,5.604875642922568
v3_beta_low,original,fresh_ulong_104,DISTS,0,106.4475,0.10818523913621902,0,100.48125,0.10633845627307892,5.604875642922568
v3_beta_low,original,fresh_ulong_104,LPIPS,1,139.90125,0.12793638068251312,1,130.92375,0.12345907941926271,6.417026295333306
