candidate,reference,video_tag,metric,reference_qp,reference_kbps,reference_metric,candidate_qp,candidate_kbps,candidate_metric,metric_difference,rate_saving_percent
beta_low,original,fresh_ulong_01,DISTS,2,239.97002997002997,0.0836072014644742,1,183.48026973026973,0.08579319808632135,0.0021859966218471527,23.540339702760082
beta_low,original,fresh_ulong_01,LPIPS,3,295.9015984015984,0.10236039548180997,3,271.6783216783217,0.09866603300906718,-0.003694362472742796,8.186260856354277
beta_low,original,fresh_ulong_01,DISTS,3,295.9015984015984,0.07474138494580984,3,271.6783216783217,0.07554319780319929,0.0008018128573894501,8.186260856354277
beta_low,original,fresh_ulong_10,LPIPS,0,103.50899100899102,0.08790032682009041,0,94.73901098901099,0.08741293218918145,-0.00048739463090896606,8.472674629026422
beta_low,original,fresh_ulong_10,DISTS,0,103.50899100899102,0.08626880310475826,1,119.80144855144854,0.08369950205087662,-0.002569301053881645,-15.740137531668452
beta_low,original,fresh_ulong_10,LPIPS,1,132.28771228771228,0.07801714935339987,1,119.80144855144854,0.07778610300738364,-0.0002310463460162282,9.438717716357047
beta_low,original,fresh_ulong_10,DISTS,1,132.28771228771228,0.07741482742130756,2,151.58466533466535,0.07684867084026337,-0.0005661565810441971,-14.587109198006365
beta_low,original,fresh_ulong_10,LPIPS,2,170.96403596403596,0.07108415098628029,2,151.58466533466535,0.07014764891937375,-0.0009365020669065416,11.335349285651663
beta_low,original,fresh_ulong_10,DISTS,2,170.96403596403596,0.07177437469363213,3,190.52322677322678,0.07219147309660912,0.00041709840297698975,-11.440529406608825
beta_low,original,fresh_ulong_10,LPIPS,3,226.52472527472526,0.06322736787842587,3,190.52322677322678,0.06433214264689013,0.0011047747684642673,15.89296641143102
beta_low,original,fresh_ulong_10,DISTS,3,226.52472527472526,0.06645642593502998,3,190.52322677322678,0.07219147309660912,0.005735047161579132,15.89296641143102
beta_low,original,fresh_ulong_100,LPIPS,0,79.3425,0.29269819892942905,0,73.7625,0.2573277484625578,-0.03537045046687126,7.032800831836661
beta_low,original,fresh_ulong_100,DISTS,0,79.3425,0.16495357640087605,1,97.08375,0.16708288341760635,0.0021293070167303085,-22.360336515738723
beta_low,original,fresh_ulong_100,LPIPS,1,104.03625,0.2718278067186475,0,73.7625,0.2573277484625578,-0.014500058256089687,29.09923223876293
beta_low,original,fresh_ulong_100,DISTS,1,104.03625,0.14852433372288942,2,125.235,0.14763030409812927,-0.0008940296247601509,-20.37631114154923
beta_low,original,fresh_ulong_100,LPIPS,2,135.69375,0.2521602513734251,0,73.7625,0.2573277484625578,0.005167497089132667,45.640458753627186
beta_low,original,fresh_ulong_100,DISTS,2,135.69375,0.1400949666276574,3,163.56375,0.1403906336054206,0.00029566697776317596,-20.53889733314911
beta_low,original,fresh_ulong_100,LPIPS,3,178.53375,0.24006535904482007,1,97.08375,0.23517868178896606,-0.004886677255854011,45.621626163120425
beta_low,original,fresh_ulong_100,DISTS,3,178.53375,0.12822777964174747,3,163.56375,0.1403906336054206,0.012162853963673115,8.384969228507211
beta_low,original,fresh_ulong_101,LPIPS,0,130.61625,0.14503708214033395,0,105.28875,0.12546950369141996,-0.01956757844891399,19.39077258763746
beta_low,original,fresh_ulong_101,DISTS,0,130.61625,0.14316138438880444,0,105.28875,0.13318665511906147,-0.009974729269742966,19.39077258763746
beta_low,original,fresh_ulong_101,LPIPS,1,187.965,0.12968529714271426,0,105.28875,0.12546950369141996,-0.004215793451294303,43.98491740483601
beta_low,original,fresh_ulong_101,DISTS,1,187.965,0.13265275675803423,0,105.28875,0.13318665511906147,0.0005338983610272408,43.98491740483601
beta_low,original,fresh_ulong_101,LPIPS,2,268.7025,0.11332689819391817,1,150.24375,0.11357707297429442,0.0002501747803762555,44.08546626845674
beta_low,original,fresh_ulong_101,DISTS,2,268.7025,0.12257856503129005,1,150.24375,0.12262323405593634,4.4669024646282196e-05,44.08546626845674
beta_low,original,fresh_ulong_101,LPIPS,3,370.47,0.10008981416467577,2,212.21625,0.10194158449303359,0.0018517703283578157,42.7170216211839
beta_low,original,fresh_ulong_101,DISTS,3,370.47,0.11417116690427065,2,212.21625,0.11337796784937382,-0.0007931990548968315,42.7170216211839
beta_low,original,fresh_ulong_102,LPIPS,0,71.71875,0.2845525681041181,0,67.05375,0.2568240512628108,-0.027728516841307282,6.504575163398707
beta_low,original,fresh_ulong_102,DISTS,0,71.71875,0.15179892908781767,0,67.05375,0.13132139295339584,-0.020477536134421825,6.504575163398707
beta_low,original,fresh_ulong_102,LPIPS,1,93.0825,0.26449672039598227,0,67.05375,0.2568240512628108,-0.007672669133171439,27.96309725243735
beta_low,original,fresh_ulong_102,DISTS,1,93.0825,0.132149588316679,0,67.05375,0.13132139295339584,-0.0008281953632831573,27.96309725243735
beta_low,original,fresh_ulong_102,LPIPS,2,120.00375,0.2455117697827518,0,67.05375,0.2568240512628108,0.011312281480059028,44.123621136839475
beta_low,original,fresh_ulong_102,DISTS,2,120.00375,0.12347044423222542,1,87.64875,0.11990516632795334,-0.0035652779042720795,26.961657448204733
beta_low,original,fresh_ulong_102,LPIPS,3,155.41125,0.22789993113838136,1,87.64875,0.23007198981940746,0.002172058681026101,43.60205583572617
beta_low,original,fresh_ulong_102,DISTS,3,155.41125,0.12158727552741766,1,87.64875,0.11990516632795334,-0.0016821091994643211,43.60205583572617
beta_low,original,fresh_ulong_103,LPIPS,0,167.85375,0.1013468625023961,0,153.18375,0.09527879161760211,-0.006068070884793997,8.73975112262907
beta_low,original,fresh_ulong_103,DISTS,0,167.85375,0.08589303214102983,1,191.20875,0.08508140314370394,-0.0008116289973258972,-13.913898259645684
beta_low,original,fresh_ulong_103,LPIPS,1,209.77125,0.09009590174537152,0,153.18375,0.09527879161760211,0.005182889872230589,26.975812939094368
beta_low,original,fresh_ulong_103,DISTS,1,209.77125,0.07973845582455397,2,240.6675,0.07847941759973764,-0.0012590382248163223,-14.728543592127119
beta_low,original,fresh_ulong_103,LPIPS,2,267.9075,0.0804876679321751,2,240.6675,0.07638444734038785,-0.004103220591787249,10.167688474566795
beta_low,original,fresh_ulong_103,DISTS,2,267.9075,0.07174810487776995,3,302.025,0.07364238239824772,0.0018942775204777718,-12.734805856498955
beta_low,original,fresh_ulong_103,LPIPS,3,337.8,0.07214005698915571,3,302.025,0.06921418767888099,-0.00292586931027472,10.590586145648317
beta_low,original,fresh_ulong_103,DISTS,3,337.8,0.06679034605622292,3,302.025,0.07364238239824772,0.006852036342024803,10.590586145648317
beta_low,original,fresh_ulong_104,LPIPS,0,106.4475,0.15110041748266667,0,96.57,0.14577984577044845,-0.005320571712218225,9.279222151764966
beta_low,original,fresh_ulong_104,DISTS,0,106.4475,0.10818523913621902,0,96.57,0.1096970560029149,0.0015118168666958809,9.279222151764966
