sample,video,frame,group,split,stage,initialization,step,lambda,quantized,code_domain,code_l2,code_rms,residual_l2,gradient_l2,R_est_bpp,estimated_symbol_bits,elapsed_seconds,symbol_nonzero_fraction,mse,psnr,ms_ssim,lpips,L_image,selection_objective,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,selected,nondominated_psnr_lpips,diagnostic_container_bits,actual_frame_packet_bits,actual_frame_share_bits,R_actual_bpp,zero_grid_skip,roundtrip_exact,diagnostic_stream
2996c286-14c5-4157-95ba-f2a73fae0187_f0003,2996c286-14c5-4157-95ba-f2a73fae0187,3.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,100.0,0.0,False,physical prequantizer u,659.2018512442454,10.320205299436143,33.852694949569575,1.1966006136886877e-06,0.0,0.0,25.007693469524384,,0.013712489510707998,18.628836916282353,0.5017657619404295,0.546176552772522,0.01425866606348052,0.01425866606348052,0.2871054241823927,0.015747352471118414,-0.011907696723937988,0.25419124992891895,-0.0004469750722979615,0.013898313045501709,0.2609500334799648,7.52190907402639e-05,0.013701677322387695,False,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0003,2996c286-14c5-4157-95ba-f2a73fae0187,3.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,731.2059592695432,11.44747333702016,37.38393613807499,8.390384222661852e-07,0.0,0.0,36.673999048769474,,0.01357381681010287,18.67298016268636,0.5039891357618015,0.5500006079673767,0.014123817418070245,0.014123817418070245,0.33124867058640106,0.017970726292490358,-0.008083641529083252,0.2983344963329273,0.0017763987490739819,0.017722368240356445,0.30509327988397317,0.0022985929121122073,0.01752573251724243,True,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0004,2996c286-14c5-4157-95ba-f2a73fae0187,4.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,25.0,0.0,False,physical prequantizer u,555.1478205001916,8.691176258504958,27.78889082787631,2.417050160247817e-06,0.0,0.0,6.843643508851528,,0.01475360680960278,18.311017948708106,0.4950250358272788,0.5492364764213562,0.015302843286024135,0.015302843286024135,0.20571904568510035,0.014650239137358245,-0.023949801921844482,0.11918233331323336,-0.00036323461489706776,-0.0011073946952819824,0.12396914338981802,0.00010522204847901451,-0.001100301742553711,False,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0004,2996c286-14c5-4157-95ba-f2a73fae0187,4.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,50.0,0.0,False,physical prequantizer u,599.5644132264664,9.386544990815688,29.508591949918966,1.899704559799262e-06,0.0,0.0,13.447611041367054,,0.014543358001862924,18.37335305079357,0.4941547777094304,0.5523236393928528,0.015095681641255777,0.015095681641255777,0.26805414777056313,0.013779981019509835,-0.0208626389503479,0.18151743539869614,-0.001233492732745478,0.0019797682762145996,0.1863042454752808,-0.0007650360693693958,0.001986861228942871,False,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0004,2996c286-14c5-4157-95ba-f2a73fae0187,4.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,100.0,0.0,False,physical prequantizer u,676.6769797981319,10.593789049193129,33.55668492966,1.2276142136622395e-06,0.0,0.0,25.03487990051508,,0.014301270179588139,18.446253885846865,0.4949531125756297,0.5625499486923218,0.01486382012828046,0.01486382012828046,0.3409549828238596,0.014578315885709126,-0.010636329650878906,0.2544182704519926,-0.0004351578665461875,0.012206077575683594,0.25920508052857727,3.3298796829894783e-05,0.012213170528411865,False,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0004,2996c286-14c5-4157-95ba-f2a73fae0187,4.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,751.5495272418693,11.765964247810471,36.72346742283938,9.620269599675159e-07,0.0,0.0,36.61992825567722,,0.01415498123334479,18.490907020855406,0.4967196207467408,0.5674563050270081,0.014722437538371798,0.014722437538371798,0.3856081178324011,0.01634482405682025,-0.005729973316192627,0.2990714054605341,0.0013313503045649377,0.017112433910369873,0.3038582155371188,0.00179980696794102,0.017119526863098145,True,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0005,2996c286-14c5-4157-95ba-f2a73fae0187,5.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,25.0,0.0,False,physical prequantizer u,550.4738320685176,8.618002131200827,28.00182071309163,2.418596960785081e-06,0.0,0.0,6.865392968058586,,0.014114368962326047,18.50338533904306,0.49903090588250104,0.5387689471244812,0.014653137909450529,0.014653137909450529,0.1589366951807527,0.014446560726911972,-0.026091575622558594,0.1178937798530022,-0.0003838963670362294,-0.0001354813575744629,0.1246705292504302,-0.00010797526651895595,-0.0010342001914978027,False,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0005,2996c286-14c5-4157-95ba-f2a73fae0187,5.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,50.0,0.0,False,physical prequantizer u,592.929284419146,9.282668019975118,29.639261744661436,1.8204022613416518e-06,0.0,0.0,13.426678702235222,,0.013907627149778837,18.567469608536168,0.4983597375987953,0.542744517326355,0.014450371667105192,0.014450371667105192,0.2230209646738608,0.013775392443206247,-0.022116005420684814,0.18197804934611028,-0.0010550646507419548,0.0038400888442993164,0.1887547987435383,-0.0007791435502246813,0.0029413700103759766,False,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0005,2996c286-14c5-4157-95ba-f2a73fae0187,5.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,100.0,0.0,False,physical prequantizer u,668.0012464634743,10.457965175264636,33.25572291471102,1.0644970936912556e-06,0.0,0.0,24.95352804660797,,0.013688320451345912,18.636498362677884,0.4992857801203862,0.5497051477432251,0.014238025599089137,0.014238025599089137,0.2920497188155764,0.014701434964797144,-0.015155375003814697,0.2510068034878259,-0.00012902212915105737,0.010800719261169434,0.2577835528852539,0.0001468989713662161,0.009902000427246094,False,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0005,2996c286-14c5-4157-95ba-f2a73fae0187,5.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,746.0562399687734,11.679963499602433,36.033281931689054,8.458705242477062e-07,0.0,0.0,36.55922515690327,,0.013558909357243376,18.677752425619055,0.5010111296549082,0.5538886785507202,0.014112798035794096,0.014112798035794096,0.33330378175674724,0.01642678449931917,-0.01097184419631958,0.29226086642899674,0.0015963274053709675,0.01498425006866455,0.29903761582642474,0.001872248505888241,0.014085531234741211,True,True,,,,,,,
