sample,video,frame,group,split,stage,initialization,step,lambda,quantized,code_domain,code_l2,code_rms,residual_l2,gradient_l2,R_est_bpp,estimated_symbol_bits,elapsed_seconds,symbol_nonzero_fraction,mse,psnr,ms_ssim,lpips,L_image,selection_objective,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,selected,nondominated_psnr_lpips
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,network_train6,Train2,A6_ENCODER_START,ENCODER_START,0,0.0,False,physical prequantizer u,622.0391945495411,9.738401340849093,32.92854389695548,3.009696058056129e-06,0.0,0.0,0.3648703619837761,,0.013260256666815283,18.774480696037376,0.8052675392620717,0.31913861632347107,0.013579395283138755,0.013579395283138755,0.5991311173577394,0.034332893120329055,-0.06317293643951416,0.0,0.0,0.0,0.021091693349166718,0.0010660467541147023,-0.0008796751499176025,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,network_train6,Train2,A6_ENCODER_START,ENCODER_START,25,0.0,False,physical prequantizer u,691.9151535043271,10.832351912357991,34.37244669329415,1.571732287552823e-06,0.0,0.0,6.7699998915195465,,0.013039954077450237,18.847239380477394,0.8069224632917987,0.3221665620803833,0.01336212063953062,0.01336212063953062,0.6718898017977573,0.035987817150056056,-0.06014499068260193,0.07275868444001787,0.0016549240297270007,0.0030279457569122314,0.09385037778918459,0.002720970783841703,0.002148270606994629,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,network_train6,Train2,A6_ENCODER_START,ENCODER_START,50,0.0,False,physical prequantizer u,756.0104900868056,11.835803330188657,35.677209732271834,1.1087152198131511e-06,0.0,0.0,13.156755603849888,,0.012939481638324932,18.88083121358531,0.8079835113321994,0.3229057788848877,0.01326238741720982,0.01326238741720982,0.7054816349056736,0.03704886519045669,-0.059405773878097534,0.10635051754793423,0.002715972070127637,0.003767162561416626,0.12744221089710095,0.003782018824242339,0.0028874874114990234,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,network_train6,Train2,A6_ENCODER_START,ENCODER_START,100,0.0,False,physical prequantizer u,853.8083407168533,13.366888072199982,37.582877948574435,6.996365557929868e-07,0.0,0.0,24.49225603044033,,0.012837428938754008,18.915219474135498,0.8093416321925204,0.32345616817474365,0.013160885106928751,0.013160885106928751,0.7398698954558611,0.03840698605077775,-0.05885538458824158,0.14073877809812174,0.004074092930448692,0.004317551851272583,0.16183047144728846,0.005140139684563394,0.0034378767013549805,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,network_train6,Train2,A6_ENCODER_START,ENCODER_START,150,0.0,False,physical prequantizer u,928.2139067308913,14.531752392948237,39.044663601555165,4.982671895963721e-07,0.0,0.0,35.86177970468998,,0.012782616979905667,18.933802241445463,0.8101013639291704,0.3241235613822937,0.013106740541287961,0.013106740541287961,0.7584526627658263,0.03916671778742775,-0.05818799138069153,0.15932154540808696,0.004833824667098696,0.004984945058822632,0.18041323875725368,0.0058998714212133985,0.004105269908905029,True,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,network_train6,Train2,A6_ENCODER_START,ENCODER_START,0,0.0,False,physical prequantizer u,273.4180009899876,4.280524845996842,20.922300574328624,7.211059801298984e-07,0.0,0.0,0.35702338069677353,,0.0009547134813931551,30.201269447721483,0.9105388104443658,0.13684600591659546,0.0010915594873097505,0.0010915594873097505,0.9864776219152809,0.015681296389797206,-0.04713061451911926,0.0,0.0,0.0,0.08416104783757206,0.0013735061308528529,-0.0030094534158706665,False,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,network_train6,Train2,A6_ENCODER_START,ENCODER_START,25,0.0,False,physical prequantizer u,313.79658931073,4.9126761671512424,21.78450985683986,3.5138255346494423e-07,0.0,0.0,6.9808313846588135,,0.0009202879939264255,30.360762437405985,0.9110956599609151,0.13674995303153992,0.0010570379469579654,0.0010570379469579654,1.1459706115997825,0.016238145906346535,-0.047226667404174805,0.15949298968450165,0.0005568495165493292,-9.605288505554199e-05,0.2436540375220737,0.0019303556474021821,-0.0031055063009262085,False,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,network_train6,Train2,A6_ENCODER_START,ENCODER_START,50,0.0,False,physical prequantizer u,350.19655860200584,5.482539791275003,22.55149664058653,2.597225014983906e-07,0.0,0.0,13.597813330590725,,0.0009062747183094613,30.42740135037223,0.9118673271794321,0.13583435118198395,0.0010421090694914452,0.0010421090694914452,1.2126095245660267,0.017009813124863493,-0.048142269253730774,0.2261319026507458,0.0013285167350662874,-0.0010116547346115112,0.31029295048831784,0.0027020228659191403,-0.004021108150482178,False,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,network_train6,Train2,A6_ENCODER_START,ENCODER_START,100,0.0,False,physical prequantizer u,408.77597762986,6.39963617009745,23.694765090491888,1.756569692939749e-07,0.0,0.0,25.19129890948534,,0.000890983210313448,30.501304797307167,0.9127813219395499,0.1346295326948166,0.0010256127430082647,0.0010256127430082647,1.286512971500965,0.01792380788498127,-0.04934708774089813,0.30003534958568423,0.002242511495184063,-0.0022164732217788696,0.3841963974232563,0.003616017626036916,-0.005225926637649536,False,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,network_train6,Train2,A6_ENCODER_START,ENCODER_START,150,0.0,False,physical prequantizer u,454.99605861493217,7.123239606316825,24.603421512545175,1.3911071983099938e-07,0.0,0.0,36.798003666102886,,0.0008820272615537435,30.545179915582146,0.9133310301483074,0.13392603397369385,0.0010159532955274374,0.0010159532955274374,1.3303880897759441,0.018473516093738818,-0.050050586462020874,0.34391046786066326,0.002792219703941612,-0.0029199719429016113,0.4280715156982353,0.004165725834794465,-0.005929425358772278,True,True
