method,group,frames,lambda,actual_packet_bits,rate_note,psnr,ms_ssim,lpips,symbol_nonzero_fraction,nonzero_enhancement_frame,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED
B_Train2_lambda1_WRONG,Train2_rest24,24.0,0.011790604283044334,,"group packet cost only, shared headers charged in complete sequence; not a group RD point",23.837686332909687,0.8470775221268206,0.2521854719767968,0.335426880667607,1.0,-0.14567724851104927,0.0028810444175235983,-0.023694575453797977,-0.7446180086846477,-0.01906508377786513,0.029024365668495495,-0.6975247055761645,-0.017950428620175082,0.027845217535893124
B_Train2_lambda1_WRONG,network_train6,6.0,0.011790604283044334,,"group packet cost only, shared headers charged in complete sequence; not a group RD point",23.690328212496908,0.8428328482778991,0.2561412379145622,0.3496323625246684,1.0,-0.13649270998669513,0.003270363903593587,-0.025695969661076862,-0.8516763483382821,-0.02100911709929047,0.02951847016811371,-0.801232278472872,-0.019863587676799317,0.027986566225687664
B_Train2_lambda1_ZERO,Train2_rest24,24.0,0.011790604283044334,,"group packet cost only, shared headers charged in complete sequence; not a group RD point",23.983363581420733,0.8441964777092971,0.27588004743059474,0.0,0.0,0.0,0.0,0.0,-0.5989407601735984,-0.02194612819538873,0.05271894112229347,-0.5518474570651152,-0.02083147303769868,0.0515397929896911
B_Train2_lambda1_ZERO,network_train6,6.0,0.011790604283044334,,"group packet cost only, shared headers charged in complete sequence; not a group RD point",23.826820922483602,0.8395624843743055,0.28183720757563907,0.0,0.0,0.0,0.0,0.0,-0.7151836383515869,-0.024279481002884056,0.055214439829190574,-0.6647395684861769,-0.023133951580392904,0.053682535886764526
B_Train2_lambda3,Train2_rest24,24.0,0.18864966852870935,53816.0,"group packet cost only, shared headers charged in complete sequence; not a group RD point",24.099316133464935,0.8488212803113866,0.2724820797642072,0.1107741016894579,0.5,0.11595255204420003,0.004624802602089574,-0.003397967666387558,-0.48298820812939836,-0.017321325593299155,0.049320973455905914,-0.43589490502091516,-0.016206670435609107,0.04814182532330354
B_Train2_lambda3,network_train6,6.0,0.18864966852870935,14040.0,"group packet cost only, shared headers charged in complete sequence; not a group RD point",23.947086425791003,0.8447578153835535,0.2771599218249321,0.11825980494419734,0.5,0.12026550330740211,0.0051953310092481275,-0.00467728575070699,-0.5949181350441849,-0.01908414999363593,0.05053715407848358,-0.5444740651787748,-0.017938620571144776,0.049005250136057533
B_Train2_lambda3_WRONG,Train2_rest24,24.0,0.18864966852870935,,"group packet cost only, shared headers charged in complete sequence; not a group RD point",23.88454883059012,0.843272153735691,0.2750466354191303,0.1107741016894579,0.5,-0.09881475083061719,-0.0009243239736061124,-0.0008334120114644369,-0.6977555110042156,-0.022870452168994842,0.05188552911082903,-0.6506622078957324,-0.021755797011304794,0.05070638097822666
B_Train2_lambda3_WRONG,network_train6,6.0,0.18864966852870935,,"group packet cost only, shared headers charged in complete sequence; not a group RD point",23.72861393065047,0.8386410043137494,0.28080301235119504,0.11825980494419734,0.5,-0.09820699183312698,-0.0009214800605558312,-0.0010341952244440715,-0.8133906301847139,-0.025200961063439886,0.0541802446047465,-0.7629465603193039,-0.024055431640948737,0.05264834066232046
B_Train2_lambda3_ZERO,Train2_rest24,24.0,0.18864966852870935,,"group packet cost only, shared headers charged in complete sequence; not a group RD point",23.983363581420733,0.8441964777092971,0.27588004743059474,0.0,0.0,0.0,0.0,0.0,-0.5989407601735984,-0.02194612819538873,0.05271894112229347,-0.5518474570651152,-0.02083147303769868,0.0515397929896911
B_Train2_lambda3_ZERO,network_train6,6.0,0.18864966852870935,,"group packet cost only, shared headers charged in complete sequence; not a group RD point",23.826820922483602,0.8395624843743055,0.28183720757563907,0.0,0.0,0.0,0.0,0.0,-0.7151836383515869,-0.024279481002884056,0.055214439829190574,-0.6647395684861769,-0.023133951580392904,0.053682535886764526
