method,split,video,scope,frames,lambda,base_bits,enhancement_bits,base_kbps,enhancement_kbps,total_kbps,total_bpp,enhancement_fraction,duration_seconds,diagnostic,zero_no_stream_fallback,nonzero_enhancement_frame_fraction_P,psnr,ms_ssim,lpips,L_image,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,psnr_minus_ORIGINAL_QP0,ms_ssim_minus_ORIGINAL_QP0,lpips_minus_ORIGINAL_QP0
A_Val6_step150,Val6,30884276-8cb2-485e-b0ca-a22605c1801f,IP,16.0,,65520.0,,122.850076781298,,,,,0.533333,True,False,1.0,25.058522882312428,0.7678119738708246,0.4222939033061266,0.0035987067291934367,0.5922688139920962,0.01053985464364024,-0.02985478565096855,0.8442737829426028,0.009714391165458983,0.020886290818452835,0.8227607801296253,0.009764904114499935,0.0191903468221426,3.305243638842663,0.050597036364231275,0.12770346738398075
A_Val6_step150,Val6,66d34721-a96d-4a92-9042-0847e057f3ba,P,15.0,,69192.0,,129.7350810844257,,,,,0.533333,True,False,1.0,30.039784315529264,0.8904781295051916,0.20454565485318502,0.0011959501141082666,1.8387372670225346,0.005244795285117343,-0.0330911119778951,2.0070536845653932,0.003670795584137617,0.002916964888572693,1.8784331561617396,0.004193842619524224,0.0020063430070877074,5.275398522236931,0.033462992065464214,0.01432002584139506
A_Val6_step150,Val6,66d34721-a96d-4a92-9042-0847e057f3ba,IP,16.0,,69192.0,,129.7350810844257,,,,,0.533333,True,False,1.0,29.769267470703525,0.8865554881617701,0.20571156777441502,0.0013029287466839803,1.7238161878336262,0.004916995579797509,-0.031022917479276657,1.8816128292800562,0.0034413708601290158,0.0027346545830368996,1.7610310839016308,0.00393172745580396,0.0018809465691447258,4.945686114597124,0.0313715550613727,0.013425024226307869
A_Val6_step150,Val6,b3d4cebf-21ab-41e1-b79a-729d35794681,P,15.0,,83456.0,,156.48009780006115,,,,,0.533333,True,False,1.0,30.772543506740046,0.9136185904178596,0.23608229358990987,0.001073886719661808,1.5325178899802168,0.004899896015354618,-0.03845346172650655,1.3176731966124466,0.0032309688827961555,-0.0035512447357177734,1.2256714129164916,0.0036073710048310464,-0.005794796347618103,4.884152002996505,0.026379197298823463,0.0014792978763580322
A_Val6_step150,Val6,b3d4cebf-21ab-41e1-b79a-729d35794681,IP,16.0,,83456.0,,156.48009780006115,,,,,0.533333,True,False,1.0,30.516644904613045,0.9104247400544744,0.23567707277834415,0.0011554148312708074,1.4367355218564533,0.004593652514394954,-0.03605012036859989,1.2353186218241687,0.0030290333276213957,-0.0033292919397354126,1.149066949609211,0.003381910317029106,-0.005432621575891972,4.578892502809223,0.024730497467646995,0.0013868417590856552
A_Val6_step150,Val6,46da3cc3-6beb-425c-a870-c8d7bae89311,P,15.0,,94712.0,,177.58511099069437,,,,,0.533333,True,False,1.0,27.47768331661496,0.8903500439737427,0.20806848704814912,0.0019962962739173405,1.4805604270172026,0.005812540797447374,-0.03405026396115621,0.7784943566080755,0.003184176052754835,-0.0009352753559748332,0.8405060053716935,0.0038678089699598775,-0.0009609311819076538,3.656460414305489,0.01735429900800868,-0.00030853648980458577
A_Val6_step150,Val6,46da3cc3-6beb-425c-a870-c8d7bae89311,IP,16.0,,94712.0,,177.58511099069437,,,,,0.533333,True,False,1.0,27.240117215453694,0.8853367207577026,0.20959604065865278,0.0021541106005898165,1.3880254003286274,0.005449256997606913,-0.031922122463583946,0.7298384593200709,0.002985165049457658,-0.0008768206462264061,0.7879743800359627,0.0036260709093373852,-0.0009008729830384254,3.4279316384113963,0.01626965532000814,-0.00028925295919179916
A_Val6_step150,Val6,2996c286-14c5-4157-95ba-f2a73fae0187,P,15.0,,81944.0,,153.64509602818504,,,,,0.533333,True,False,1.0,18.572191822883408,0.4943414072624103,0.5602089087168376,0.014455399407208365,0.38077919818868317,0.017113264450706146,-0.011924803256988525,0.30413734209712806,0.0015717078645878198,0.013285231590270997,0.3103881266935948,0.00205875732366985,0.012378652890523275,2.222587928173072,0.01611994960187808,0.15447319746017457
A_Val6_step150,Val6,2996c286-14c5-4157-95ba-f2a73fae0187,IP,16.0,,81944.0,,153.64509602818504,,,,,0.533333,True,False,1.0,18.43307231352044,0.4877838057551582,0.5512529760599136,0.015027606984856261,0.3569804983018905,0.01604368542253701,-0.011179503053426743,0.28512875821605754,0.001473476123051081,0.012454904615879059,0.2909888687752451,0.0019300849909404845,0.01160498708486557,2.083676182662255,0.0151124527517607,0.14481862261891365
B_Train2_ZERO_NO_STREAM,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,P,15.0,,92960.0,0.0,174.3001089375681,0.0,174.3001089375681,0.0028018904320987656,0.0,0.533333,False,True,0.0,18.329888267675436,0.7847807763103111,0.3785805066426595,0.015072418892998013,0.0,0.0,0.0,-0.5578683379151959,-0.03280726255476441,0.06336670120557149,-0.5327730622293657,-0.03159244213627425,0.06248035828272502,2.222462182577028,0.014043646247131274,0.15074426134427388
B_Train2_ZERO_NO_STREAM,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,IP,16.0,,92960.0,0.0,174.3001089375681,0.0,174.3001089375681,0.0028018904320987656,0.0,0.533333,False,True,0.0,18.148826288093332,0.7782865542775682,0.37195534631609917,0.015936346520354586,0.0,0.0,0.0,-0.5230015667954961,-0.030756808645091636,0.059406282380223274,-0.4994747458400304,-0.02961791450275711,0.0585753358900547,2.0835582961659638,0.013165918356685569,0.14132274501025677
B_Train2_ZERO_NO_STREAM,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,P,15.0,,104784.0,0.0,196.2736037252724,0.0,196.2736037252724,0.003158275462962963,0.0,0.533867,False,True,0.0,29.574221831591174,0.9017585817742864,0.17556245227654774,0.001279517025382398,0.0,0.0,0.0,-0.6865103337031964,-0.012018334959011175,0.043069380521774295,-0.6160786964692894,-0.010991495356200802,0.04145632485548655,1.8861521114283566,0.006189490795487762,0.02905059854189555
B_Train2_ZERO_NO_STREAM,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,IP,16.0,,104784.0,0.0,196.2736037252724,0.0,196.2736037252724,0.003158275462962963,0.0,0.533867,False,True,0.0,29.373566793172266,0.8963387012512345,0.17879619169980288,0.0013581332243914348,0.0,0.0,0.0,-0.6436034378467466,-0.011267189024072977,0.0403775442391634,-0.5775737779399588,-0.010304526896438251,0.03886530455201864,1.7682676044640844,0.005802647620769777,0.027234936133027077
