dataset,video,video_id,qp,branch,beta,search_order,search_phase,baseline_bytes,actual_bytes,actual_bits,rate_ratio,rate_gap_bytes,rate_gap_percent,over_or_under_budget,bracket_low_beta,bracket_high_beta,optimization_distortion,PSNR,SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,decode_status,state_sync_status,finite_status,reused,is_optimized
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,3000.0,9,EXPANSION,57653,69113,552904,1.1987754323278927,11460,19.877543232789275,OVER,300.0,,0.004828887858561107,23.31238179242695,0.9679840551689267,0.20652852253988385,0.12326334323734045,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp1_generator_aware_beta3000.bin,2a887633a1166840455dc6bfb46afcffa98cffbcfa27e511dba0e3a79ad834eb,PASS,PASS,PASS,False,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,10000.0,10,EXPANSION,57653,68975,551800,1.1963818014673997,11322,19.63818014673997,OVER,300.0,,0.004840435153464713,23.29213057054834,0.9679908929392695,0.20730480225756764,0.12433668319135904,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp1_generator_aware_beta10000.bin,3f3d373c8b20fe06e0353a771e49dad62154c526b3e945e0618f183a34e8d8df,PASS,PASS,PASS,False,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,0.0,0,REUSED_V12_1,96549,824562,6596496,8.540347388372743,728013,754.0347388372743,OVER,,,3.3807796864282516,23.214835457822723,0.9687094651162624,0.2147029535844922,0.142954065464437,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_compression_aware_beta0.bin,d9be475f139666f880255d9160f7246cfdee0abcce74e72e59c3e6800e31bcc5,PASS,PASS,PASS,True,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,0.1,1,REUSED_V12_1,96549,188734,1509872,1.9548001532900392,92185,95.48001532900392,OVER,,,3.626194609536065,24.525720335083445,0.9766018716618419,0.160590662737377,0.1005804305896163,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_compression_aware_beta0.1.bin,4d3298ea22f4a7dfc4d428969f0e69c8647407a9e153c25a5280cf44e2cda3c4,PASS,PASS,PASS,True,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,0.3,2,REUSED_V12_1,96549,120266,962128,1.245647287905623,23717,24.564728790562306,OVER,,,3.669715298546685,24.642746234540574,0.9771270230412483,0.16015583160333335,0.09808190818876028,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_compression_aware_beta0.3.bin,255c286bfee9ffb1d75e25a845302d2b24eadc1160bf93c67ab74512e79e3ed4,PASS,PASS,PASS,True,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,1.0,3,REUSED_V12_1,96549,97529,780232,1.01015028638308,980,1.015028638308002,OVER,,,3.6921081391591875,24.598505026358225,0.9766527684405446,0.1627752835629508,0.10195896122604609,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_compression_aware_beta1.bin,03fc313cad0c6cbfa9af4fa6de3e8b8afa3f33fa2e8103070b78aa3538a63d19,PASS,PASS,PASS,True,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,10.0,4,REUSED_V12_1,96549,95411,763288,0.9882132388735254,-1138,-1.1786761126474588,UNDER,,,3.6955204615517268,24.560880713598056,0.9761342946439981,0.1649578409269452,0.10064506251364946,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_compression_aware_beta10.bin,dc05af0475dc04b1308d986cadca284be0827c0714372084d4d0913b0bb926c6,PASS,PASS,PASS,True,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,3.1622776601683795,5,ADAPTIVE_LOG_MIDPOINT,96549,94133,753064,0.9749764368351821,-2416,-2.502356316481791,UNDER,1.0,10.0,3.700038444428217,24.584780821437402,0.9763944875448942,0.16411766700912267,0.10095426999032497,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp3_compression_aware_beta3.16227766017.bin,4e150bb948e7b397ffac27a0902db664b1a8c3e4e7448d3ac8444474b905c97b,PASS,PASS,PASS,False,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,1.7782794100389228,6,ADAPTIVE_LOG_MIDPOINT,96549,94946,759568,0.9833970315591047,-1603,-1.660296844089526,UNDER,1.0,3.1622776601683795,3.688477909754193,24.571922267017758,0.9765292517840862,0.16544249944854528,0.10330456029623747,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp3_compression_aware_beta1.77827941004.bin,0d89485c2b1d61b10a4bdce0f044ced7bfcc9a58ead46ca98b865a59a4e292ca,PASS,PASS,PASS,False,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,1.333521432163324,7,ADAPTIVE_LOG_MIDPOINT,96549,96385,771080,0.9983013806460967,-164,-0.16986193539032524,UNDER,1.0,1.7782794100389228,3.6896762204548668,24.58027214398362,0.9764896826818585,0.16373189887963235,0.10095960088074207,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp3_compression_aware_beta1.33352143216.bin,79938fd0639b7e1a53d46d59e3896b9dfce50956649641ada79e49258ad0dc84,PASS,PASS,PASS,False,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,generator_aware,0.0,0,REUSED_V12_1,96549,693145,5545160,7.179204341836788,596596,617.9204341836788,OVER,,,0.0023187438048244942,26.47907928413736,0.984773637726903,0.15527854312676936,0.1160054411739111,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_generator_aware_beta0.bin,b899830209ab89d3f469295f625b01642e22f975e4a432c5cf49cb69cbebcc1b,PASS,PASS,PASS,True,True
