dataset,video,video_id,qp,branch,actual_bytes,actual_bits,PSNR,SSIM,LPIPS,DISTS,is_baseline,is_budget_feasible,is_selected,iteration,restart,lambda_or_beta,interpolated_only,bitstream_path,search_phase,reused
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,188734,1509872,24.525720335083445,0.9766018716618419,0.160590662737377,0.1005804305896163,False,False,False,20,0,0.1,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_compression_aware_beta0.1.bin,REUSED_V12_1,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,120266,962128,24.642746234540574,0.9771270230412483,0.16015583160333335,0.09808190818876028,False,False,False,20,0,0.3,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_compression_aware_beta0.3.bin,REUSED_V12_1,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,97529,780232,24.598505026358225,0.9766527684405446,0.1627752835629508,0.10195896122604609,False,False,False,20,0,1.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_compression_aware_beta1.bin,REUSED_V12_1,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,96385,771080,24.58027214398362,0.9764896826818585,0.16373189887963235,0.10095960088074207,False,True,True,20,0,1.333521432163324,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp3_compression_aware_beta1.33352143216.bin,ADAPTIVE_LOG_MIDPOINT,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,94946,759568,24.571922267017758,0.9765292517840862,0.16544249944854528,0.10330456029623747,False,True,False,20,0,1.7782794100389228,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp3_compression_aware_beta1.77827941004.bin,ADAPTIVE_LOG_MIDPOINT,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,95411,763288,24.560880713598056,0.9761342946439981,0.1649578409269452,0.10064506251364946,False,True,False,20,0,10.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_compression_aware_beta10.bin,REUSED_V12_1,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,94133,753064,24.584780821437402,0.9763944875448942,0.16411766700912267,0.10095426999032497,False,True,False,20,0,3.1622776601683795,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp3_compression_aware_beta3.16227766017.bin,ADAPTIVE_LOG_MIDPOINT,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,generator_aware,693145,5545160,26.47907928413736,0.984773637726903,0.15527854312676936,0.1160054411739111,False,False,False,20,0,0.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_generator_aware_beta0.bin,REUSED_V12_1,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,generator_aware,259662,2077296,27.311176521321098,0.98716224078089,0.1297186496667564,0.0935357790440321,False,False,False,20,0,0.1,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_generator_aware_beta0.1.bin,REUSED_V12_1,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,generator_aware,185391,1483128,27.271134843501017,0.9869918189942837,0.13034452579449862,0.08742476347833872,False,False,False,20,0,0.3,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_generator_aware_beta0.3.bin,REUSED_V12_1,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,generator_aware,134329,1074632,26.797784661478012,0.9854180132970214,0.13869456946849823,0.08670310396701097,False,False,False,20,0,1.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_generator_aware_beta1.bin,REUSED_V12_1,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,generator_aware,104030,832240,25.283191881233016,0.9798421366140246,0.1564843823434785,0.09575621597468853,False,False,False,20,0,10.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_generator_aware_beta10.bin,REUSED_V12_1,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,generator_aware,97665,781320,24.645112683395688,0.9766791900619864,0.1632846532156691,0.1016121068969369,False,False,False,20,0,100.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp3_generator_aware_beta100.bin,EXPANSION,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,generator_aware,96697,773576,24.548769102051583,0.9761193841695786,0.1658489143010229,0.10118325520306826,False,False,False,20,0,1000.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp3_generator_aware_beta1000.bin,EXPANSION,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,generator_aware,97225,777800,24.541281502312852,0.9761941870674491,0.16546151309739798,0.10113139264285564,False,False,False,20,0,10000.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp3_generator_aware_beta10000.bin,EXPANSION,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,generator_aware,99511,796088,24.9020912874135,0.9778897259384394,0.1618457183940336,0.09743124339729548,False,False,False,20,0,30.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp3_generator_aware_beta30.bin,EXPANSION,False
