dataset,video,qp,branch,actual_bytes,actual_bits,PSNR,LPIPS,DISTS,is_baseline,is_budget_feasible,is_selected,iteration,restart,lambda_or_beta
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,compression_aware,89129,713032,28.776382694864104,0.15677109942771494,0.10338347312062979,False,False,False,20,0,10.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,generator_aware,78986,631888,30.15030891001539,0.10498300509061664,0.06271296553313732,False,True,True,0,0,baseline_init
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,generator_aware,750494,6003952,31.625958906537473,0.13883527868892998,0.10247192904353142,False,False,False,20,0,0.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,generator_aware,307880,2463040,32.39686758429131,0.11344771785661578,0.08100526127964258,False,False,False,20,0,0.1
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,generator_aware,199084,1592672,32.45047090282521,0.10696988191921264,0.06876606121659279,False,False,False,20,0,0.3
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,generator_aware,131586,1052688,31.839151134560495,0.11405269533861428,0.06981800310313702,False,False,False,20,0,1.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,generator_aware,97324,778592,30.107367401971914,0.1385325042065233,0.08946926053613424,False,False,False,20,0,10.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,baseline,35312,282496,28.47158724994585,0.07612672576215118,0.07411882560700178,True,True,True,0,0,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,compression_aware,635770,5086160,25.830475359362307,0.18509556609205902,0.15221665520220995,False,False,False,20,0,0.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,compression_aware,83840,670720,26.82767711195231,0.11290403746534139,0.10265244916081429,False,False,False,20,0,0.1
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,compression_aware,50337,402696,25.868358773178592,0.11507463036105037,0.10132408142089844,False,False,False,20,0,0.3
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,compression_aware,41278,330224,26.044025826087157,0.1140745832817629,0.10062038991600275,False,False,False,20,0,1.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,compression_aware,43850,350800,26.61873034908365,0.1124806609004736,0.10085733514279127,False,False,False,20,0,10.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,generator_aware,481979,3855832,30.391469734921525,0.10766222793608904,0.10042525827884674,False,False,False,20,0,0.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,generator_aware,134260,1074080,31.254323143512345,0.07681945845251903,0.07950353436172009,False,False,False,20,0,0.1
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,generator_aware,83739,669912,30.83285153351428,0.07832321611931548,0.07738903164863586,False,False,False,20,0,0.3
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,generator_aware,57288,458304,29.639960337422867,0.08760168752633035,0.08309537265449762,False,False,False,20,0,1.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,generator_aware,46506,372048,27.742149041550235,0.10396493424195796,0.09555602725595236,False,False,False,20,0,10.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,baseline,60467,483736,29.1175276946312,0.06236264604376629,0.061576093547046185,True,True,True,0,0,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,compression_aware,630494,5043952,27.501496507781088,0.11639845510944724,0.10850217286497355,False,False,False,20,0,0.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,compression_aware,109778,878224,27.876731350283816,0.08875895175151527,0.0812420817092061,False,False,False,20,0,0.1
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,compression_aware,70227,561816,26.99931614155391,0.093600022373721,0.08248740341514349,False,False,False,20,0,0.3
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,compression_aware,56653,453224,27.271277373071168,0.09218574373517185,0.08442662190645933,False,True,False,20,0,1.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,compression_aware,58366,466928,27.48200316695759,0.091851586708799,0.08438217174261808,False,True,True,20,0,10.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,generator_aware,528686,4229488,32.30467893562047,0.07347294013015926,0.0730200232937932,False,False,False,20,0,0.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,generator_aware,174267,1394136,32.768722308800086,0.05843550170538947,0.06311658304184675,False,False,False,20,0,0.1
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,generator_aware,115589,924712,32.21969198919576,0.061101666593458503,0.06253291014581919,False,False,False,20,0,0.3
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,generator_aware,80369,642952,30.78647943964829,0.07003624801291153,0.06853359844535589,False,False,False,20,0,1.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,generator_aware,62843,502744,28.649330335950133,0.08524604910053313,0.07882233802229166,False,False,False,20,0,10.0
uvg,Beauty,1,baseline,22057,176456,27.739446239050412,0.1534828911535442,0.14173196256160736,True,True,True,0,0,
uvg,Beauty,1,compression_aware,506623,4052984,26.21242883321197,0.2680823060218245,0.22417218890041113,False,False,False,20,0,0.0
uvg,Beauty,1,compression_aware,69890,559120,22.544938322432028,0.22928409883752465,0.177021574229002,False,False,False,20,0,0.1
uvg,Beauty,1,compression_aware,28698,229584,25.440205156678655,0.1890667814295739,0.16839929949492216,False,False,False,20,0,0.3
uvg,Beauty,1,compression_aware,25741,205928,25.982897047673433,0.19295587996020913,0.1736919777467847,False,False,False,20,0,1.0
uvg,Beauty,1,compression_aware,29194,233552,26.261034033755134,0.19249097164720297,0.17418795451521873,False,False,False,20,0,10.0
uvg,Beauty,1,generator_aware,527468,4219744,31.56335809173505,0.2588389255106449,0.21299294661730528,False,False,False,20,0,0.0
uvg,Beauty,1,generator_aware,121314,970512,32.96721775263688,0.15530233550816774,0.1464543780311942,False,False,False,20,0,0.1
uvg,Beauty,1,generator_aware,70770,566160,33.13290145062794,0.1496211402118206,0.1398685984313488,False,False,False,20,0,0.3
uvg,Beauty,1,generator_aware,45873,366984,31.072339692859355,0.17028306634165347,0.15275988820940256,False,False,False,20,0,1.0
uvg,Beauty,1,generator_aware,30974,247792,27.76518307446527,0.18768817745149136,0.1705546798184514,False,False,False,20,0,10.0
uvg,Beauty,3,baseline,41349,330792,28.088038592015966,0.12948396836873144,0.1316287936642766,True,True,True,0,0,
uvg,Beauty,3,compression_aware,41349,330792,28.088038592015966,0.12948396836873144,0.1316287936642766,False,True,False,0,0,baseline_init
uvg,Beauty,3,compression_aware,769932,6159456,28.43210201824778,0.20481254090555012,0.19218042213469744,False,False,False,20,0,0.0
uvg,Beauty,3,compression_aware,104383,835064,23.96909486433118,0.18034558277577162,0.1510001476854086,False,False,False,20,0,0.1
uvg,Beauty,3,compression_aware,49722,397776,24.186666226301025,0.16847361368127167,0.16268562618643045,False,False,False,20,0,0.3
uvg,Beauty,3,compression_aware,37505,300040,26.28496246390763,0.1639845664612949,0.1610844675451517,False,True,False,20,0,1.0
uvg,Beauty,3,compression_aware,40662,325296,26.67443597124155,0.16635020659305155,0.16258397977799177,False,True,True,20,0,10.0
uvg,Beauty,3,generator_aware,41349,330792,28.088038592015966,0.12948396836873144,0.1316287936642766,False,True,True,0,0,baseline_init
uvg,Beauty,3,generator_aware,653560,5228480,33.3505685367199,0.1768731902120635,0.18357221316546202,False,False,False,20,0,0.0
uvg,Beauty,3,generator_aware,157832,1262656,34.621730799906814,0.12354985217098147,0.12639018800109625,False,False,False,20,0,0.1
uvg,Beauty,3,generator_aware,103470,827760,34.17369177018401,0.12516058748587966,0.12279680464416742,False,False,False,20,0,0.3
uvg,Beauty,3,generator_aware,72861,582888,32.08650652537068,0.14178235456347466,0.13105410896241665,False,False,False,20,0,1.0
uvg,Beauty,3,generator_aware,44352,354816,28.023157446494473,0.1616921431850642,0.15745482500642538,False,False,False,20,0,10.0
uvg,Bosphorus,1,baseline,30994,247952,30.87728239422079,0.15879749436862767,0.13753508869558573,True,True,True,0,0,
uvg,Bosphorus,1,compression_aware,30994,247952,30.87728239422079,0.15879749436862767,0.13753508869558573,False,True,True,0,0,baseline_init
