scope,dataset,video,video_id,qp,branch,restart,lambda_or_beta,iteration,frame,surrogate_rate,actual_bytes,actual_bits,actual_rate_ratio_to_baseline,optimization_distortion,PSNR,MS_SSIM_or_SSIM,LPIPS,DISTS,quantized_symbol_hash,bitstream_hash,decode_status,finite_status,num_changed_symbols_vs_baseline,L1_symbol_change,L2_latent_change,interpolated_only,is_budget_feasible,is_selected,is_baseline,bitstream_path,selection
cell,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,generator_aware,0,baseline_init,0,,,78986,631888,1.0,,30.15030891001539,0.9835106832906604,0.10498300509061664,0.06271296553313732,,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_baseline.bin,best_DISTS
cell,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,compression_aware,0,baseline_init,0,,,35312,282496,1.0,,28.47158724994585,0.981841198168695,0.07612672576215118,0.07411882560700178,,,PASS,PASS,0,0,0,False,True,False,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp1_baseline.bin,branch_objective
cell,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,generator_aware,0,baseline_init,0,,,35312,282496,1.0,,28.47158724994585,0.981841198168695,0.07612672576215118,0.07411882560700178,,,PASS,PASS,0,0,0,False,True,False,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp1_baseline.bin,branch_objective
cell,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,compression_aware,0,10.0,20,,,58366,466928,0.9652537747862471,3.3750405160207597,27.48200316695759,0.9777572965249419,0.091851586708799,0.08438217174261808,,e6d2c11ac9cc8d0913432bb3713caa91f3d22f5565d09f485fa2c3a297a46c22,PASS,PASS,,,,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp3_compression_aware_beta10.bin,branch_objective
cell,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,compression_aware,0,10.0,20,,,58366,466928,0.9652537747862471,3.3750405160207597,27.48200316695759,0.9777572965249419,0.091851586708799,0.08438217174261808,,e6d2c11ac9cc8d0913432bb3713caa91f3d22f5565d09f485fa2c3a297a46c22,PASS,PASS,,,,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp3_compression_aware_beta10.bin,best_PSNR
cell,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,compression_aware,0,10.0,20,,,58366,466928,0.9652537747862471,3.3750405160207597,27.48200316695759,0.9777572965249419,0.091851586708799,0.08438217174261808,,e6d2c11ac9cc8d0913432bb3713caa91f3d22f5565d09f485fa2c3a297a46c22,PASS,PASS,,,,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp3_compression_aware_beta10.bin,best_LPIPS
cell,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,compression_aware,0,10.0,20,,,58366,466928,0.9652537747862471,3.3750405160207597,27.48200316695759,0.9777572965249419,0.091851586708799,0.08438217174261808,,e6d2c11ac9cc8d0913432bb3713caa91f3d22f5565d09f485fa2c3a297a46c22,PASS,PASS,,,,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp3_compression_aware_beta10.bin,best_DISTS
cell,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,generator_aware,0,baseline_init,0,,,60467,483736,1.0,,29.1175276946312,0.9851789195090532,0.06236264604376629,0.061576093547046185,,,PASS,PASS,0,0,0,False,True,False,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp3_baseline.bin,branch_objective
cell,uvg,Beauty,0,1,compression_aware,0,baseline_init,0,,,22057,176456,1.0,,27.739446239050412,0.9767590817064047,0.1534828911535442,0.14173196256160736,,,PASS,PASS,0,0,0,False,True,False,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_00_qp1_baseline.bin,branch_objective
cell,uvg,Beauty,0,1,generator_aware,0,baseline_init,0,,,22057,176456,1.0,,27.739446239050412,0.9767590817064047,0.1534828911535442,0.14173196256160736,,,PASS,PASS,0,0,0,False,True,False,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_00_qp1_baseline.bin,branch_objective
