scope,dataset,video,video_id,qp,branch,restart,lambda_or_beta,iteration,frame,surrogate_rate,actual_bytes,actual_bits,actual_rate_ratio_to_baseline,optimization_distortion,PSNR,MS_SSIM_or_SSIM,LPIPS,DISTS,quantized_symbol_hash,bitstream_hash,decode_status,finite_status,num_changed_symbols_vs_baseline,L1_symbol_change,L2_latent_change,interpolated_only,is_budget_feasible,is_selected,is_baseline,bitstream_path
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,0,51,1293.646240234375,170,1360,2.3664683537717033,0.0021570620592683554,26.661373599460937,0.9893500208854675,0.1150745153427124,0.12058818340301514,e9c7e0da2b2efd571c3d54c89e959c693de69076c853c0cb7c434889b8b08d82,5ef73d5a0567679e0416148dc32d8015a735375320ac006c70491d97c0cea53b,PASS,PASS,0,0.0,0.0,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,10,51,3375.72021484375,431,3448,2.3664683537717033,0.002371911657974124,26.24901490336793,0.9881592392921448,0.11990918219089508,0.12135601043701172,92658a3971809c6dde12430ee55f9aac510ca8d0773b23abda244d9a8650c298,17024f53c0a02bd3a3a548faf23f9d4affe1cc30ad1f1ce980fe6fb640800aec,PASS,PASS,582,585.0,36.46400451660156,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,20,51,2870.568603515625,359,2872,2.3664683537717033,0.002292211167514324,26.39745375944697,0.9884937405586243,0.11945390701293945,0.12267124652862549,9c06e74d08833fc58b2a9971888583c91ccae987f15e361881d19a57328b06ef,0143867b58ef8b49a9032ff4f7026ccc53b712ed40a3644afa0b5f4cac8d8dc8,PASS,PASS,500,502.0,60.872276306152344,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,0,52,12927.1513671875,1624,12992,2.3664683537717033,0.0024741534143686295,26.065733746551466,0.9878541231155396,0.11239629983901978,0.11454671621322632,372aeb3aedfd227e005e4898b8fd798e3c69248faed51ddf824d02914cc75ed1,63aa41a6a7353c28e5d7431e0ed6a1e5d7035a72db0d59ff4a7f1328287a7adf,PASS,PASS,0,0.0,0.0,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,10,52,17602.64453125,2203,17624,2.3664683537717033,0.002086668973788619,26.805464413320223,0.9896454811096191,0.11541476845741272,0.12234824895858765,a2cb5cc6532814c37650253fb17da4b5b65d6c8f2dfb1ce7c1db31c832cf29c4,39912f96cc47b1f642c6bd7acee8d0a436f2ab4598fbf3528071ac4b17e69d91,PASS,PASS,3130,3140.0,58.22769546508789,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,20,52,22667.806640625,2783,22264,2.3664683537717033,0.0019281507702544332,27.148590097851375,0.9903793334960938,0.11906608939170837,0.12803435325622559,640acaab11b70400876df11cea2e0136791f8b43fc0646e2c8fda4306de86d90,1a129af3f38d8c50030084575675d9258a0055db4230699bfcd75a6e932b32da,PASS,PASS,4209,4214.0,105.29511260986328,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,0,53,9198.330078125,1158,9264,2.3664683537717033,0.0020802165381610394,26.81891455213335,0.9896266460418701,0.10777246206998825,0.11196517944335938,b1e016d3b99831945b86fe4ef854cc9bac335680350db67c723c9fc491c5c6dd,10829909f192d842d943c982703d7ce83aeb88b2a7e0a26507b3042bb1a6d4c4,PASS,PASS,0,0.0,0.0,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,10,53,11780.2958984375,1472,11776,2.3664683537717033,0.0018589487299323082,27.307325879658833,0.9906759262084961,0.11087773740291595,0.11302590370178223,d6d767027f916ebd658168e1ad8391200959d194842225ce2cf3ef75fc5f5861,8869a231214c4e39841129890622587c179e9892095a1d342e7810d594c64760,PASS,PASS,2310,2315.0,55.55970001220703,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,20,53,16395.548828125,1985,15880,2.3664683537717033,0.0017772021237760782,27.502631764441755,0.9910567998886108,0.11142860352993011,0.11913537979125977,21325fd37bd52869227d7aad6d00ae5f8a8a70ff9564f2c4849d27bc3c67fef4,6aa0ba5f04da0ed2462bd2800af0ef941efdef2b6f0ad8fa729eb0274d40ee11,PASS,PASS,3041,3047.0,102.060791015625,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,0,54,1176.481689453125,155,1240,2.3664683537717033,0.0020791017450392246,26.821242570716667,0.9898359179496765,0.11947335302829742,0.12721467018127441,c62380ec7eedb8be278a067396c9fdd531e52c21baa24e2642d8b08040763b5b,6fafd91c2e943e9802e4b74512ccb9c4f09e4a40274abc50b70972cd53664332,PASS,PASS,0,0.0,0.0,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,10,54,2854.034423828125,364,2912,2.3664683537717033,0.0021576823201030493,26.660124969943087,0.9893204569816589,0.12117870151996613,0.12609326839447021,da1f7583c4d347fe12a8b09f270dac3f78c738a35abe21d03ce269537b0ef832,34f734dfb890e91fe37bf44f6f3df6cc50ad8c3b286b20499d126390e11d7fd2,PASS,PASS,488,489.0,36.75112533569336,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,20,54,2261.996826171875,289,2312,2.3664683537717033,0.002127894666045904,26.720498740683656,0.9894301891326904,0.12090936303138733,0.12548834085464478,e2fe18c536a1e793eb9eff3bbcddaf9a769379e16d0bba5b35f5ea6a23f724c3,6b9f5b6062c2130dd1985d764242cba6b1b7fe334ccbefedb3e43e20b352471b,PASS,PASS,427,430.0,61.18779754638672,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,0,55,1768.9952392578125,229,1832,2.3664683537717033,0.0023131954949349165,26.357876621780623,0.9885457754135132,0.11667083203792572,0.12072163820266724,261bafa3b4de1ac72d8930d3330c38ff1e9251525b0ba3dc4c07beac36f14ee3,2444ec99d7cfa08b1a484e7cccde34fde3d83e00dbac9ac0322ae32dea20fde0,PASS,PASS,0,0.0,0.0,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,10,55,3552.2001953125,452,3616,2.3664683537717033,0.0024849760811775923,26.046777871570388,0.9875074028968811,0.12307173013687134,0.12222069501876831,932115c09d1ed6b6f393aeb46588349e2740e6b74456ef9c18c41155d5eff707,853002882eae75d7f335802ab219fe6c69cf0e55b5e24d51304326310346dbeb,PASS,PASS,673,678.0,38.2730598449707,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,20,55,4666.2412109375,582,4656,2.3664683537717033,0.0025494759902358055,25.935490736581475,0.9871736168861389,0.12285095453262329,0.1219969391822815,0b20ab1b2a6d3bf7b368cd755d7bb61a1c7f1922e064562155e8b0094422b11b,f10819a3a34f15f2cfdb0c1a1152dbeb47cca988bf8f957124e4c971c47df7f5,PASS,PASS,841,843.0,65.30464172363281,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,0,56,12397.2978515625,1557,12456,2.3664683537717033,0.002708074636757374,25.673393703099407,0.9867134094238281,0.11676731705665588,0.11960756778717041,47f9c113bc8f9bbb31e2aea2e80651f2beae942fb5180618f698a7e4a5e953de,020d692791234fec558371d383496c0dad0a9271bf0a382945e77672e099bd6f,PASS,PASS,0,0.0,0.0,False,,,,
