dataset,video,qp,branch,beta,bitstream,bitstream_sha256,bytes,symbol_equal,decoded_latent_max_abs_diff,reconstruction_max_abs_diff,decode_status
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,generator_aware,0.1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_generator_aware_beta0.1.bin,cbb6f2a46ca32b6bac6268d96614ebd397c274aa2ff4461638e4e20114ee8f18,231461,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,generator_aware,0.3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_generator_aware_beta0.3.bin,1326547701837856c6975d3153507d4c088b39eb05bbd473ae8243b9f9adba59,145851,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,generator_aware,1.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_generator_aware_beta1.bin,05cf48e9813434a3812afb49f0c2047e076b8bd763989fa42294f5c9d6e3e6b2,95326,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,generator_aware,10.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_generator_aware_beta10.bin,d786e3a6a4aa9601d266212cc7542d773a526607894269437f2eb718751fd9e1,74261,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,compression_aware,0.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_compression_aware_beta0.bin,3d5ea92a3639ac36f49f4fffb8a683f5820b74553863f463e3a0407c6c388c34,1030968,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,compression_aware,0.1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_compression_aware_beta0.1.bin,f287f96a8135c52afc85665b0796d1774491b69ae068f8be6c775a4a0b123c3b,206992,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,compression_aware,0.3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_compression_aware_beta0.3.bin,074a0a2834de3404b49e26b1ffc20df26473a3deeb213f792fe24f78e6297358,109823,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,compression_aware,1.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_compression_aware_beta1.bin,4dae2059f52016b1f27931c2f0de109a8608da66c89c7eada1b6676b7682c530,89267,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,compression_aware,10.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_compression_aware_beta10.bin,3a537467a41946f4ef14979ab75e40c7e38ed709f103d5a89aae13e38580829f,89129,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,generator_aware,0.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_generator_aware_beta0.bin,f829acc38b70f24fa96a8fe150e8d13c517b7c374882a245879d392bcb74fa55,750494,True,0.0,0.0,PASS
