method,video_tag,qp,path,sha256,bytes,status
beta_low,fresh_ulong_100,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_100/beta_low_qp2.bin,bf606cfcfca56629c2f8bf5a942ebf551c76cbca15698bee8dff4344f9397005,33396,PASS
beta_low,fresh_ulong_100,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_100/beta_low_qp3.bin,de8cf4793f9654d4836fd55e4f7b9e66d169064013d999671652f4b7cee357b5,43617,PASS
v3_beta_low,fresh_ulong_100,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_100/v3_beta_low_qp0.bin,a9d4a788b046eec4650cd9230e401f376e24a78ade609fb60cb420bcfb70474c,20611,PASS
v3_beta_low,fresh_ulong_100,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_100/v3_beta_low_qp1.bin,90ff4b6c22b152e1a97d36efc3c5c7289e0236f9b5c62b87be5030b75c3b858d,27203,PASS
v3_beta_low,fresh_ulong_100,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_100/v3_beta_low_qp2.bin,e9e23d5f228d55e509f994625f17640f61498cdc1d615a0643bb763761036257,35782,PASS
v3_beta_low,fresh_ulong_100,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_100/v3_beta_low_qp3.bin,02371d07e97b2045a2d68350bcf05e710f6eeede22b47688402d8de1e20cb8aa,47074,PASS
original,fresh_ulong_101,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_101/original_qp0.bin,9050d503a0f1288339ade063d05ec6a1502d1f9c3228d9a3319de8a8894e9dd0,34831,PASS
original,fresh_ulong_101,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_101/original_qp1.bin,3bc77b5bbac6d7fea59e157d5d14cbd43bb883dce500100fc25254b06ad661b4,50124,PASS
original,fresh_ulong_101,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_101/original_qp2.bin,bd9e92d92a2abdea285fa32c38661d845eefbca7534ec598aec31947b82b1bd8,71654,PASS
original,fresh_ulong_101,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_101/original_qp3.bin,7dfc67138bc385f91cba8545aeddba71c1b4ac1af7838951047ac233bec4dd9c,98792,PASS
beta_low,fresh_ulong_101,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_101/beta_low_qp0.bin,16aeded7bf50f4e46a3307f9b96c734ad98757aa34babd66f92381e083b5d37b,28077,PASS
beta_low,fresh_ulong_101,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_101/beta_low_qp1.bin,ef95bbfe797788fc9d0a0b213dab8d260700842ac5dbb704b160df9453da24cc,40065,PASS
beta_low,fresh_ulong_101,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_101/beta_low_qp2.bin,b48635f653f78a9e02cc3340887fa8481c5cd932f06069f218c05dfef0356b33,56591,PASS
beta_low,fresh_ulong_101,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_101/beta_low_qp3.bin,ce43b9eb0a3f45b6a9ae23afa53d15748b2a245b7334ac25ceedb5662b4ccd64,78757,PASS
v3_beta_low,fresh_ulong_101,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_101/v3_beta_low_qp0.bin,66f85461eb7b0e0bf1dbb54aa390a176855be31abe7d5d13b2954bfe24d9d3b1,30604,PASS
v3_beta_low,fresh_ulong_101,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_101/v3_beta_low_qp1.bin,18b0a5ddab2a0c4979c132a20faeb9a55016282792fea9404649c5216a634a9b,42903,PASS
v3_beta_low,fresh_ulong_101,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_101/v3_beta_low_qp2.bin,133c1147664f272e59647977b6f4b80374a159439db85e368a920f4d0a6cdd32,60607,PASS
v3_beta_low,fresh_ulong_101,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_101/v3_beta_low_qp3.bin,5b302471f11fdc9043c3847434259e92804fbdacaa1c645fbbea01c53215fc5a,83436,PASS
