branch,beta,step,qp,mean_real_kbps,mean_bpp,mean_LPIPS,mean_DISTS,rate_change_percent,mean_bitrate_change_percent,LPIPS_change,DISTS_change,rate_lower_count,LPIPS_nonworse_count,DISTS_nonworse_count,triple_nonworse_count,point_count
beta_high,17.302782275540444,0,0,117.06917957042957,0.0018821936085390947,0.20895852559867004,0.1181456654643019,0.0,0.0,0.0,0.0,0,6,6,0,6
beta_high,17.302782275540444,0,1,154.630501998002,0.0024860548482510286,0.18962943511238942,0.10847378304849069,0.0,0.0,0.0,0.0,0,6,6,0,6
beta_high,17.302782275540444,0,2,206.15325174825173,0.0033143647119341564,0.17318182931436846,0.10201434418559074,0.0,0.0,0.0,0.0,0,6,6,0,6
beta_high,17.302782275540444,0,3,271.102293956044,0.004358523019547325,0.15797987137921154,0.09460384864360094,0.0,0.0,0.0,0.0,0,6,6,0,6
beta_high,17.302782275540444,0,all,187.2388068181818,0.0030102840470679014,0.18243741535115987,0.10580941033549607,0.0,0.0,0.0,0.0,0,24,24,0,24
beta_high,17.302782275540444,1000,0,111.9157355144855,0.001799346547067901,0.21129916507440308,0.1215714504942298,-4.402050202157371,-3.934568637034269,0.0023406394757330418,0.003425785029927894,6,3,1,1,6
beta_high,17.302782275540444,1000,1,147.81095404595405,0.002376422646604938,0.19050786023338637,0.11139335514356692,-4.410221698779749,-3.734695839996736,0.0008784251209969507,0.002919572095076234,6,3,1,1,6
beta_high,17.302782275540444,1000,2,194.9179845154845,0.0031337408371913578,0.17486561993913105,0.10569711339970429,-5.4499587745952205,-4.048434897323294,0.0016837906247625933,0.0036827692141135487,6,2,1,1,6
beta_high,17.302782275540444,1000,3,258.9691945554446,0.004163471739969136,0.16001123174404105,0.09909061373521884,-4.475469101920115,-3.3004963389687245,0.0020313603648295098,0.0044867650916178975,6,1,0,0,6
beta_high,17.302782275540444,1000,all,178.4034671578422,0.0028682454427083333,0.18417096924774037,0.10943813319317997,-4.718754520220358,-3.754548928330756,0.001733553896580503,0.003628722857683897,24,9,3,3,24
beta_high,17.302782275540444,2000,0,111.68842657342657,0.0017956894611625513,0.2048826686029012,0.12011991006632645,-4.596216542002763,-4.162858873884919,-0.004075856995768845,0.001974244602024555,6,3,1,1,6
beta_high,17.302782275540444,2000,1,148.47877622377624,0.0023871527777777775,0.18506461184006184,0.11114761264373858,-3.9783391340896257,-3.8709442340910987,-0.004564823272327573,0.002673829595247895,6,4,1,1,6
beta_high,17.302782275540444,2000,2,197.3043444055944,0.0031721000514403296,0.16994827539504817,0.10494891367852688,-4.292392803710587,-3.946859716204896,-0.0032335539193202867,0.0029345694929361343,6,4,1,1,6
beta_high,17.302782275540444,2000,3,259.55972902097903,0.004172956050668724,0.15581408222593987,0.09892699401825666,-4.257641927934563,-4.141028708479137,-0.0021657891532716744,0.004323145374655724,6,4,0,0,6
beta_high,17.302782275540444,2000,all,179.25781905594405,0.002881974585262346,0.17892740951598776,0.10878585760171215,-4.262464548808886,-4.030422883165013,-0.0035100058351721086,0.002976447266216084,24,15,3,3,24
beta_high,17.302782275540444,5000,0,109.67859765234766,0.0017633785043724278,0.20111261781615516,0.11735737851510446,-6.313003939380724,-5.861316535862252,-0.007845907782514872,-0.000788286949197442,6,4,2,2,6
beta_high,17.302782275540444,5000,1,146.67771978021977,0.002358197498713992,0.18150251502326378,0.1094645019620657,-5.143087628264298,-4.982091880488125,-0.008126920089125633,0.0009907189135750089,6,3,2,2,6
beta_high,17.302782275540444,5000,2,189.46872252747252,0.0030461315264917696,0.1678773690170298,0.10360406742741664,-8.093265121596948,-6.867921845611515,-0.0053044602973386645,0.0015897232418258939,6,4,2,2,6
beta_high,17.302782275540444,5000,3,250.62812437562437,0.004029365194187243,0.15313267211119333,0.09765748276064794,-7.552193410705432,-6.827044269484617,-0.004847199268018215,0.0030536341170469966,6,4,2,2,6
beta_high,17.302782275540444,5000,all,174.1132910839161,0.002799268180941358,0.17590629349191053,0.10702085766630869,-7.010040256778205,-6.134593632861627,-0.006531121859249339,0.0012114473308126178,24,15,8,8,24
beta_high,17.302782275540444,10000,0,107.19405344655344,0.0017234318737139919,0.20200396775423238,0.12146914439896743,-8.435291133081869,-7.713455880391073,-0.006954557844437659,0.0033234789346655302,6,4,1,1,6
beta_high,17.302782275540444,10000,1,144.7668081918082,0.0023274739583333333,0.18270565988495946,0.11286894294122855,-6.378879767409174,-6.2352290921415845,-0.006923775227429957,0.0043951598927378654,6,4,1,1,6
beta_high,17.302782275540444,10000,2,185.26797827172825,0.002978596000514403,0.16851870509951064,0.10647007481505473,-10.13094544927574,-8.770586490114178,-0.004663124214857817,0.004455730629463986,6,4,2,2,6
beta_high,17.302782275540444,10000,3,244.53881493506492,0.0039314678176440325,0.15476072296344986,0.10165789723396301,-9.79832322085995,-8.756843788699365,-0.00321914841576168,0.007054048590362072,6,4,1,1,6
beta_high,17.302782275540444,10000,all,170.44191371128872,0.00274024241255144,0.17699726392553808,0.11061651484730343,-8.970839641807649,-7.86902881283655,-0.005440151425621792,0.004807104511807367,24,16,5,5,24
