split,video,method,alpha,base_bytes,enhancement_bytes,total_bytes,budget_bytes,budget_slack_bytes,enhancement_over_base,total_bpp,total_kbps,objective_sum_P,stream_sent,stream,stream_sha256,selected_label_nonzero_frames,Z_count,E_count,O1_count,O2_count,scope,frames,actual_nonzero_frames,mse,mse_minus_ZERO,psnr,psnr_minus_ZERO,ms_ssim,ms_ssim_minus_ZERO,lpips,lpips_minus_ZERO,d,d_minus_ZERO
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M2_E_FRAME_GUARD,0.25,13098.0,3105.0,16203.0,3274.0,169.0,0.23705909299129638,0.00390697337962963,242.80204620251862,0.01808288350779322,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M2_E_FRAME_GUARD_a0p25.orc2,373bc099c6da9f2c9f44a7ada9f97f9824890d5e2634066814e72add3724376b,5.0,10.0,5.0,0.0,0.0,P,15,5,0.0010444797804478189,-5.947479265803156e-05,29.81767328443976,0.2434514528485856,0.9059114612761996,0.004152879501913231,0.1610457867383957,-0.014516665538152035,0.001205525567186215,-7.399145819618307e-05
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M2_E_FRAME_GUARD,0.25,13098.0,3105.0,16203.0,3274.0,169.0,0.23705909299129638,0.00390697337962963,242.80204620251862,0.01808288350779322,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M2_E_FRAME_GUARD_a0p25.orc2,373bc099c6da9f2c9f44a7ada9f97f9824890d5e2634066814e72add3724376b,5.0,10.0,5.0,0.0,0.0,IP,16,5,0.0011235794145747276,-5.575761811690448e-05,29.601802530217814,0.2282357370455479,0.9002320257842782,0.003893324533043696,0.16518681775778532,-0.013609373942017555,0.0012887662323325133,-6.936699205892152e-05
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M2_E_FRAME_GUARD,0.5,13098.0,6104.0,19202.0,6549.0,445.0,0.4660253473812796,0.00463011188271605,287.7420780831181,0.017198919279934603,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M2_E_FRAME_GUARD_a0p5.orc2,3b3734d990e3c1718c9ae0053b98fb22ccd797aa023bfe7d0d6de5a5cdb27c2b,10.0,5.0,10.0,0.0,0.0,P,15,10,0.0009994586496592651,-0.00010449592344658528,30.006789144533844,0.4325673129426697,0.9094053179961838,0.007646736221897488,0.14713596900304157,-0.028426483273506165,0.001146594618662307,-0.00013292240672009093
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M2_E_FRAME_GUARD,0.5,13098.0,6104.0,19202.0,6549.0,445.0,0.4660253473812796,0.00463011188271605,287.7420780831181,0.017198919279934603,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M2_E_FRAME_GUARD_a0p5.orc2,3b3734d990e3c1718c9ae0053b98fb22ccd797aa023bfe7d0d6de5a5cdb27c2b,10.0,5.0,10.0,0.0,0.0,IP,16,10,0.0010813721044604584,-9.796492823117365e-05,29.779098649056017,0.4055318558837513,0.9035075164592634,0.0071688152080289225,0.15214636363089085,-0.02664982806891203,0.0012335184680913496,-0.00012461475630008516
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M4_O_FRAME_GUARD,0.0,13098.0,0.0,13098.0,0.0,0.0,0.0,0.003158275462962963,196.2736037252724,0.019192755380735973,False,,,0.0,15.0,0.0,0.0,0.0,P,15,0,0.0011039545731058504,0.0,29.574221831591174,0.0,0.9017585817742864,0.0,0.17556245227654774,0.0,0.001279517025382398,0.0
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M4_O_FRAME_GUARD,0.0,13098.0,0.0,13098.0,0.0,0.0,0.0,0.003158275462962963,196.2736037252724,0.019192755380735973,False,,,0.0,15.0,0.0,0.0,0.0,IP,16,0,0.001179337032691632,0.0,29.373566793172266,0.0,0.8963387012512345,0.0,0.17879619169980288,0.0,0.0013581332243914348,0.0
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M4_O_FRAME_GUARD,0.1,13098.0,1236.0,14334.0,1309.0,73.0,0.09436555199267063,0.0034563078703703704,214.79507068239843,0.018710753631034093,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M4_O_FRAME_GUARD_a0p1.orc2,69bb970c239d919922ed27c39674bce1741af6e35528f90ae14beb8691a1d7c6,2.0,13.0,1.0,1.0,0.0,P,15,2,0.001077227643889758,-2.6726929216092446e-05,29.681420025713486,0.10719819412231146,0.9033807077335873,0.0016221259593008908,0.17015593151251476,-0.005406520764032974,0.001247383575402273,-3.213344998012494e-05
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M4_O_FRAME_GUARD,0.1,13098.0,1236.0,14334.0,1309.0,73.0,0.09436555199267063,0.0034563078703703704,214.79507068239843,0.018710753631034093,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M4_O_FRAME_GUARD_a0p1.orc2,69bb970c239d919922ed27c39674bce1741af6e35528f90ae14beb8691a1d7c6,2.0,13.0,1.0,1.0,0.0,IP,16,2,0.0011542805365515455,-2.505649614008656e-05,29.474065100161933,0.10049830698966744,0.8978594443380791,0.0015207430868445782,0.17372757848352194,-0.005068613216280937,0.0013280081150350677,-3.0125109356367048e-05
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M4_O_FRAME_GUARD,0.25,13098.0,3227.0,16325.0,3274.0,47.0,0.246373492136204,0.003936390817901234,244.63021688922524,0.017936618592487574,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M4_O_FRAME_GUARD_a0p25.orc2,02c55a5bc1827302dcd057cefc182fab989fec69fde0291ea20cb224b2a637f3,6.0,9.0,2.0,4.0,0.0,P,15,6,0.001035412391765038,-6.854218134081237e-05,29.855446691092073,0.2812248595008988,0.9061207657740664,0.004362183999780056,0.16036218106746675,-0.01520027120908099,0.0011957745728325049,-8.374245254989311e-05
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M4_O_FRAME_GUARD,0.25,13098.0,3227.0,16325.0,3274.0,47.0,0.246373492136204,0.003936390817901234,244.63021688922524,0.017936618592487574,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M4_O_FRAME_GUARD_a0p25.orc2,02c55a5bc1827302dcd057cefc182fab989fec69fde0291ea20cb224b2a637f3,6.0,9.0,2.0,4.0,0.0,IP,16,6,0.0011150787376846207,-6.425829500701142e-05,29.637215098954357,0.2636483057820911,0.9004282487510283,0.004089547499793844,0.16454593744128942,-0.01425025425851345,0.00127962467512591,-7.850854926552469e-05
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M4_O_FRAME_GUARD,0.5,13098.0,6504.0,19602.0,6549.0,45.0,0.49656436097114065,0.0047265625,293.73608033461517,0.016948099756558983,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M4_O_FRAME_GUARD_a0p5.orc2,98540a8022bcc6cec8e819591d9b0114bbbed5e4a18955e2f1e54afe02444583,12.0,3.0,6.0,6.0,0.0,P,15,12,0.0009843729164415102,-0.0001195816566643402,30.07357304578026,0.4993512141890868,0.9098858865319949,0.008127304757708509,0.14550040066242217,-0.030062051614125562,0.0011298733171039323,-0.0001496437082784657
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M4_O_FRAME_GUARD,0.5,13098.0,6504.0,19602.0,6549.0,45.0,0.49656436097114065,0.0047265625,293.73608033461517,0.016948099756558983,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M4_O_FRAME_GUARD_a0p5.orc2,98540a8022bcc6cec8e819591d9b0114bbbed5e4a18955e2f1e54afe02444583,12.0,3.0,6.0,6.0,0.0,IP,16,12,0.0010672292295688132,-0.00011210780312281886,29.841708556474533,0.46814176330226687,0.9039580494615862,0.007619348210351706,0.15061301831156015,-0.02818317338824272,0.0012178422478803731,-0.00014029097651106163
