split,video,frame,candidate,packet_kind,actual_nonzero_symbols,mse,zero_mse,mse_delta_signed,lpips,zero_lpips,lpips_delta_signed,guard_result,allowed
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,Z,ZERO,False,0.014312605644440184,0.014312605644440184,0.0,0.3723566234111786,0.3723566234111786,0.0,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,E,CODED,True,0.012694380118676098,0.014312605644440184,-0.001618225525764086,0.30932140350341797,0.3723566234111786,-0.06303521990776062,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,O1,CODED,True,0.013526461188175826,0.014312605644440184,-0.0007861444562643587,0.36264950037002563,0.3723566234111786,-0.009707123041152954,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,O2,CODED,True,0.013563206284548343,0.014312605644440184,-0.0007493993598918416,0.36180901527404785,0.3723566234111786,-0.010547608137130737,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,Z,ZERO,False,0.01454084282161529,0.01454084282161529,0.0,0.3756115138530731,0.3756115138530731,0.0,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,E,CODED,True,0.012805933436652192,0.01454084282161529,-0.0017349093849630976,0.31247174739837646,0.3756115138530731,-0.06313976645469666,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,O1,CODED,True,0.013723778988332339,0.01454084282161529,-0.0008170638332829511,0.3652193248271942,0.3756115138530731,-0.010392189025878906,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,O2,CODED,True,0.013771715015451921,0.01454084282161529,-0.0007691278061633684,0.3673170804977417,0.3756115138530731,-0.008294433355331421,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,Z,ZERO,False,0.014192229878867148,0.014192229878867148,0.0,0.3711719214916229,0.3711719214916229,0.0,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,E,CODED,True,0.01240190228443877,0.014192229878867148,-0.0017903275944283776,0.30835986137390137,0.3711719214916229,-0.06281206011772156,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,O1,CODED,True,0.013386870034860663,0.014192229878867148,-0.0008053598440064848,0.36193951964378357,0.3711719214916229,-0.009232401847839355,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,O2,CODED,True,0.013450566880915671,0.014192229878867148,-0.0007416629979514772,0.3670264184474945,0.3711719214916229,-0.004145503044128418,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,Z,ZERO,False,0.014933942283403598,0.014933942283403598,0.0,0.3857608735561371,0.3857608735561371,0.0,ALLOWED,True
