split,video,stream,stream_sha256,frame_count,all_rgb_hashes_exact,zero_exact_frames,base_state_unchanged,source_guard_active_negative_test,receiver_output,receiver_output_sha256
Val6,66d34721-a96d-4a92-9042-0847e057f3ba,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/66d34721-a96d-4a92-9042-0847e057f3ba_M4_O_FRAME_GUARD_a0p1.orc2,45e00aa5a94d2013ab34bba0810a85c9a56c2adbcb8a991a9d9db18312003005,16,True,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/66d34721-a96d-4a92-9042-0847e057f3ba_45e00aa5a94d2013.json,e18ee5a1ddf16d2c54d17fc7be4bbf929f5ed671094584f5e756d22ccd9e20a2
Val6,66d34721-a96d-4a92-9042-0847e057f3ba,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/66d34721-a96d-4a92-9042-0847e057f3ba_M4_O_FRAME_GUARD_a0p25.orc2,189ea0805414e07f2fb999acc98fe47da84c559c11921d46e6e15581a16e0ba8,16,True,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/66d34721-a96d-4a92-9042-0847e057f3ba_189ea0805414e07f.json,43b5a19da4fabe306a049603bd0242da5fca6ad8172790d4c8689476859793ec
Val6,66d34721-a96d-4a92-9042-0847e057f3ba,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/66d34721-a96d-4a92-9042-0847e057f3ba_M4_O_FRAME_GUARD_a0p5.orc2,201cacfdc9266536a518b4393cd7ae1e588ad86514bd6838fdab575ac132413e,16,True,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/66d34721-a96d-4a92-9042-0847e057f3ba_201cacfdc9266536.json,46cbe0937f686d815f8f42556d054ea27018025c72c427df7d9f002047a392a0
Val6,b3d4cebf-21ab-41e1-b79a-729d35794681,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/b3d4cebf-21ab-41e1-b79a-729d35794681_M2_E_FRAME_GUARD_a0p1.orc2,f1262d7e3a95b728cbced4f4b6866475925e59bffbadffb3b390b12553dd8360,16,True,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/b3d4cebf-21ab-41e1-b79a-729d35794681_f1262d7e3a95b728.json,1317b48aa0ebf11f3cedd658300c34b435c905a5a0d44bcf5bd807ec8adeff10
Val6,b3d4cebf-21ab-41e1-b79a-729d35794681,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/b3d4cebf-21ab-41e1-b79a-729d35794681_M2_E_FRAME_GUARD_a0p25.orc2,57622dc2c1db3750cee748279c6877c6068b507fa4080186d3fb7ebe65105dee,16,True,"[2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/b3d4cebf-21ab-41e1-b79a-729d35794681_57622dc2c1db3750.json,7d4aa84b8a0c39a8dbab932cdf0931873c9daffbd1cce08d5d1b493c6505050c
Val6,b3d4cebf-21ab-41e1-b79a-729d35794681,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/b3d4cebf-21ab-41e1-b79a-729d35794681_M2_E_FRAME_GUARD_a0p5.orc2,7e7877cce646a1e428d3af3d164d637229b58c911af9fe137816767ecb4ea7f4,16,True,"[2, 5, 10, 11, 12, 13, 14, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/b3d4cebf-21ab-41e1-b79a-729d35794681_7e7877cce646a1e4.json,67cfed9160388e96e6c592bddf2029315aadbce7570c59d7ff41ff53e8474ebb
Val6,b3d4cebf-21ab-41e1-b79a-729d35794681,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/b3d4cebf-21ab-41e1-b79a-729d35794681_M4_O_FRAME_GUARD_a0p1.orc2,8b467bdbf7f08aee5be74697148455d7dfcea124155ca963b476a907de8b5f4f,16,True,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/b3d4cebf-21ab-41e1-b79a-729d35794681_8b467bdbf7f08aee.json,5aef92a95f7d55afe4b8357c2d937ec8197dae67cf7618600e6d519319438883
Val6,b3d4cebf-21ab-41e1-b79a-729d35794681,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/b3d4cebf-21ab-41e1-b79a-729d35794681_M4_O_FRAME_GUARD_a0p25.orc2,b6e9eb52df5a54287a9b4d42d563691d995a5af1958585a468ddc67dd7657ed6,16,True,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/b3d4cebf-21ab-41e1-b79a-729d35794681_b6e9eb52df5a5428.json,2c9f562deeb160ea96057be2a67f048a7cbd1177b9e3957992e54000dee32555
Val6,b3d4cebf-21ab-41e1-b79a-729d35794681,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/b3d4cebf-21ab-41e1-b79a-729d35794681_M4_O_FRAME_GUARD_a0p5.orc2,be116d4c234606bba43f74fd69e3c552bba81ce74189115db0fe917dfb4f50c3,16,True,"[7, 8, 9, 10, 12, 14, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/b3d4cebf-21ab-41e1-b79a-729d35794681_be116d4c234606bb.json,b10e154c366fae47ff1c4f69f8080d99141f72f1c4b5b31c7d83ecba84ff11c8
Val6,46da3cc3-6beb-425c-a870-c8d7bae89311,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/46da3cc3-6beb-425c-a870-c8d7bae89311_M2_E_FRAME_GUARD_a0p1.orc2,e8db1143b8efc9bbe4d907a7e423dd63f91ed575ffe4036f793b3f57bc2c0b61,16,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/46da3cc3-6beb-425c-a870-c8d7bae89311_e8db1143b8efc9bb.json,6276b3198b7415ea8ddb2051529f6c1e07cd6b41d54beb08a01e2c33d21a2d6e
