split,method,alpha,scope,videos,coverage_videos,mean_video_enhancement_over_base,pooled_enhancement_over_base,mean_enhancement_bytes,mean_total_bytes,mean_total_bpp,mean_total_kbps,mean_actual_nonzero_frames,mse,mse_minus_ZERO,psnr,psnr_minus_ZERO,ms_ssim,ms_ssim_minus_ZERO,lpips,lpips_minus_ZERO,d,d_minus_ZERO,worst_psnr_video,worst_psnr_minus_ZERO,worst_lpips_video,worst_lpips_minus_ZERO
Train2,M3_O_SEQUENCE,0.1,IP,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.00837186410336506,0.0,23.7611965406328,0.0,0.8373126277644014,0.0,0.275375769007951,0.0,0.00864723987237301,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M3_O_SEQUENCE,0.25,P,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.007898896479730603,0.0,23.952055049633305,0.0,0.8432696790422987,0.0,0.27707147945960364,0.0,0.008175967959190206,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M3_O_SEQUENCE,0.25,IP,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.00837186410336506,0.0,23.7611965406328,0.0,0.8373126277644014,0.0,0.275375769007951,0.0,0.00864723987237301,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M3_O_SEQUENCE,0.5,P,2,1,0.13127958466941517,0.1391293793996278,1719.5,14078.5,0.003394700038580247,211.0535735100434,7.5,0.007861481017271129,-3.741546245947518e-05,24.105470927709455,0.15341587807614765,0.8455267879761093,0.002257108933810481,0.26908459812402724,-0.007986881335576373,0.008130565615395154,-4.5402343795051614e-05,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M3_O_SEQUENCE,0.5,IP,2,1,0.13127958466941517,0.1391293793996278,1719.5,14078.5,0.003394700038580247,211.0535735100434,7.5,0.008336787107309302,-3.507699605575798e-05,23.905023926329186,0.14382738569638842,0.8394286673898487,0.002116039625447326,0.26788806775584817,-0.00748770125210285,0.008604675175065149,-4.256469730786089e-05,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M4_O_FRAME,0,P,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.007898896479730603,0.0,23.952055049633305,0.0,0.8432696790422987,0.0,0.27707147945960364,0.0,0.008175967959190206,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M4_O_FRAME,0,IP,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.00837186410336506,0.0,23.7611965406328,0.0,0.8373126277644014,0.0,0.275375769007951,0.0,0.00864723987237301,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M4_O_FRAME,0.1,P,2,2,0.07876625276053498,0.07969900477384902,985.0,13344.0,0.0032175925925925926,200.0525932506104,1.5,0.007856307306070318,-4.258917366028493e-05,24.014182966725002,0.06212791709169707,0.8444297134823473,0.0011600344400485296,0.2741135512789091,-0.002957928180694569,0.008130420857349227,-4.5547101840978524e-05,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.01705764006108268,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,-0.0005093355973561642
Train2,M4_O_FRAME,0.1,IP,2,2,0.07876625276053498,0.07969900477384902,985.0,13344.0,0.0032175925925925926,200.0525932506104,1.5,0.008331936753058542,-3.9927350306517124e-05,23.819441462906262,0.058244922273466004,0.8384001600519468,0.0010875322875454965,0.27260271133854985,-0.0027730576694011584,0.008604539464397092,-4.2700407975917366e-05,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.015991537557265012,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,-0.0004775021225214039
Train2,M4_O_FRAME,0.25,P,2,2,0.24784251198892815,0.2477546727081479,3062.0,15421.0,0.003718412422839506,231.19267649309268,5.5,0.007732827891963082,-0.00016606858776752173,24.13208779474411,0.1800327451108057,0.8470162602366129,0.0037465811943142024,0.26836405843496325,-0.008707421024640408,0.008001191950398046,-0.00017477600879215957,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.07884063072071257,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,-0.0022145708401998254
Train2,M4_O_FRAME,0.25,IP,2,2,0.24784251198892815,0.2477546727081479,3062.0,15421.0,0.003718412422839506,231.19267649309268,5.5,0.008216174802333009,-0.00015568930103205161,23.92997723917418,0.16878069854138034,0.8408250476340711,0.003512419869669565,0.26721256179735065,-0.008163207210600383,0.00848338736413036,-0.0001638525082426496,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.07391309130066803,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,-0.0020761601626873363
Train2,M4_O_FRAME,0.5,P,2,2,0.49815309270588015,0.49805809531515494,6155.5,18514.5,0.004464337384259259,277.57062185642116,11.0,0.007575911234153993,-0.00032298524557661007,24.28115275548376,0.3290977058504545,0.8504980588463752,0.007228379804076479,0.2599636351068815,-0.017107844352722168,0.007835874869260875,-0.00034009308992933045,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.15884419751182222,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,-0.004153637091318774
Train2,M4_O_FRAME,0.5,IP,2,2,0.49815309270588015,0.49805809531515494,6155.5,18514.5,0.004464337384259259,277.57062185642116,11.0,0.008069065435636989,-0.00030279866772807196,24.069725639867595,0.3085290992348011,0.8440892338307231,0.006776606066321699,0.259337164927274,-0.016038604080677032,0.008328402600564262,-0.00031883727180874726,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.14891643516733333,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,-0.0038940347731113503
