split,comparison,method_a,method_b,alpha,scope,video,a_enhancement_bytes,b_enhancement_bytes,enhancement_bytes_delta,a_total_bytes,b_total_bytes,mse_a_minus_b,psnr_a_minus_b,ms_ssim_a_minus_b,lpips_a_minus_b,d_a_minus_b
Train2,M4_MINUS_M2,M4_O_FRAME,M2_E_FRAME,0,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,0,0.0,11620,11620,0.0,0.0,0.0,0.0,0.0
Train2,M4_MINUS_M2,M4_O_FRAME,M2_E_FRAME,0,IP,c227e33d-910e-4e39-a325-0fe1d1116436,0,0,0.0,13098,13098,0.0,0.0,0.0,0.0,0.0
Train2,M4_MINUS_M2,M4_O_FRAME,M2_E_FRAME,0.1,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,734,0,734.0,12354,11620,-5.845141810447742e-05,0.01705764006108268,0.0006979429207961685,-0.0005093355973561642,-5.896075370183211e-05
Train2,M4_MINUS_M2,M4_O_FRAME,M2_E_FRAME,0.1,P,c227e33d-910e-4e39-a325-0fe1d1116436,1236,1281,-45.0,14334,14379,-7.174101802542507e-07,0.0015822717622420157,-0.00014026241793296812,0.0004426668087641472,-2.7474337148955877e-07
Train2,M4_MINUS_M2,M4_O_FRAME,M2_E_FRAME,0.1,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,734,0,734.0,12354,11620,-5.4798204472947254e-05,0.0159915375572659,0.000654321488246401,-0.00047750212252140045,-5.52757065954701e-05
Train2,M4_MINUS_M2,M4_O_FRAME,M2_E_FRAME,0.1,IP,c227e33d-910e-4e39-a325-0fe1d1116436,1236,1281,-45.0,14334,14379,-6.72572043988089e-07,0.0014833797771025559,-0.0001314960168121715,0.0004150001332163811,-2.575719107718137e-07
Train2,M4_MINUS_M2,M4_O_FRAME,M2_E_FRAME,0.25,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2897,1633,1264.0,14517,13253,-0.0001370179010015092,0.039471358635612575,0.0008913948705455699,0.0019695937633514293,-0.00013504830723815552
Train2,M4_MINUS_M2,M4_O_FRAME,M2_E_FRAME,0.25,P,c227e33d-910e-4e39-a325-0fe1d1116436,3227,3105,122.0,16325,16203,-9.067388682780812e-06,0.03777340665231321,0.0002093044978668246,-0.0006836056709289551,-9.750994353710041e-06
Train2,M4_MINUS_M2,M4_O_FRAME,M2_E_FRAME,0.25,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2897,1633,1264.0,14517,13253,-0.00012845428218891293,0.03700439872088879,0.0008356826911365411,0.0018464941531419754,-0.00012660778803576939
Train2,M4_MINUS_M2,M4_O_FRAME,M2_E_FRAME,0.25,IP,c227e33d-910e-4e39-a325-0fe1d1116436,3227,3105,122.0,16325,16203,-8.50067689010716e-06,0.035412568736546746,0.00019622296675025908,-0.0006408803164958954,-9.14155720660296e-06
Train2,M4_MINUS_M2,M4_O_FRAME,M2_E_FRAME,0.5,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5807,4766,1041.0,17427,16386,-0.00015377841245802978,0.04203763308403907,-0.00027671300481046934,0.00825278957684833,-0.00014552562288117944
Train2,M4_MINUS_M2,M4_O_FRAME,M2_E_FRAME,0.5,P,c227e33d-910e-4e39-a325-0fe1d1116436,6504,6104,400.0,19602,19202,-1.5085733217754926e-05,0.06678390124641709,0.0004805685358110212,-0.0016355683406193977,-1.6721301558374766e-05
Train2,M4_MINUS_M2,M4_O_FRAME,M2_E_FRAME,0.5,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5807,4766,1041.0,17427,16386,-0.00014416726167940097,0.03941028101628774,-0.00025941844200960684,0.007736990228295326,-0.00013643027145110627
Train2,M4_MINUS_M2,M4_O_FRAME,M2_E_FRAME,0.5,IP,c227e33d-910e-4e39-a325-0fe1d1116436,6504,6104,400.0,19602,19202,-1.414287489164565e-05,0.06260990741850847,0.00045053300232300586,-0.0015333453193306923,-1.5676220210976248e-05
Train2,M2_GUARD_MINUS_M2,M2_E_FRAME_GUARD,M2_E_FRAME,0,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,0,0.0,11620.0,11620,0.0,0.0,0.0,0.0,0.0
Train2,M2_GUARD_MINUS_M2,M2_E_FRAME_GUARD,M2_E_FRAME,0,P,c227e33d-910e-4e39-a325-0fe1d1116436,0.0,0,0.0,13098.0,13098,0.0,0.0,0.0,0.0,0.0
Train2,M2_GUARD_MINUS_M2,M2_E_FRAME_GUARD,M2_E_FRAME,0,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,0,0.0,11620.0,11620,0.0,0.0,0.0,0.0,0.0
Train2,M2_GUARD_MINUS_M2,M2_E_FRAME_GUARD,M2_E_FRAME,0,IP,c227e33d-910e-4e39-a325-0fe1d1116436,0.0,0,0.0,13098.0,13098,0.0,0.0,0.0,0.0,0.0
Train2,M2_GUARD_MINUS_M2,M2_E_FRAME_GUARD,M2_E_FRAME,0.1,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,0,0.0,11620.0,11620,0.0,0.0,0.0,0.0,0.0
Train2,M2_GUARD_MINUS_M2,M2_E_FRAME_GUARD,M2_E_FRAME,0.1,P,c227e33d-910e-4e39-a325-0fe1d1116436,1281.0,1281,0.0,14379.0,14379,0.0,0.0,0.0,0.0,0.0
Train2,M2_GUARD_MINUS_M2,M2_E_FRAME_GUARD,M2_E_FRAME,0.1,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,0,0.0,11620.0,11620,0.0,0.0,0.0,0.0,0.0
Train2,M2_GUARD_MINUS_M2,M2_E_FRAME_GUARD,M2_E_FRAME,0.1,IP,c227e33d-910e-4e39-a325-0fe1d1116436,1281.0,1281,0.0,14379.0,14379,2.168404344971009e-19,3.552713678800501e-15,1.1102230246251565e-16,0.0,0.0
Train2,M2_GUARD_MINUS_M2,M2_E_FRAME_GUARD,M2_E_FRAME,0.25,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1633.0,1633,0.0,13253.0,13253,0.0,0.0,0.0,0.0,0.0
Train2,M2_GUARD_MINUS_M2,M2_E_FRAME_GUARD,M2_E_FRAME,0.25,P,c227e33d-910e-4e39-a325-0fe1d1116436,3105.0,3105,0.0,16203.0,16203,0.0,0.0,0.0,0.0,0.0
Train2,M2_GUARD_MINUS_M2,M2_E_FRAME_GUARD,M2_E_FRAME,0.25,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1633.0,1633,0.0,13253.0,13253,0.0,0.0,0.0,0.0,3.469446951953614e-18
Train2,M2_GUARD_MINUS_M2,M2_E_FRAME_GUARD,M2_E_FRAME,0.25,IP,c227e33d-910e-4e39-a325-0fe1d1116436,3105.0,3105,0.0,16203.0,16203,0.0,7.105427357601002e-15,2.220446049250313e-16,0.0,4.336808689942018e-19
Train2,M2_GUARD_MINUS_M2,M2_E_FRAME_GUARD,M2_E_FRAME,0.5,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4766.0,4766,0.0,16386.0,16386,0.0,0.0,0.0,0.0,0.0
Train2,M2_GUARD_MINUS_M2,M2_E_FRAME_GUARD,M2_E_FRAME,0.5,P,c227e33d-910e-4e39-a325-0fe1d1116436,6104.0,6104,0.0,19202.0,19202,0.0,0.0,0.0,0.0,0.0
Train2,M2_GUARD_MINUS_M2,M2_E_FRAME_GUARD,M2_E_FRAME,0.5,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4766.0,4766,0.0,16386.0,16386,0.0,0.0,1.1102230246251565e-16,0.0,1.734723475976807e-18
Train2,M2_GUARD_MINUS_M2,M2_E_FRAME_GUARD,M2_E_FRAME,0.5,IP,c227e33d-910e-4e39-a325-0fe1d1116436,6104.0,6104,0.0,19202.0,19202,0.0,0.0,2.220446049250313e-16,0.0,4.336808689942018e-19
Train2,M4_GUARD_MINUS_M4,M4_O_FRAME_GUARD,M4_O_FRAME,0,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,0,0.0,11620.0,11620,0.0,0.0,0.0,0.0,0.0
Train2,M4_GUARD_MINUS_M4,M4_O_FRAME_GUARD,M4_O_FRAME,0,P,c227e33d-910e-4e39-a325-0fe1d1116436,0.0,0,0.0,13098.0,13098,0.0,0.0,0.0,0.0,0.0
Train2,M4_GUARD_MINUS_M4,M4_O_FRAME_GUARD,M4_O_FRAME,0,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,0,0.0,11620.0,11620,0.0,0.0,0.0,0.0,0.0
Train2,M4_GUARD_MINUS_M4,M4_O_FRAME_GUARD,M4_O_FRAME,0,IP,c227e33d-910e-4e39-a325-0fe1d1116436,0.0,0,0.0,13098.0,13098,0.0,0.0,0.0,0.0,0.0
Train2,M4_GUARD_MINUS_M4,M4_O_FRAME_GUARD,M4_O_FRAME,0.1,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,734.0,734,0.0,12354.0,12354,0.0,0.0,0.0,0.0,0.0
Train2,M4_GUARD_MINUS_M4,M4_O_FRAME_GUARD,M4_O_FRAME,0.1,P,c227e33d-910e-4e39-a325-0fe1d1116436,1236.0,1236,0.0,14334.0,14334,0.0,0.0,0.0,0.0,0.0
Train2,M4_GUARD_MINUS_M4,M4_O_FRAME_GUARD,M4_O_FRAME,0.1,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,734.0,734,0.0,12354.0,12354,0.0,-3.552713678800501e-15,0.0,0.0,3.469446951953614e-18
Train2,M4_GUARD_MINUS_M4,M4_O_FRAME_GUARD,M4_O_FRAME,0.1,IP,c227e33d-910e-4e39-a325-0fe1d1116436,1236.0,1236,0.0,14334.0,14334,0.0,3.552713678800501e-15,1.1102230246251565e-16,0.0,4.336808689942018e-19
Train2,M4_GUARD_MINUS_M4,M4_O_FRAME_GUARD,M4_O_FRAME,0.25,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2897.0,2897,0.0,14517.0,14517,0.0,0.0,0.0,0.0,0.0
Train2,M4_GUARD_MINUS_M4,M4_O_FRAME_GUARD,M4_O_FRAME,0.25,P,c227e33d-910e-4e39-a325-0fe1d1116436,3227.0,3227,0.0,16325.0,16325,0.0,0.0,0.0,0.0,0.0
Train2,M4_GUARD_MINUS_M4,M4_O_FRAME_GUARD,M4_O_FRAME,0.25,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2897.0,2897,0.0,14517.0,14517,-1.734723475976807e-18,0.0,-1.1102230246251565e-16,0.0,3.469446951953614e-18
Train2,M4_GUARD_MINUS_M4,M4_O_FRAME_GUARD,M4_O_FRAME,0.25,IP,c227e33d-910e-4e39-a325-0fe1d1116436,3227.0,3227,0.0,16325.0,16325,2.168404344971009e-19,3.552713678800501e-15,1.1102230246251565e-16,0.0,2.168404344971009e-19
Train2,M4_GUARD_MINUS_M4,M4_O_FRAME_GUARD,M4_O_FRAME,0.5,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5807.0,5807,0.0,17427.0,17427,1.7754160249253137e-06,-0.0006377327364504026,0.00015035198896962143,-0.0008685668309529881,9.068491939722562e-07
Train2,M4_GUARD_MINUS_M4,M4_O_FRAME_GUARD,M4_O_FRAME,0.5,P,c227e33d-910e-4e39-a325-0fe1d1116436,6504.0,6504,0.0,19602.0,19602,0.0,0.0,0.0,0.0,0.0
Train2,M4_GUARD_MINUS_M4,M4_O_FRAME_GUARD,M4_O_FRAME,0.5,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5807.0,5807,0.0,17427.0,17427,1.6644525233644458e-06,-0.0005978744404231406,0.00014095498965893682,-0.0008142814040184021,8.501711193514838e-07
Train2,M4_GUARD_MINUS_M4,M4_O_FRAME_GUARD,M4_O_FRAME,0.5,IP,c227e33d-910e-4e39-a325-0fe1d1116436,6504.0,6504,0.0,19602.0,19602,4.336808689942018e-19,7.105427357601002e-15,0.0,0.0,2.168404344971009e-19
Train2,M4_GUARD_MINUS_M2_GUARD,M4_O_FRAME_GUARD,M2_E_FRAME_GUARD,0,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,0.0,0.0,11620.0,11620.0,0.0,0.0,0.0,0.0,0.0
Train2,M4_GUARD_MINUS_M2_GUARD,M4_O_FRAME_GUARD,M2_E_FRAME_GUARD,0,P,c227e33d-910e-4e39-a325-0fe1d1116436,0.0,0.0,0.0,13098.0,13098.0,0.0,0.0,0.0,0.0,0.0
Train2,M4_GUARD_MINUS_M2_GUARD,M4_O_FRAME_GUARD,M2_E_FRAME_GUARD,0,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,0.0,0.0,11620.0,11620.0,0.0,0.0,0.0,0.0,0.0
Train2,M4_GUARD_MINUS_M2_GUARD,M4_O_FRAME_GUARD,M2_E_FRAME_GUARD,0,IP,c227e33d-910e-4e39-a325-0fe1d1116436,0.0,0.0,0.0,13098.0,13098.0,0.0,0.0,0.0,0.0,0.0
Train2,M4_GUARD_MINUS_M2_GUARD,M4_O_FRAME_GUARD,M2_E_FRAME_GUARD,0.1,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,734.0,0.0,734.0,12354.0,11620.0,-5.845141810447742e-05,0.01705764006108268,0.0006979429207961685,-0.0005093355973561642,-5.896075370183211e-05
Train2,M4_GUARD_MINUS_M2_GUARD,M4_O_FRAME_GUARD,M2_E_FRAME_GUARD,0.1,P,c227e33d-910e-4e39-a325-0fe1d1116436,1236.0,1281.0,-45.0,14334.0,14379.0,-7.174101802542507e-07,0.0015822717622420157,-0.00014026241793296812,0.0004426668087641472,-2.7474337148955877e-07
Train2,M4_GUARD_MINUS_M2_GUARD,M4_O_FRAME_GUARD,M2_E_FRAME_GUARD,0.1,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,734.0,0.0,734.0,12354.0,11620.0,-5.4798204472947254e-05,0.015991537557262347,0.000654321488246401,-0.00047750212252140045,-5.527570659546663e-05
Train2,M4_GUARD_MINUS_M2_GUARD,M4_O_FRAME_GUARD,M2_E_FRAME_GUARD,0.1,IP,c227e33d-910e-4e39-a325-0fe1d1116436,1236.0,1281.0,-45.0,14334.0,14379.0,-6.725720439883058e-07,0.0014833797771025559,-0.0001314960168121715,0.0004150001332163811,-2.5757191077138003e-07
Train2,M4_GUARD_MINUS_M2_GUARD,M4_O_FRAME_GUARD,M2_E_FRAME_GUARD,0.25,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2897.0,1633.0,1264.0,14517.0,13253.0,-0.0001370179010015092,0.039471358635612575,0.0008913948705455699,0.0019695937633514293,-0.00013504830723815552
Train2,M4_GUARD_MINUS_M2_GUARD,M4_O_FRAME_GUARD,M2_E_FRAME_GUARD,0.25,P,c227e33d-910e-4e39-a325-0fe1d1116436,3227.0,3105.0,122.0,16325.0,16203.0,-9.067388682780812e-06,0.03777340665231321,0.0002093044978668246,-0.0006836056709289551,-9.750994353710041e-06
Train2,M4_GUARD_MINUS_M2_GUARD,M4_O_FRAME_GUARD,M2_E_FRAME_GUARD,0.25,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2897.0,1633.0,1264.0,14517.0,13253.0,-0.00012845428218891466,0.03700439872088879,0.0008356826911364301,0.0018464941531419754,-0.00012660778803576939
Train2,M4_GUARD_MINUS_M2_GUARD,M4_O_FRAME_GUARD,M2_E_FRAME_GUARD,0.25,IP,c227e33d-910e-4e39-a325-0fe1d1116436,3227.0,3105.0,122.0,16325.0,16203.0,-8.500676890106943e-06,0.03541256873654319,0.00019622296675014805,-0.0006408803164958954,-9.141557206603177e-06
Train2,M4_GUARD_MINUS_M2_GUARD,M4_O_FRAME_GUARD,M2_E_FRAME_GUARD,0.5,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5807.0,4766.0,1041.0,17427.0,16386.0,-0.00015200299643310447,0.04139990034758867,-0.0001263610158408479,0.007384222745895341,-0.00014461877368720719
Train2,M4_GUARD_MINUS_M2_GUARD,M4_O_FRAME_GUARD,M2_E_FRAME_GUARD,0.5,P,c227e33d-910e-4e39-a325-0fe1d1116436,6504.0,6104.0,400.0,19602.0,19202.0,-1.5085733217754926e-05,0.06678390124641709,0.0004805685358110212,-0.0016355683406193977,-1.6721301558374766e-05
Train2,M4_GUARD_MINUS_M2_GUARD,M4_O_FRAME_GUARD,M2_E_FRAME_GUARD,0.5,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5807.0,4766.0,1041.0,17427.0,16386.0,-0.00014250280915603653,0.0388124065758646,-0.00011846345235078104,0.006922708824276924,-0.00013558010033175652
Train2,M4_GUARD_MINUS_M2_GUARD,M4_O_FRAME_GUARD,M2_E_FRAME_GUARD,0.5,IP,c227e33d-910e-4e39-a325-0fe1d1116436,6504.0,6104.0,400.0,19602.0,19202.0,-1.4142874891645216e-05,0.06260990741851558,0.0004505330023227838,-0.0015333453193306923,-1.5676220210976465e-05
