dataset,video,video_id,kind,parameter,bytes,bits,bpp,kbps,total_pixel_SSE,aggregate_MSE,sequence_PSNR,mean_PSNR,SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,decode_status,model_hash,actual_rate_ratio
uvg,Beauty,0,blur,1.0,9181,73448,0.0022137827932098763,550.86,297567.28515625,0.0029896404517530902,25.243810388357346,25.354608308198063,0.9539089314639568,0.1676521310582757,0.15614290907979012,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_blur_1p0.bin,5e43a4f030e52ef50dc9217299e895a7f06a1d69db9b5295a970a592b3ae5a21,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.0540757749712975
uvg,Beauty,0,blur,1.5,10620,84960,0.002560763888888889,637.2,291531.59765625,0.002929000265804338,25.332805889065362,25.43003913519377,0.9549796916544437,0.17298064939677715,0.17163925245404243,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_blur_1p5.bin,07b808d05bd1d66bb33a1e578b30889a181512f08eb945866e7d900267581372,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.2192881745120552
uvg,Beauty,0,blur,2.0,11751,94008,0.002833478009259259,705.06,303569.248046875,0.0030499418085985224,25.157084467009664,25.252174716726106,0.9538506753742695,0.1904232418164611,0.18827824294567108,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_blur_2p0.bin,c8c2018a6e2142333fe651a650c8474bf62e5fb8371428a0d3a04949514e2e87,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.3491389207807118
uvg,Beauty,0,blur,3.0,13121,104968,0.00316382137345679,787.26,345743.77734375,0.0034736667444676527,24.59211849095921,24.69228514626809,0.9491552785038948,0.22126570623368025,0.21828147023916245,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_blur_3p0.bin,76ac2206d9c8122d8f16ceee16120bd9702ddf16972232bff34eedf0965cc255,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.5064293915040183
uvg,Beauty,0,blur,4.0,13919,111352,0.0033562403549382714,835.14,361456.337890625,0.0036315298865361467,24.399103773584795,24.501640253077273,0.9475634731352329,0.2403465062379837,0.24769699946045876,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_blur_4p0.bin,ef413b29e4f2b220fa9f66d5541e40e10f16d477c846d03a17447841812b462b,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.59804822043628
uvg,Beauty,0,blur,6.0,13570,108560,0.003272087191358025,814.2,373052.05859375,0.003748031388584969,24.26196780689231,24.368997530920716,0.9462910257279873,0.2652178332209587,0.29407845064997673,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_blur_6p0.bin,13c26164b906bfada5a8cd2c36eae71e1976ef46cd3fe8e9e106d2620dac9754,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.5579793340987371
uvg,Beauty,0,blur,8.0,13247,105976,0.0031942033179012345,794.82,375963.10546875,0.0037772784998387466,24.228209933339272,24.33367208198269,0.9462215527892113,0.28205646201968193,0.3294389471411705,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_blur_8p0.bin,3f35e3bcb74e04a802eab974ed615ac39438a08d21a4671254a95662e631b846,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.5208955223880598
uvg,Bosphorus,1,blur,0.5,11846,94768,0.0028563850308641974,710.76,137431.2353515625,0.0013807632795577187,28.59880771235985,28.622925018012655,0.9366365224123001,0.17436610348522663,0.1802288517355919,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_01_blur_0p5.bin,d1e39256711cf36e4958584b3ba14142a71a246063379f04a56122a3bae13ff1,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,0.9979780960404381
uvg,Bosphorus,1,blur,1.0,12060,96480,0.002907986111111111,723.6,127092.85205078125,0.0012768941700703814,28.938450958916796,28.95757386062477,0.9407195560634136,0.1796790575608611,0.16772102937102318,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_01_blur_1p0.bin,d295717ac58296608d69a57cba63ecd686dc7f8d54c21f6c6b7a6da6959a7bb2,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.016006739679865
uvg,Bosphorus,1,blur,1.5,12770,102160,0.0030791859567901236,766.2,119857.7939453125,0.0012042039804497865,29.192999415828478,29.210156958154222,0.9431672915816307,0.19331209175288677,0.16809764131903648,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_01_blur_1p5.bin,fefec21462913b19b60a503da93d8da95424c20433587646da86af3dfcab33e8,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.075821398483572
uvg,Bosphorus,1,blur,2.0,13004,104032,0.0031356095679012344,780.24,118091.94384765625,0.0011864625917050082,29.257459502171482,29.275829271092313,0.9433232732117176,0.21475636214017868,0.1813393011689186,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_01_blur_2p0.bin,5f74769c5f20df9b99eda5f637a204530e38f801caf3a444326ce0890f7b80ab,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.0955349620893007
uvg,Bosphorus,1,blur,3.0,13788,110304,0.003324652777777778,827.28,128811.32275390625,0.0012941595409142136,28.88012181574821,28.905014482507312,0.9379633739590645,0.26145970541983843,0.2173827886581421,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_01_blur_3p0.bin,22a7cff664a53bd96d76824f5032fd32827d15771327a0afc9a3ca9a81a37df9,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.1615838247683234
uvg,Bosphorus,1,blur,4.0,14046,112368,0.003386863425925926,842.76,141873.27001953125,0.0014253921322371244,28.460656427155993,28.497356871573945,0.9316509328782558,0.30498586874455214,0.25557665154337883,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_01_blur_4p0.bin,63ac77c893026e8288fcda4c866ed27c8adbf6917a18764a2b736af91f4e92f9,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.1833192923336142
uvg,Bosphorus,1,blur,6.0,13572,108576,0.0032725694444444443,814.32,168629.49267578125,0.0016942102771727637,27.71032688132625,27.759512219034747,0.9192143008112907,0.36586473416537046,0.3114442490041256,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_01_blur_6p0.bin,1c11df20df0da56a6dd998660949b0e0de698de79978309b4b066cbdeb46868a,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.1433866891322662
uvg,Bosphorus,1,blur,8.0,12629,101032,0.0030451871141975308,757.74,185350.53955078125,0.0018622056201652245,27.299723669782978,27.360546746807948,0.9112432561814785,0.4010701337829232,0.34945208206772804,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_01_blur_8p0.bin,d1f3d09baa8a4e216bef3d8c1fe69754767f45b80b7df6409ffc065c1c33b38b,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.0639427127211458
uvg,HoneyBee,2,blur,0.5,13223,105784,0.0031884162808641977,793.38,116131.2685546875,0.0011667638060487346,29.330170515053236,29.34901142061662,0.9641838893294334,0.1585145192220807,0.13482854142785072,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_02_blur_0p5.bin,48711f595b4e9ca5cfc2761c7f59b831d5813258e05c2340585e8c9395479fca,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.0011356753482739
uvg,HoneyBee,2,blur,1.0,13304,106432,0.0032079475308641977,798.24,110330.12255859375,0.0011084800443531555,29.552721209575385,29.57788570462047,0.9659399539232254,0.15726957842707634,0.1416305936872959,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_02_blur_1p0.bin,e070cb05a390c216aff6ba7bdae5b65783c28645d3e6b29b486dd39744ba24df,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.0072683222289522
uvg,HoneyBee,2,blur,1.5,13765,110120,0.0033191068672839504,825.9,105260.517578125,0.001057546030837322,29.757007204034387,29.787661747316484,0.9673916883766651,0.16106143966317177,0.15134615451097488,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_02_blur_1p5.bin,e6cd78c2d779bca4db788f3a12874d2634dc5f5a4e01cad8765000d9b280f42f,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.0421714112658995
uvg,HoneyBee,2,blur,2.0,13894,111152,0.003350212191358025,833.64,100658.63232421875,0.001011311169023867,29.951151963402538,29.986633908306416,0.9685792662203312,0.16963977087289095,0.16926219686865807,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_02_blur_2p0.bin,3b6b70ec57da50d4c7c763ac952c183c2884cd0014b9f253a80494a2a9428109,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.0519382192610538
uvg,HoneyBee,2,blur,3.0,14286,114288,0.0034447337962962964,857.16,99820.982421875,0.0010028953513000238,29.987443817592883,30.02317815020061,0.9686750844120979,0.19380709249526262,0.20457836613059044,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_02_blur_3p0.bin,4768cb6ef1b4acfaeac2a4cf5316b72e4e50d9fb4c82258226155163f0fc8f32,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.0816172016959418
uvg,HoneyBee,2,blur,4.0,14613,116904,0.003523582175925926,876.78,103404.0625,0.0010388943393534595,29.83428620074369,29.868768491185868,0.9674507714807987,0.22951347660273314,0.24201413244009018,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_02_blur_4p0.bin,f2ad2c2829d90d7d48ce8db2c5d1fe12a02afa8f76da8c7ea3e15eb1d8b6e29f,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.10637492428831
uvg,HoneyBee,2,blur,6.0,15153,121224,0.0036537905092592594,909.18,123723.65283203125,0.0012430440300286061,29.055134878830565,29.090981134696186,0.9613373838365078,0.3073736522346735,0.3068864122033119,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_02_blur_6p0.bin,3babd342943a18c41aa393f906e967f985e022e06314fe117778b45ba3c7d326,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.147259236826166
uvg,HoneyBee,2,blur,8.0,15223,121784,0.0036706693672839508,913.38,149522.412109375,0.0015022425985140074,28.232599270600677,28.274980167995956,0.9535138383507729,0.3828352987766266,0.36617929115891457,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_02_blur_8p0.bin,759ae902c3d97de5bc0980752a8c927e3dd3facee100d933827b6a868b672319,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.1525590551181102
