dataset,video,video_id,kind,parameter,bitstream_path,recorded_bytes,filesystem_bytes,bitstream_sha256,real_rans,independent_decode_status
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,oracle,0.1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_oracle_0p1.bin,44389,44389,e2f0c460d1d433b8403f33e868e40ea8d1fe0126d87e2aa85d147d9a953ecf86,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,oracle,0.3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_oracle_0p3.bin,43923,43923,794dd7049462fe7c55682c87d0c656669363117aad5395b2ac0202fd84dd2ff8,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,oracle,1.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_oracle_1p0.bin,41403,41403,9cb37740d619dc0cbf72a6c16cb893d44b4ae145cb7f9024228bab8e28eae6ab,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,oracle,3.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_oracle_3p0.bin,38481,38481,7e34ddf47e045505027e10f3f58a07d02f1d1a09d8d94c83ea34e2c9720d0a78,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,oracle,10.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_oracle_10p0.bin,31641,31641,4ab033906c422e5c2aa4c8ece15804ca094227e0b455fb959d9730ba2f561eee,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,oracle,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_oracle_30p0.bin,25255,25255,3d27349fb59cd7d83dc8dbc9e1cd2f195a4005ad14ffa7e0b59196c7a83ef321,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,oracle,100.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_oracle_100p0.bin,20373,20373,de30ef8a849df20644b80518c9c6a53baa3734862713464891bdd306b60ace96,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,oracle,300.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_oracle_300p0.bin,17375,17375,f6094c884ca57088c1a324cefa0f41b195ca09869f0ff26a943c993b1d0b550f,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,oracle,1000.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_oracle_1000p0.bin,15824,15824,8512eec3dfb1669943db7a35811dd2af20b4ffc88813b0fc2117208551adf213,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,blur,0.5,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_blur_0p5.bin,19156,19156,2023b925c7fde5c60f243393d7adfd3285362c0902db8b1bc9c735055b8849b1,True,NOT_SELECTED
