codec,dataset,video,video_id,rate_control,num_frames,fps,bitstream_path,bitstream_bytes,actual_bits,bpp,kbps,bitstream_sha256,decode_status
DCVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,I32_P32,64,29.97002997002997,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q32.bin,73198,585584,0.0044124951774691355,274.21828171828173,fab51b493af733fb12eef99f4f46af83573322209f43672ff941892b585277eb,PASS
DCVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,I8_P8,64,29.97002997002997,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q8.bin,23767,190136,0.001432713638117284,89.0372127872128,1f6fc7e283bb66a14f66ed6ed37398948cb831a7a920c7c9d304e16b7a527b24,PASS
GVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,QP1,64,29.97002997002997,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_10_qp1.bin,35312,282496,0.00212866512345679,132.28771228771228,6b3c2df67aabc382b1e31c2361aeb9766abd69f77fdef30a288bca23ef127aa1,PASS
GVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,QP3,64,29.97002997002997,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_10_qp3.bin,60467,483736,0.0036450496720679014,226.52472527472526,82b908f356f29f8f863419425c34dd515975b41a82dd596afdd27679a2f7e911,PASS
DCVC-RT,uvg,Beauty,0,I0_P0,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_00_q0.bin,6366,50928,0.0003837528935185185,95.49,b54d4785be9a2da3abae2b707a66ce6d87345fff0852a2a87547b6a62069f056,PASS
DCVC-RT,uvg,Beauty,0,I16_P16,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_00_q16.bin,13187,105496,0.0007949339313271605,197.805,5bc0ce7284356c20bfb8a86fc10be48027ee97e1d542f4639f2f88f21c5efec1,PASS
DCVC-RT,uvg,Beauty,0,I24_P24,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_00_q24.bin,19748,157984,0.0011904417438271604,296.22,8c41909c89c00635bcaf9507d924fbe06a6c098e6f847189c1157e4592b38f02,PASS
DCVC-RT,uvg,Beauty,0,I26_P26,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_00_q26.bin,21751,174008,0.001311185860339506,326.265,a36f1a43eb8d7c99fc59896b67cdec0ddb12b3a99bca1be5bd2c28a7b8fd87ab,PASS
DCVC-RT,uvg,Beauty,0,I32_P32,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_00_q32.bin,30246,241968,0.0018232783564814815,453.69,c3cf2d654f3ba9a5747905b27674e6d20254ee0113e4a160ae80c82077548f9a,PASS
DCVC-RT,uvg,Beauty,0,I38_P38,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_00_q38.bin,41479,331832,0.0025004219714506175,622.185,a2c32e026060f21b99b3a2d26b3f5cf7dbc418e576ec3b472d3d950572d1fb2f,PASS
