codec,dataset,video,video_id,rate_control,num_frames,fps,total_pixel_SSE,aggregate_MSE,sequence_PSNR,mean_frame_PSNR,SSIM,MS_SSIM,LPIPS,DISTS,FloLPIPS,reconstruction_dir,actual_total_bytes,actual_bits,bpp,kbps,bitstream_path,bitstream_sha256,decode_status
DCVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,I0_P0,64,29.97002997002997,212024.07678222656,0.0005325482574142056,32.73641032059911,32.80997046140963,0.990658643655479,0.9629576820880175,0.12786845909431577,0.20161677990108728,0.08542482194209856,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_10/DCVC_q0,16298,130384,0.000982470100308642,61.056443556443554,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q0.bin,c5464631550153bf1e8213226fbf6c509a760bc46261837ca38468858c7adb31,PASS
DCVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,I16_P16,64,29.97002997002997,80088.78491210938,0.00020116179016391926,36.964545081930254,37.03030032503327,0.9964781105518341,0.98253651894629,0.07397149928146973,0.13872273825109005,0.05489174690511492,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_10/DCVC_q16,34526,276208,0.0020812837577160494,129.34315684315683,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q16.bin,e8ac9584a3a44583abcb5b38eb3e8a9a62a91b2e1a383c41b0a29f68d3994549,PASS
DCVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,I17_P17,64,29.97002997002997,77063.28137207031,0.0001935625275589311,37.131787154654106,37.198889857197294,0.9966140957549214,0.9829460140317678,0.07228852214757353,0.13488373346626759,0.0536237626913048,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_10/DCVC_q17,36133,289064,0.0021781563464506174,135.36338661338664,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q17.bin,4f042fc71f6ee70319dff9a7a2000e551c751d50413692a120f8e31c704e28b8,PASS
DCVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,I24_P24,64,29.97002997002997,53010.29333496094,0.00013314779985834052,38.75666005471953,38.82346488270326,0.9976738346740603,0.9869816871359944,0.057991021778434515,0.1120382035151124,0.04632830699639661,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_10/DCVC_q24,50436,403488,0.0030403645833333333,188.94605394605392,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q24.bin,53dae74f27e0e3043dca29633bfe68bf568e2cb3e18d727af6dd2795b4610720,PASS
DCVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,I28_P28,64,29.97002997002997,43610.293518066406,0.00010953749296228581,39.604372032018745,39.67084194062558,0.9980878969654441,0.9885841831564903,0.05131545278709382,0.10128914099186659,0.041754800264560986,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_10/DCVC_q28,60920,487360,0.0036723572530864197,228.2217782217782,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q28.bin,2a24fe070d240de7fa84b1338270a465e1a2da430047b5ee6eded3eab4edd640,PASS
DCVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,I32_P32,64,29.97002997002997,35964.72622680664,9.033385533916116e-05,40.44149454211358,40.50833740506257,0.9984245067462325,0.9900277387350798,0.045363295008428395,0.08922571875154972,0.039689756308992706,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_10/DCVC_q32,73198,585584,0.0044124951774691355,274.21828171828173,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q32.bin,fab51b493af733fb12eef99f4f46af83573322209f43672ff941892b585277eb,PASS
DCVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,I8_P8,64,29.97002997002997,127961.80627441406,0.0003214061251025141,34.929458510547036,34.997180907499036,0.9943621885031462,0.9750376408919692,0.09656680643092841,0.16866534855216742,0.06796288679516505,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_10/DCVC_q8,23767,190136,0.001432713638117284,89.0372127872128,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q8.bin,1f6fc7e283bb66a14f66ed6ed37398948cb831a7a920c7c9d304e16b7a527b24,PASS
GVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,QP1,64,29.97002997002997,568295.15234375,0.001427406725078944,28.454522614408,28.470248397554215,0.9818267310038209,0.9664685744792223,0.07825278677046299,0.0752648999914527,0.06457958601060368,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_10/GVC_qp1,35312,282496,0.00212866512345679,132.28771228771228,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_10_qp1.bin,6b3c2df67aabc382b1e31c2361aeb9766abd69f77fdef30a288bca23ef127aa1,PASS
GVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,QP3,64,29.97002997002997,489853.62353515625,0.001230382405436088,29.099598879430452,29.115980718729688,0.9851642334833741,0.973461726680398,0.06426907214336097,0.06255542207509279,0.053618239682345165,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_10/GVC_qp3,60467,483736,0.0036450496720679014,226.52472527472526,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_10_qp3.bin,82b908f356f29f8f863419425c34dd515975b41a82dd596afdd27679a2f7e911,PASS
DCVC-RT,uvg,Beauty,0,I0_P0,64,120.0,182420.84692382812,0.0004581927940433408,33.38951745202978,33.46493534913405,0.9906675592064857,0.9238056065514684,0.2851019985973835,0.36073881667107344,0.2356764804276209,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/uvg_00/DCVC_q0,6366,50928,0.0003837528935185185,95.49,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_00_q0.bin,b54d4785be9a2da3abae2b707a66ce6d87345fff0852a2a87547b6a62069f056,PASS
