codec,dataset,video,video_id,rate_control,frame,pixel_SSE,MSE,PSNR,SSIM,MS_SSIM,LPIPS,DISTS,FloLPIPS
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,13,11939.064453125,0.0019192169420421124,27.168759312537908,0.9794396758079529,0.8927576541900635,0.3172791004180908,0.1319131851196289,0.300786554813385
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,14,13800.7578125,0.0022184860426932573,26.53943299244189,0.9751519560813904,0.8838064074516296,0.33850106596946716,0.13992363214492798,0.3066502511501312
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,15,12194.06640625,0.0019602086395025253,27.076977010097053,0.9771497845649719,0.8877670764923096,0.32997629046440125,0.13691097497940063,0.30962222814559937
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,16,14094.0244140625,0.002265628892928362,26.4481122551957,0.9732987284660339,0.8788721561431885,0.3515007495880127,0.14826852083206177,0.2975490987300873
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,17,11126.3984375,0.0017885799752548337,27.47491635869877,0.9789760112762451,0.8903810381889343,0.3349163830280304,0.14831680059432983,0.2946440577507019
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,18,12246.4111328125,0.001968623138964176,27.058374145541933,0.9772472977638245,0.8869678974151611,0.34301328659057617,0.15286988019943237,0.2948896288871765
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,19,11673.837890625,0.001876581460237503,27.266325786189896,0.9792560338973999,0.8875629901885986,0.33440425992012024,0.15045428276062012,0.26384246349334717
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,20,14127.029296875,0.0022709344048053026,26.437954100526206,0.9761257171630859,0.8759241104125977,0.3588346838951111,0.16420841217041016,0.27947476506233215
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,21,11835.939453125,0.0019026394002139568,27.20643514044469,0.9815560579299927,0.8841433525085449,0.3368037939071655,0.16434264183044434,0.22480009496212006
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,22,12970.404296875,0.0020850058645009995,26.808927191473742,0.9812369346618652,0.8790640830993652,0.34429067373275757,0.17323827743530273,0.2466730773448944
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,23,11542.7919921875,0.0018555156420916319,27.315353801751026,0.9846835136413574,0.8851319551467896,0.32426586747169495,0.1723901629447937,0.21824514865875244
