sample,base_cache_and_context_seconds
66d34721-a96d-4a92-9042-0847e057f3ba_f0015,0.0021042153239250183
b3d4cebf-21ab-41e1-b79a-729d35794681_f0001,0.1328960806131363
b3d4cebf-21ab-41e1-b79a-729d35794681_f0002,0.002039410173892975
b3d4cebf-21ab-41e1-b79a-729d35794681_f0003,0.0016054660081863403
b3d4cebf-21ab-41e1-b79a-729d35794681_f0004,0.002395220100879669
b3d4cebf-21ab-41e1-b79a-729d35794681_f0005,0.002248227596282959
b3d4cebf-21ab-41e1-b79a-729d35794681_f0006,0.0017210915684700012
b3d4cebf-21ab-41e1-b79a-729d35794681_f0007,0.0021171346306800842
b3d4cebf-21ab-41e1-b79a-729d35794681_f0008,0.0014999955892562866
b3d4cebf-21ab-41e1-b79a-729d35794681_f0009,0.0020583048462867737
b3d4cebf-21ab-41e1-b79a-729d35794681_f0010,0.0022020116448402405
b3d4cebf-21ab-41e1-b79a-729d35794681_f0011,0.0018260106444358826
b3d4cebf-21ab-41e1-b79a-729d35794681_f0012,0.0018050149083137512
b3d4cebf-21ab-41e1-b79a-729d35794681_f0013,0.0016815438866615295
b3d4cebf-21ab-41e1-b79a-729d35794681_f0014,0.0016607269644737244
b3d4cebf-21ab-41e1-b79a-729d35794681_f0015,0.0014704763889312744
46da3cc3-6beb-425c-a870-c8d7bae89311_f0001,0.09916732460260391
46da3cc3-6beb-425c-a870-c8d7bae89311_f0002,0.0028155073523521423
46da3cc3-6beb-425c-a870-c8d7bae89311_f0003,0.002117440104484558
46da3cc3-6beb-425c-a870-c8d7bae89311_f0004,0.002065509557723999
46da3cc3-6beb-425c-a870-c8d7bae89311_f0005,0.0018883869051933289
46da3cc3-6beb-425c-a870-c8d7bae89311_f0006,0.0016966313123703003
46da3cc3-6beb-425c-a870-c8d7bae89311_f0007,0.0029633790254592896
46da3cc3-6beb-425c-a870-c8d7bae89311_f0008,0.0023410245776176453
46da3cc3-6beb-425c-a870-c8d7bae89311_f0009,0.002200782299041748
46da3cc3-6beb-425c-a870-c8d7bae89311_f0010,0.002292051911354065
46da3cc3-6beb-425c-a870-c8d7bae89311_f0011,0.0024078041315078735
46da3cc3-6beb-425c-a870-c8d7bae89311_f0012,0.002299264073371887
46da3cc3-6beb-425c-a870-c8d7bae89311_f0013,0.0018478035926818848
46da3cc3-6beb-425c-a870-c8d7bae89311_f0014,0.002199135720729828
46da3cc3-6beb-425c-a870-c8d7bae89311_f0015,0.0022842735052108765
2996c286-14c5-4157-95ba-f2a73fae0187_f0001,0.09480301290750504
2996c286-14c5-4157-95ba-f2a73fae0187_f0002,0.0023048222064971924
2996c286-14c5-4157-95ba-f2a73fae0187_f0003,0.001666925847530365
2996c286-14c5-4157-95ba-f2a73fae0187_f0004,0.0023721233010292053
2996c286-14c5-4157-95ba-f2a73fae0187_f0005,0.0020591169595718384
2996c286-14c5-4157-95ba-f2a73fae0187_f0006,0.0017377957701683044
2996c286-14c5-4157-95ba-f2a73fae0187_f0007,0.0026206746697425842
2996c286-14c5-4157-95ba-f2a73fae0187_f0008,0.0019822493195533752
2996c286-14c5-4157-95ba-f2a73fae0187_f0009,0.0014080256223678589
2996c286-14c5-4157-95ba-f2a73fae0187_f0010,0.0025194883346557617
2996c286-14c5-4157-95ba-f2a73fae0187_f0011,0.002150692045688629
2996c286-14c5-4157-95ba-f2a73fae0187_f0012,0.0020846277475357056
2996c286-14c5-4157-95ba-f2a73fae0187_f0013,0.001846805214881897
2996c286-14c5-4157-95ba-f2a73fae0187_f0014,0.002295196056365967
2996c286-14c5-4157-95ba-f2a73fae0187_f0015,0.002392970025539398
