split,video,method,alpha,base_bytes,budget_bytes,actual_bytes,enhancement_fraction,stream_sent,objective_sum_P,stream,stream_sha256,scope,frames,nonzero_enhancement_frames,mse,mse_minus_ZERO,psnr,psnr_minus_ZERO,ms_ssim,ms_ssim_minus_ZERO,lpips,lpips_minus_ZERO,d,d_minus_ZERO
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME,0.5,11620.0,5810.0,5807.0,0.4997418244406196,True,0.21812814632126726,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_5_frame_budget_allocation/results_v1/mixed_streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_a0p5.orc2,ecc01ff44948613182fd849e9313cb32aa1265a2975f1e420e2d34ed530310fe,P,15,10,0.014167449551866476,-0.0005263888344888799,18.488732465187258,0.15884419751182222,0.7911102311607555,0.006329454850444449,0.37442686955134075,-0.004153637091318774,0.014541876421417818,-0.0005305424715801952
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME,0.5,11620.0,5810.0,5807.0,0.4997418244406196,True,0.21812814632126726,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_5_frame_budget_allocation/results_v1/mixed_streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_a0p5.orc2,ecc01ff44948613182fd849e9313cb32aa1265a2975f1e420e2d34ed530310fe,IP,16,10,0.015070901641705164,-0.0004934895323333249,18.297742723260665,0.14891643516733333,0.7842204181998601,0.005933863922291671,0.3680613115429878,-0.0038940347731113503,0.015438962953248151,-0.000497383567106433
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M1_E_SEQUENCE,0.0,13098.0,0.0,0.0,0.0,False,0.019192755380735973,,,P,15,0,0.0011039545731058504,0.0,29.574221831591174,0.0,0.9017585817742864,0.0,0.17556245227654774,0.0,0.001279517025382398,0.0
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M1_E_SEQUENCE,0.0,13098.0,0.0,0.0,0.0,False,0.019192755380735973,,,IP,16,0,0.001179337032691632,0.0,29.373566793172266,0.0,0.8963387012512345,0.0,0.17879619169980288,0.0,0.0013581332243914348,0.0
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M1_E_SEQUENCE,0.1,13098.0,1309.0,0.0,0.0,False,0.019192755380735973,,,P,15,0,0.0011039545731058504,0.0,29.574221831591174,0.0,0.9017585817742864,0.0,0.17556245227654774,0.0,0.001279517025382398,0.0
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M1_E_SEQUENCE,0.1,13098.0,1309.0,0.0,0.0,False,0.019192755380735973,,,IP,16,0,0.001179337032691632,0.0,29.373566793172266,0.0,0.8963387012512345,0.0,0.17879619169980288,0.0,0.0013581332243914348,0.0
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M1_E_SEQUENCE,0.25,13098.0,3274.0,0.0,0.0,False,0.019192755380735973,,,P,15,0,0.0011039545731058504,0.0,29.574221831591174,0.0,0.9017585817742864,0.0,0.17556245227654774,0.0,0.001279517025382398,0.0
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M1_E_SEQUENCE,0.25,13098.0,3274.0,0.0,0.0,False,0.019192755380735973,,,IP,16,0,0.001179337032691632,0.0,29.373566793172266,0.0,0.8963387012512345,0.0,0.17879619169980288,0.0,0.0013581332243914348,0.0
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M1_E_SEQUENCE,0.5,13098.0,6549.0,0.0,0.0,False,0.019192755380735973,,,P,15,0,0.0011039545731058504,0.0,29.574221831591174,0.0,0.9017585817742864,0.0,0.17556245227654774,0.0,0.001279517025382398,0.0
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M1_E_SEQUENCE,0.5,13098.0,6549.0,0.0,0.0,False,0.019192755380735973,,,IP,16,0,0.001179337032691632,0.0,29.373566793172266,0.0,0.8963387012512345,0.0,0.17879619169980288,0.0,0.0013581332243914348,0.0
