trajectory_id,parent_trajectory_id,frame,beam_rank,cumulative_estimated_bits,cumulative_actual_bytes,cumulative_RGB_MSE,number_2x_blocks_used,number_4x_blocks_used,bitstream_hash,decoded_w1_hash,DPB_state_hash,mode_history_hash,is_baseline_path
T105,T77,5,3,20814.155029296875,23149,0.03224594285711646,111,0,23f00a4dd7ea2b2d0d5f6ea98bbef4c9a236e3e58f1049f7056598b82d5aaed6,dc73791c62c16c44b096170dd89f4e12c6606234f8fe8ac3078540572c7c4a84,916a626145e89903a31c00e738b43357a0d93347ca1c5a9fefa0903a8a658606,e3944392a60b9c08d69191eed90f895ca39011b66d25688f853ef2b2fa032587,False
T95,T57,5,4,21267.5947265625,23121,0.03229638980701566,21,0,a92b00fdfa59dcec838c6619f25928a988f1c7239b8a5339ab087d9ec1f9d818,8452b0eeb24f282cf9db40598d0ef499125294265f7c316f7335a99a571e1b4b,9c1ca4aa16e4b96ff4e6ac5a402a96deb6f53f0c578c4a2c7248f427be2c28b3,5aab58811983bb28b919cc70dec305e8720a6d4b2ef911386002465679611dd6,False
T94,T57,5,5,21360.964599609375,23120,0.032297888305038214,12,0,b5708bd82d64a115d1e823cc894931b8f244336de3dd2d22bc498f5adf3c1642,6dd5bb3b329868a9cec41dcfeee504965b769cb8dd33f53cade0ed5c2beeec04,f723c91611ddad53995be99fa44bf413e53356d1719b66c392c9dc9c912c0444,b7d6abc07be6c984abe04274178d7f086280cecd1a846ad213e282b77026f8c8,False
T96,T57,5,6,21098.004638671875,23112,0.03230240708217025,34,0,1427cdf8d7308371700e1431535b92aa04d27aa28f37fb0ce89d041b63145b75,c9797fabc3ff769a126d9c7da1f3e1e618da044bac324e3f655a00048cc848c4,a3e1aaf272d47b043e568c75f270264f59a3eb9b12f41c7d99d2ca41b3c30c66,da121aba3c62222b6cb67d678cddafd4bb802a17a8fdaa73867479853cfece4e,False
T100,T61,5,7,20383.615966796875,23434,0.03223741985857487,395,0,d60b612db2f6f4e3c547d069d74f213e55ddf4fa218d3c4efd973dc2dc5945b6,ee150522ba46ad1ea13fb437c3b632acce90889af2d0c122202ca0d1406b408a,31c2419824bee04834f18d8cf68780db809bf23e5aa7b1a242c0859029bccae6,be5d04581551fe7ad89c1bfa9e4dee53740d7ad47c585d9cd62fc4ab9c84dde5,False
BASELINE_PATH,BASELINE_PATH,5,-1,21455.856201171875,23072,0.032298591919243336,0,0,6793bee6e3c2d080f7804b5ddda24553f6ecbbcb46a38ef4215312f26c897a17,c29b341c5b73c91b07832c6c9bc2403bf322cabacb43f40bcc5901935b52f1b9,889a2d5bf981a12971ab4a0c656db7893bb3d7ffbcd0b533ffa962eba8020be6,d6380914165615c89607d16460b319d67e4895ddb4b0973ad07fbdde71f3d891,True
T145,T105,6,0,23224.031494140625,25167,0.0367004806175828,111,0,39e6a090166b7c937772e4c1dce3887fc5405d9c0abf4510147b6f4c5b1ca9f6,942369eb5a4dcf1ce54cb8d31f81a8be98f5c90ac8ade6c37766361418a68fd9,123caa62a49c1202a4a060ced0014b7d6ae15925372e22daa8aa1c244bfbba66,ac4a03f013806b93b8e24d528826d43d45c92f8866990fbc777265274662d4ea,False
T153,T94,6,1,24003.663330078125,25142,0.03678174037486315,12,0,7ea793dea6992b9b4c2d0c3106fad442c4eac953f15827e4e2a7a12e78befa89,0c6bf1d68a551242fef2dce7fdfa5ec3a670b4ab37dee8ac2d8b0b32376496e2,ccaa2f63bb8fc0b3b6da0e09a3a21b9c90ccd16a44e544e1978b561f0d6ff7b3,aa3a80b0e3b169b68efbca4fc9d8b7a4a8345095507b02fca09ab239baed4ff8,False
T146,T105,6,2,23008.883544921875,25254,0.03670547204092145,229,0,db59fa130cf559cdd03d43113f3f4405ada3be4feea82599829ae496bc38e699,6791fd54ddf94f179a92f96027c2b0e6d278e4919cd105a4cae720988752f12f,294d216102db2e030b50048d265fff6d48542a3d53b5e6d368da0d3ef3337275,a8c0e500ef2edabaeac9e42434260fb2e4e07f06c099d7ecaa7b7b97f7864f4c,False
T141,T97,6,3,23099.8896484375,25417,0.03670734679326415,361,0,33221fa397e4f54851f135f1a6ab762e71df1269c536127ea0965e4a4bab0661,523d27077b4a2b7e93790712ace01bd19f97b56f0be46efc62c72aef1af73bf8,8bd1047ca2e224f1df104e29a2fb6a8f605e59ad88d1a5b2ac6e7879ad651c22,c750a097e825a5ccb146719cd3c276b373561f57794ed67882ddd727d78535f3,False
