method,kind,video,scope,frames,delta,target_P_frames,duration_seconds,base_bits,enhancement_bits,base_kbps,enhancement_kbps,total_kbps,total_bpp,actual_enhancement_fraction,diagnostic,rate_scope,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,ms_ssim_gain_vs_ZERO_D,lpips_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_minus_ORIGINAL,lpips_minus_ORIGINAL,cohort
train2_full_CODED_l0,LEARNED,ALL,P,30,1.1303311586380005,30,1.0672,197744,605744,185.29235382308846,567.6011994003,752.8935532233884,0.012108892746913581,3.063273727647868,False,complete I/P sequence,24.57349187849059,0.865665727412363,0.22387588620185853,0.6214363537102925,0.022396043909859095,-0.053195586800575255,2.6757439247708446,0.03251261683729263,0.03670184363921483,Train2_full
train2_full_CODED_l0,LEARNED,ALL,IP,32,1.1303311586380005,30,1.0672,197744,605744,185.29235382308846,567.6011994003,752.8935532233884,0.012108892746913581,3.063273727647868,False,complete I/P sequence,24.343793573141046,0.8583089232584755,0.22550490032881498,0.5825965816033992,0.0209962911654929,-0.0498708626255393,2.508509929472667,0.030480578284961844,0.034407978411763906,Train2_full
train2_full_CODED_l1,LEARNED,ALL,TARGET_P,30,2.260662317276001,30,1.0672,197744,488872,185.29235382308846,458.088455772114,643.3808095952024,0.010347583912037037,2.472246945545756,False,complete I/P sequence,24.57110568094088,0.8656165837661227,0.2239479238788287,0.6190501561605847,0.022346900263618772,-0.05312354912360509,2.6733577272211373,0.03246347319105231,0.036773881316184996,Train2_full
train2_full_CODED_l1,LEARNED,ALL,P,30,2.260662317276001,30,1.0672,197744,488872,185.29235382308846,458.088455772114,643.3808095952024,0.010347583912037037,2.472246945545756,False,complete I/P sequence,24.57110568094088,0.8656165837661227,0.2239479238788287,0.6190501561605847,0.022346900263618772,-0.05312354912360509,2.6733577272211373,0.03246347319105231,0.036773881316184996,Train2_full
train2_full_CODED_l1,LEARNED,ALL,IP,32,2.260662317276001,30,1.0672,197744,488872,185.29235382308846,458.088455772114,643.3808095952024,0.010347583912037037,2.472246945545756,False,complete I/P sequence,24.341556512938197,0.8582628510901251,0.2255724356509745,0.5803595214005481,0.020950218997142597,-0.049803327303379774,2.506272869269816,0.03043450611661154,0.034475513733923435,Train2_full
train2_full_CODED_l2,LEARNED,ALL,TARGET_P,30,4.521324634552002,30,1.0672,197744,370488,185.29235382308846,347.15892053973016,532.4512743628186,0.00856348861882716,1.8735739137470668,False,complete I/P sequence,24.56269184586008,0.8654133658442676,0.22426478962103527,0.6106363210797792,0.022143682341763886,-0.05280668338139852,2.6649438921403314,0.03226025526919742,0.03709074705839157,Train2_full
train2_full_CODED_l2,LEARNED,ALL,P,30,4.521324634552002,30,1.0672,197744,370488,185.29235382308846,347.15892053973016,532.4512743628186,0.00856348861882716,1.8735739137470668,False,complete I/P sequence,24.56269184586008,0.8654133658442676,0.22426478962103527,0.6106363210797792,0.022143682341763886,-0.05280668338139852,2.6649438921403314,0.03226025526919742,0.03709074705839157,Train2_full
train2_full_CODED_l2,LEARNED,ALL,IP,32,4.521324634552002,30,1.0672,197744,370488,185.29235382308846,347.15892053973016,532.4512743628186,0.00856348861882716,1.8735739137470668,False,complete I/P sequence,24.333668542549937,0.8580723342883863,0.22586949728429317,0.572471551012293,0.020759702195403643,-0.04950626567006111,2.498384898881561,0.030243989314872585,0.0347725753672421,Train2_full
train2_full_CODED_l3,LEARNED,ALL,TARGET_P,30,9.042649269104004,30,1.0672,197744,255408,185.29235382308846,239.32533733133437,424.6176911544228,0.0068291859567901235,1.2916093535075652,False,complete I/P sequence,24.526481254411124,0.8645616508857821,0.2251031294465065,0.5744257296308278,0.02129196738327817,-0.05196834355592728,2.6287333006913802,0.03140854031071171,0.03792908688386281,Train2_full
train2_full_CODED_l3,LEARNED,ALL,P,30,9.042649269104004,30,1.0672,197744,255408,185.29235382308846,239.32533733133437,424.6176911544228,0.0068291859567901235,1.2916093535075652,False,complete I/P sequence,24.526481254411124,0.8645616508857821,0.2251031294465065,0.5744257296308278,0.02129196738327817,-0.05196834355592728,2.6287333006913802,0.03140854031071171,0.03792908688386281,Train2_full
train2_full_CODED_l3,LEARNED,ALL,IP,32,9.042649269104004,30,1.0672,197744,255408,185.29235382308846,239.32533733133437,424.6176911544228,0.0068291859567901235,1.2916093535075652,False,complete I/P sequence,24.299721113066546,0.8572738515148058,0.22665544087067246,0.5385241215289011,0.019961219421823287,-0.04872032208368182,2.464437469398169,0.02944550654129223,0.03555851895362139,Train2_full
train2_full_CONTINUOUS,CONTINUOUS,ALL,TARGET_P,30,,30,1.0672,197744,,185.29235382308846,,,,,True,complete I/P sequence,24.574244738030675,0.8656824809442275,0.22385343114535014,0.6221892132503738,0.022412797441723642,-0.05321804185708364,2.6764967843109266,0.032529370369157186,0.03667938858270645,Train2_full
train2_full_CONTINUOUS,CONTINUOUS,ALL,P,30,,30,1.0672,197744,,185.29235382308846,,,,,True,complete I/P sequence,24.574244738030675,0.8656824809442275,0.22385343114535014,0.6221892132503738,0.022412797441723642,-0.05321804185708364,2.6764967843109266,0.032529370369157186,0.03667938858270645,Train2_full
