cohort,video,method,kind,delta,base_bits,actual_enhancement_bits,budget_fraction,budget_bits,actual_fraction,actual_minus_budget_bits,within_budget,IP_PSNR_gain_vs_ZERO_D,IP_LPIPS_gain_vs_ZERO_D
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l2,DIRECT,0.09726191312074661,104784,4097336,0.1,10478.400000000001,39.10268743319591,4086857.6,False,3.101899089046464,-0.08036631904542446
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l2,DIRECT,0.09726191312074661,104784,4097336,0.25,26196.0,39.10268743319591,4071140.0,False,3.101899089046464,-0.08036631904542446
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l2,DIRECT,0.09726191312074661,104784,4097336,0.5,52392.0,39.10268743319591,4044944.0,False,3.101899089046464,-0.08036631904542446
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l3,DIRECT,0.19452382624149323,92960,3539960,0.1,9296.0,38.08046471600689,3530664.0,False,1.3889842191664632,-0.09443908743560314
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l3,DIRECT,0.19452382624149323,92960,3539960,0.25,23240.0,38.08046471600689,3516720.0,False,1.3889842191664632,-0.09443908743560314
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l3,DIRECT,0.19452382624149323,92960,3539960,0.5,46480.0,38.08046471600689,3493480.0,False,1.3889842191664632,-0.09443908743560314
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l3,DIRECT,0.19452382624149323,104784,2264352,0.1,10478.400000000001,21.609711406321576,2253873.6,False,2.598764524488243,-0.07436036365106702
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l3,DIRECT,0.19452382624149323,104784,2264352,0.25,26196.0,21.609711406321576,2238156.0,False,2.598764524488243,-0.07436036365106702
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l3,DIRECT,0.19452382624149323,104784,2264352,0.5,52392.0,21.609711406321576,2211960.0,False,2.598764524488243,-0.07436036365106702
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l4,DIRECT,0.38904765248298645,92960,799400,0.1,9296.0,8.599397590361447,790104.0,False,0.30596272152256976,-0.028100822120904922
