method,kind,video,scope,frames,delta,target_P_frames,base_bits,enhancement_bits,duration_seconds,rate_scope,base_kbps,enhancement_kbps,total_kbps,total_bpp,actual_enhancement_fraction,zero_increment_exact_frames,diagnostic,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,ms_ssim_gain_vs_ZERO_D,lpips_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_minus_ORIGINAL,lpips_minus_ORIGINAL,cohort
train2_ORIGINAL_FP32_q2,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,IP,16,,3,151192,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",283.20162137760906,0.0,283.20162137760906,0.004557050540123456,0.0,0,False,28.737828145196282,0.9197352089354025,0.118424360640347,-0.6357390249627828,0.02339650360573224,-0.0603718301281333,0.004476700964431313,1.3408026326128253e-05,-2.5004148483276367e-05,Train6_sparse
train2_ORIGINAL_FP32_q2,ORIGINAL_FP32,ALL,TARGET_P,6,,6,297040,0,1.0672,complete I/P sequence,278.33583208395805,0.0,278.33583208395805,0.004476514274691358,0.0,,False,22.748039652108798,0.8662180972108132,0.1595021424194177,-1.0787817190830016,0.02665560825747339,-0.12233506018916766,0.0017429456090714741,3.4823365477702297e-06,-8.927037318547567e-06,Train6_sparse
train2_ORIGINAL_FP32_q2,ORIGINAL_FP32,ALL,P,30,,6,297040,0,1.0672,complete I/P sequence,278.33583208395805,0.0,278.33583208395805,0.004476514274691358,0.0,,False,22.805379196322747,0.868304124181744,0.15706290900707245,-1.1466763284575496,0.025034440679240065,-0.12000856399536133,0.0018708310899724504,9.331873737083995e-07,-1.2923777103424072e-05,Train6_sparse
train2_ORIGINAL_FP32_q2,ORIGINAL_FP32,ALL,IP,32,,6,297040,0,1.0672,complete I/P sequence,278.33583208395805,0.0,278.33583208395805,0.004476514274691358,0.0,,False,22.74776771372064,0.8644834670712778,0.15956154325976968,-1.013429277817004,0.027170834978295238,-0.11581421969458461,0.0017539041468491723,8.748631628516246e-07,-1.2116041034460068e-05,Train6_sparse
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,TARGET_P,3,,3,183176,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",343.4552146595092,0.0,343.4552146595092,0.005521074459876543,0.0,0,False,17.033022719088212,0.8279014497032641,0.1883294035991033,-1.238437473202841,0.04732302478679359,-0.19360878566900888,0.00013736925643925701,1.6731522100021934e-06,5.826354026794434e-06,Train6_sparse
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,P,15,,3,183176,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",343.4552146595092,0.0,343.4552146595092,0.005521074459876543,0.0,0,False,17.032492655825077,0.8301148272670861,0.18667735854784648,-1.2973961607611728,0.04533404618261686,-0.19190313617388408,-0.0007690885885269931,-7.089423198158862e-06,2.8908252716064453e-06,Train6_sparse
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,IP,16,,3,183176,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",343.4552146595092,0.0,343.4552146595092,0.005521074459876543,0.0,0,False,17.006680213774835,0.8267552703318553,0.18764443509280682,-1.142146599141393,0.048468711475560304,-0.18431090004742146,-0.000721020551744056,-6.646334248273933e-06,2.7101486921310425e-06,Train6_sparse
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,TARGET_P,3,,3,183200,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",343.15662889820874,0.0,343.15662889820874,0.005521797839506173,0.0,0,False,29.131631788675985,0.9308218177187423,0.10595043500264485,-0.2505507614165694,0.03227526472853296,-0.07578578094641368,-0.002545776875301442,-1.7452555025424903e-05,1.1362135410308838e-05,Train6_sparse
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,P,15,,3,183200,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",343.15662889820874,0.0,343.15662889820874,0.005521797839506173,0.0,0,False,29.24526446695905,0.9323404086726145,0.10325943827629089,-0.3289577660153019,0.03058182275207575,-0.0723030130068461,0.0036605199217270012,6.842712549367154e-06,-1.3366838296254475e-05,Train6_sparse
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,IP,16,,3,183200,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",343.15662889820874,0.0,343.15662889820874,0.005521797839506173,0.0,0,False,29.183749308666833,0.9300608676686172,0.10545994527637959,-0.18981786149223367,0.03372216233894692,-0.07333624549210072,0.0034317374266190637,6.415043015031707e-06,-1.2531410902738571e-05,Train6_sparse
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,ALL,TARGET_P,6,,6,366376,0,1.0672,complete I/P sequence,343.30584707646176,0.0,343.30584707646176,0.005521436149691358,0.0,,False,23.0823272538821,0.8793616337110031,0.14713991930087408,-0.7444941173097052,0.039799144757663274,-0.13469728330771127,-0.0012042038094310925,-7.889701407711355e-06,8.594244718551636e-06,Train6_sparse
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,ALL,P,30,,6,366376,0,1.0672,complete I/P sequence,343.30584707646176,0.0,343.30584707646176,0.005521436149691358,0.0,,False,23.138878561392062,0.8812276179698503,0.14496839841206868,-0.8131769633882373,0.037957934467346306,-0.1321030745903651,0.0014457156666000041,-1.233553243958537e-07,-5.238006512324015e-06,Train6_sparse
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,ALL,IP,32,,6,366376,0,1.0672,complete I/P sequence,343.30584707646176,0.0,343.30584707646176,0.005521436149691358,0.0,,False,23.095214761220834,0.8784080690002363,0.1465521901845932,-0.6659822303168134,0.04109543690725361,-0.12882357276976109,0.0013553584374375038,-1.1564561662111283e-07,-4.910631105303764e-06,Train6_sparse
train2_ORIGINAL_q0,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,TARGET_P,3,,3,92960,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",174.3001089375681,0.0,174.3001089375681,0.0028018904320987656,0.0,0,False,16.103096126965685,0.767635447098311,0.23067706326643625,-2.168364065325365,-0.012942977818159415,-0.15126112600167593,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q0,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,P,15,,3,92960,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",174.3001089375681,0.0,174.3001089375681,0.0028018904320987656,0.0,0,False,16.107426171354657,0.7707371294569076,0.2278362363576889,-2.2224626452315888,-0.014043651627561448,-0.15074425836404165,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q0,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,IP,16,,3,92960,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",174.3001089375681,0.0,174.3001089375681,0.0028018904320987656,0.0,0,False,16.06526808301161,0.765120635455456,0.23063259292393923,-2.083558729904614,-0.013165923400838858,-0.14132274221628904,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q0,ORIGINAL,c227e33d-910e-4e39-a325-0fe1d1116436,TARGET_P,3,,3,104784,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",196.2736037252724,0.0,196.2736037252724,0.003158275462962963,0.0,0,False,27.62829931230318,0.8934629840734333,0.15008453528086343,-1.753883237789374,-0.005083568916776082,-0.03165168066819509,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q0,ORIGINAL,c227e33d-910e-4e39-a325-0fe1d1116436,P,15,,3,104784,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",196.2736037252724,0.0,196.2736037252724,0.003158275462962963,0.0,0,False,27.688069736084834,0.895569091693233,0.14651184876759846,-1.8861524968895163,-0.0061894942273056286,-0.029050602515538534,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q0,ORIGINAL,c227e33d-910e-4e39-a325-0fe1d1116436,IP,16,,3,104784,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",196.2736037252724,0.0,196.2736037252724,0.003158275462962963,0.0,0,False,27.605299204325142,0.8905360544915712,0.15156125091016293,-1.7682679658339215,-0.005802650838099027,-0.027234939858317375,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q0,ORIGINAL,ALL,TARGET_P,6,,6,197744,0,1.0672,complete I/P sequence,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,,False,21.865697719634436,0.8305492155858721,0.19038079927364984,-1.9611236515573696,-0.009013273367467748,-0.0914564033349355,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q0,ORIGINAL,ALL,P,30,,6,197744,0,1.0672,complete I/P sequence,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,,False,21.897747953719747,0.8331531105750704,0.1871740425626437,-2.0543075710605527,-0.010116572927433539,-0.0898974304397901,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q0,ORIGINAL,ALL,IP,32,,6,197744,0,1.0672,complete I/P sequence,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,,False,21.835283643668376,0.8278283449735137,0.19109692191705108,-1.9259133478692678,-0.009484287119468943,-0.08427884103730321,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q1,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,TARGET_P,3,,3,115496,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",216.55513534695962,0.0,216.55513534695962,0.003481143904320988,0.0,0,False,16.45531558935982,0.7926275234599182,0.21530420084794363,-1.8161446029312316,0.012049098543447823,-0.16663398842016855,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q1,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,P,15,,3,115496,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",216.55513534695962,0.0,216.55513534695962,0.003481143904320988,0.0,0,False,16.443835490418042,0.7945999596173048,0.2131692816813787,-1.8860533261682055,0.009819178532835633,-0.16541121304035186,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q1,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,IP,16,,3,115496,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",216.55513534695962,0.0,216.55513534695962,0.003481143904320988,0.0,0,False,16.40242925570778,0.7893775473112828,0.2155144615098834,-1.7463975572084465,0.011090988454987953,-0.15644087363034487,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q1,ORIGINAL,c227e33d-910e-4e39-a325-0fe1d1116436,TARGET_P,3,,3,123928,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",232.13272219485378,0.0,232.13272219485378,0.0037352912808641977,0.0,0,False,28.1317008154092,0.9070924331532373,0.13172282775243124,-1.2504817346833537,0.00854588016302793,-0.0500133881966273,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q1,ORIGINAL,c227e33d-910e-4e39-a325-0fe1d1116436,P,15,,3,123928,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",232.13272219485378,0.0,232.13272219485378,0.0037352912808641977,0.0,0,False,28.198010580243032,0.9089874917964277,0.12828913529713948,-1.3762116527313146,0.007228905875889261,-0.047273315985997516,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q1,ORIGINAL,c227e33d-910e-4e39-a325-0fe1d1116436,IP,16,,3,123928,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",232.13272219485378,0.0,232.13272219485378,0.0037352912808641977,0.0,0,False,28.124937608016,0.904883631896704,0.1324452105909586,-1.2486295621430645,0.008544926567033692,-0.046350980177521706,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q1,ORIGINAL,ALL,TARGET_P,6,,6,239424,0,1.0672,complete I/P sequence,224.34782608695653,0.0,224.34782608695653,0.0036082175925925926,0.0,,False,22.293508202384512,0.8498599783065778,0.17351351430018744,-1.5333131688072925,0.010297489353237876,-0.10832368830839793,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q1,ORIGINAL,ALL,P,30,,6,239424,0,1.0672,complete I/P sequence,224.34782608695653,0.0,224.34782608695653,0.0036082175925925926,0.0,,False,22.320923035330534,0.8517937257068662,0.17072920848925907,-1.6311324894497603,0.008524042204362448,-0.10634226451317469,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q1,ORIGINAL,ALL,IP,32,,6,239424,0,1.0672,complete I/P sequence,224.34782608695653,0.0,224.34782608695653,0.0036082175925925926,0.0,,False,22.263683431861892,0.8471305896039933,0.173979836050421,-1.4975135596757556,0.009817957511010823,-0.10139592690393329,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q2,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,TARGET_P,3,,3,145848,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",273.46517091573185,0.0,273.46517091573185,0.004395978009259259,0.0,0,False,16.802918536805983,0.8114227686448214,0.20029892524083456,-1.4685416554850679,0.030844343728351025,-0.18163926402727762,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q2,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,P,15,,3,145848,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",273.46517091573185,0.0,273.46517091573185,0.004395978009259259,0.0,0,False,16.79477083575362,0.8136228840461082,0.19890631635983785,-1.5351179808326259,0.028842102961638954,-0.1796741783618927,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q2,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,IP,16,,3,145848,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",273.46517091573185,0.0,273.46517091573185,0.004395978009259259,0.0,0,False,16.758676174915735,0.8092433835071535,0.200697953812778,-1.3901506380004922,0.03095682465085866,-0.17125738132745028,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q2,ORIGINAL,c227e33d-910e-4e39-a325-0fe1d1116436,TARGET_P,3,,3,151192,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",283.20162137760906,0.0,283.20162137760906,0.004557050540123456,0.0,0,False,28.689674876193475,0.9210064611037095,0.11872321367263794,-0.6925076738990784,0.02245990811350022,-0.0630130022764206,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q2,ORIGINAL,c227e33d-910e-4e39-a325-0fe1d1116436,P,15,,3,151192,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",283.20162137760906,0.0,283.20162137760906,0.004557050540123456,0.0,0,False,28.81224589471193,0.9229834979426325,0.1152453492085139,-0.7619763382624183,0.021224912022093763,-0.06031710207462311,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q2,ORIGINAL,c227e33d-910e-4e39-a325-0fe1d1116436,IP,16,,3,151192,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",283.20162137760906,0.0,283.20162137760906,0.004557050540123456,0.0,0,False,28.73335144423185,0.9197218009090764,0.11844936478883028,-0.6402157259272141,0.023383095579406113,-0.06034682597965002,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q2,ORIGINAL,ALL,TARGET_P,6,,6,297040,0,1.0672,complete I/P sequence,278.33583208395805,0.0,278.33583208395805,0.004476514274691358,0.0,,False,22.74629670649973,0.8662146148742655,0.15951106945673624,-1.0805246646920732,0.026652125920925623,-0.1223261331518491,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q2,ORIGINAL,ALL,P,30,,6,297040,0,1.0672,complete I/P sequence,278.33583208395805,0.0,278.33583208395805,0.004476514274691358,0.0,,False,22.803508365232776,0.8683031909943703,0.15707583278417586,-1.148547159547522,0.025033507491866357,-0.1199956402182579,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q2,ORIGINAL,ALL,IP,32,,6,297040,0,1.0672,complete I/P sequence,278.33583208395805,0.0,278.33583208395805,0.004476514274691358,0.0,,False,22.746013809573792,0.864482592208115,0.15957365930080414,-1.0151831819638533,0.027169960115132386,-0.11580210365355015,0.0,0.0,0.0,Train6_sparse
