cohort,method,video,residual_analysis_seconds,actual_entropy_encode_seconds,note,receiver_entropy_decode_seconds,receiver_base_decode_seconds,receiver_synthesis_seconds,receiver_peak_allocated_bytes,optimization_time_excluded_from_this_table
Train6_sparse,train6_CODED_l1,c227e33d-910e-4e39-a325-0fe1d1116436,0.024603217840194702,0.02533235400915146,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.0359991192817688,3.1856052353978157,2.5828084126114845,1184158208,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_CODED_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.024965673685073853,0.03601783514022827,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.04388381540775299,3.0834072083234787,2.558654047548771,1184158208,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_CODED_l2,c227e33d-910e-4e39-a325-0fe1d1116436,0.02523745596408844,0.020078785717487335,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.027788355946540833,3.1071954742074013,2.552653193473816,1184158208,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_CODED_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.02468790113925934,0.030341528356075287,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.04006920009851456,3.1923541873693466,2.5853707641363144,1184158208,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_CODED_l3,c227e33d-910e-4e39-a325-0fe1d1116436,0.02414286881685257,0.01556764543056488,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.028730131685733795,3.2305702716112137,2.5405099987983704,1184158208,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_CODED_l3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.024442806839942932,0.02543344348669052,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.03404463082551956,3.0073894187808037,2.5608965009450912,1184158208,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_DIRECT_l0,c227e33d-910e-4e39-a325-0fe1d1116436,0.022465825080871582,0.9472470059990883,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,1.2440057173371315,3.399782568216324,2.568153366446495,1183576576,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_DIRECT_l0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.04800618439912796,1.0510839223861694,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,1.3887093365192413,3.245555818080902,2.586056336760521,1183576576,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_DIRECT_l1,c227e33d-910e-4e39-a325-0fe1d1116436,0.017046354711055756,0.7517824843525887,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,1.0800876542925835,3.147598944604397,2.541657231748104,1183576576,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_DIRECT_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.030437812209129333,0.8748131021857262,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,1.1641516610980034,3.1279412880539894,2.5185764357447624,1183576576,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_DIRECT_l2,c227e33d-910e-4e39-a325-0fe1d1116436,0.01718650758266449,0.5698857456445694,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.8490830138325691,3.2904669865965843,2.569595769047737,1183576576,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_DIRECT_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0171680748462677,0.6689435094594955,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.9407485350966454,3.0892665535211563,2.5631841644644737,1183576576,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
