dataset,video,qp,granularity,frame,trajectory_id,cumulative_actual_bytes,baseline_prefix_bytes,rate_ratio,cumulative_pixel_SSE,aggregate_MSE,beam_rank,bitstream_hash,DPB_hash
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,2,fresh_ulong_00_qp1_G16_T16,11933,12157,0.981574401579337,138979.88692026088,0.007447053268618231,13,4a48d0384a11778424bd6b190f9b610a46704bc8c40a8f374d0dfc1fa55bde32,661e1ff4dc94bb8e29d882774773298429d6fb00203eaf7dd08ed55a6e5c6020
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,2,fresh_ulong_00_qp1_G16_T31,12196,12157,1.0032080282964546,136145.21804502053,0.007295161289277935,14,4ecbc52daebae2fd2bc64dc5ef2d3e023f9c8b9cb924eef9555a187534a99398,eb797e890417bf5a9bdfea9148b2e688748a11563efe936dc30a5cf2f38020e9
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,2,fresh_ulong_00_qp1_G16_T32,12212,12157,1.0045241424693592,136146.93400594674,0.007295253236772695,15,adfce74d82014ec30742e614217e886b7bad57c9f40ac11ed4bfe1c4d5a741e2,480c7e75a5877f94f1e07be4289ed318461a9d997d136d54197fbee3879c839d
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,3,fresh_ulong_00_qp1_G16_T53,12935,13089,0.9882343952937581,175656.42073742353,0.007059237587505768,0,e6ae9624299d0a7a9e5202af2e1806154d06daa8ca65302c4d17a5f6b694aa6a,2ee80c63c509f4e3a7c12146e390294400805b38fe3c4a3e7c617b285858ebbf
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,3,fresh_ulong_00_qp1_G16_T75,12917,13089,0.9868591947436779,175747.34580621094,0.00706289166209374,1,6982eea46fdeb74d20b8f92b781e7a924733521d6bc5213339c5eac58527467e,42b4002b7522e84e97bb47eb8e804a23a9e04e524857cdef4c994f19afa9dec4
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,3,fresh_ulong_00_qp1_G16_T55,13083,13089,0.9995415998166399,174057.19214130833,0.006994968176975161,2,efaefbbc0827d746126a38fc093e06bedbe3d59809c395eea859df44e490a9b3,9f85aa8bc674aa75cbac9a22e39dd1c5ea52e8b7922393036dc0c722cf2d8c87
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,3,fresh_ulong_00_qp1_G16_T57,13066,13089,0.9982427992971197,174102.46551426733,0.006996787612295337,3,48d52de1423acae0ffbdedc15d8d4857196f9ebb607c721df801664a423a8ec8,eef4e00b43cb34bbb9d79f3fe46e3b0883ace525f97983bb8db495689e3cb372
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,3,fresh_ulong_00_qp1_G16_T65,13107,13089,1.0013752005500802,173606.03711286804,0.006976837268231901,4,ebe722b76698a1f7ed319f4d2aa3258aecd37906f0c6db24d20616ddb7204087,9ccc51f101b70d27925c628546b23bf0e489275122a20a846f214f187f8fd5e8
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,3,fresh_ulong_00_qp1_G16_T67,13093,13089,1.0003056001222401,173970.2922409859,0.006991475864880156,5,016bd891a34d30fb797268187d3da742ae6676abda6ceb7639ce2220169698e8,ac355c3b025599eaf5dd33363eba8936067dd6546567f6c5f34d4f344b23ff55
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,3,fresh_ulong_00_qp1_G16_T69,13022,13089,0.9948811979524792,174964.73837832193,0.007031440424797531,6,d6be8c85eb6b5411f64778845109f9f048496cb62b3f70f0b485c2aacb3fecf1,958bc0166380f784afb82348c878a3c33b2f6cb41ac519de05d16608ac069f03
