dataset,video,video_id,qp,granularity,frame,candidate_name,number_tiles,FULL_tiles,PRED_ONLY_tiles,CORR2_tiles,CORR4_tiles,actual_frame_bytes,pixel_SSE,MSE,mean_frame_PSNR,LPIPS,DISTS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,8,MIX_L0.03,40,37,3,0,0,532,35344.14471019825,0.005681607406586409,22.455287622390742,0.20231369137763977,0.06589782238006592
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,9,FULL_000,40,40,0,0,0,1155,34619.735257884226,0.0055651580914855,22.54522496470718,0.20724405348300934,0.0664823055267334
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,9,MIX_L0,40,33,0,7,0,1181,34631.26437446386,0.005567011423408985,22.5437789114272,0.20733363926410675,0.06662905216217041
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,9,MIX_L0.01,40,36,4,0,0,1178,34616.619149504404,0.005564657039940357,22.545615889008978,0.20732007920742035,0.06662845611572266
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,9,MIX_L0.03,40,38,2,0,0,1188,34624.86063242011,0.005565981846302748,22.544582049009843,0.20723383128643036,0.0665360689163208
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,10,FULL_000,40,40,0,0,0,617,34808.67839895087,0.005595530848950148,22.521587044204377,0.21615630388259888,0.07201218605041504
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,10,MIX_L0,40,20,0,20,0,659,34814.16857790518,0.005596413277089596,22.520902109722954,0.2162138968706131,0.07203936576843262
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,10,MIX_L0.01,40,36,4,0,0,655,34819.11686945996,0.005597209092229605,22.52028487165731,0.21622079610824585,0.07200151681900024
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,10,MIX_L0.03,40,39,1,0,0,657,34799.01070036297,0.005593976471573114,22.522793413279622,0.21613015234470367,0.07200288772583008
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,11,FULL_000,40,40,0,0,0,387,36023.6161296138,0.005790832918137312,22.372589328055724,0.22306475043296814,0.0727837085723877
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,11,MIX_L0,40,17,0,23,0,434,36020.49493748964,0.005790330935269594,22.37296562987894,0.22306761145591736,0.07278871536254883
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,11,MIX_L0.01,40,39,1,0,0,427,36002.35051080599,0.005787414964288473,22.375153831276332,0.22307971119880676,0.07276815176010132
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,12,FULL_000,40,40,0,0,0,995,34816.342233477655,0.005596762988716364,22.520630962316453,0.23224490880966187,0.0769658088684082
