scope,dataset,video,video_id,qp,granularity,frame,channel,tile,num_symbols,exact_match_rate,MAE,mean_squared_error,RMSE,signed_error
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,41,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,42,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,43,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,44,,514080,0.9988212557066054,0.0011788049319182477,0.0011788049319182477,0.03433372877970361,-0.00017896048412362615
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,45,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,46,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,47,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,48,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,49,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,50,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,51,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,52,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,53,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,54,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,55,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,56,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,57,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,58,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,59,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,60,,514080,0.9971872672202096,0.0028127919441820787,0.0028127919441820787,0.05303576099371139,-0.00017507003628582294
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,61,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,62,,514080,1.0,0.0,0.0,0.0,0.0
CHANNEL,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,63,,514080,1.0,0.0,0.0,0.0,0.0
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,0,1032192,0.9998721168154762,0.00012788318452380953,0.00012788318452380953,0.01130854475712103,-1.5500992063492063e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,1,1032192,0.9998294890873016,0.0001705109126984127,0.0001705109126984127,0.013057982719333514,-1.743861607142857e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,2,1032192,0.9998091440352183,0.00019085596478174603,0.00019085596478174603,0.01381506296698448,3.9721292162698414e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,3,1032192,0.9997074187748016,0.0002925812251984127,0.0002925812251984127,0.01710500585204263,-4.0690104166666664e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,4,1032192,0.9997926742311508,0.00020732576884920634,0.00020732576884920634,0.014398811369318176,-2.1313864087301586e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,5,1032192,0.9998740544394841,0.00012594556051587303,0.00012594556051587303,0.01122254697098092,-7.750496031746031e-06
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,6,1032192,0.9998575846354166,0.00014241536458333334,0.00014241536458333334,0.011933790872280834,-3.9721292162698414e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,7,516096,0.9999612475198413,3.8752480158730157e-05,3.8752480158730157e-05,0.006225149006949967,-2.3251488095238094e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,8,1032192,0.9998943994915674,0.00010560050843253969,0.00010560050843253969,0.010276210801289534,-2.4220300099206348e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,9,1032192,0.999846927703373,0.00015307229662698413,0.00015307229662698413,0.0123722389496398,3.875248015873016e-06
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,10,1032192,0.9996599469866071,0.00034005301339285713,0.00034005301339285713,0.018440526386002572,-4.8440600198412696e-06
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,11,1032192,0.9996124751984127,0.00038752480158730157,0.00038752480158730157,0.01968564963589725,-1.3563368055555555e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,12,1032192,0.9995388454861112,0.0004611545138888889,0.0004611545138888889,0.02147450846675865,-8.719308035714286e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,13,1032192,0.9998294890873016,0.0001705109126984127,0.0001705109126984127,0.013057982719333514,-3.487723214285714e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,14,1032192,0.999939933655754,6.006634424603174e-05,6.006634424603174e-05,0.007750248011904635,-1.743861607142857e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,15,516096,0.9999748108878969,2.5189112103174602e-05,2.5189112103174602e-05,0.005018875581559539,-1.937624007936508e-06
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,16,1032192,0.9997975182911706,0.0002024817088293651,0.0002024817088293651,0.014229606770018808,-9.68812003968254e-07
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,17,1032192,0.999815925719246,0.00018407428075396825,0.00018407428075396825,0.013567397714888742,1.937624007936508e-06
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,18,1032192,0.9996008494543651,0.0003991505456349206,0.0003991505456349206,0.019978752354311832,1.1625744047619047e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,19,1032192,0.9996376643105159,0.000362335689484127,0.000362335689484127,0.01903511727003874,-1.743861607142857e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,20,1032192,0.9996463836185516,0.0003536163814484127,0.0003536163814484127,0.018804690410863262,-1.6469804067460317e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,21,1032192,0.9996173192584326,0.0003826807415674603,0.0003826807415674603,0.019562227418355515,2.4220300099206348e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,22,1032192,0.9998449900793651,0.00015500992063492063,0.00015500992063492063,0.012450298013899934,-1.3563368055555555e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,23,516096,0.9999166821676587,8.331783234126984e-05,8.331783234126984e-05,0.00912786022796525,9.688120039682539e-06
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,24,1032192,0.9998895554315477,0.00011044456845238095,0.00011044456845238095,0.010509261080227332,-7.750496031746031e-06
