dataset,video,video_id,qp,granularity,selection_label,target_rate_ratio,baseline_bytes,target_bytes,selection_type,selected_bytes,selected_rate_ratio,I_frame_bytes,z_bytes,w0_bytes,original_retained_w1_bytes,replacement_correction_bytes,mode_map_bytes,alignment_bytes,headers_bytes,MSE,PSNR,MS_SSIM,LPIPS,DISTS,total_pixel_SSE,total_pixels,aggregate_MSE,sequence_PSNR,mean_frame_PSNR,decode_status,bitstream_path,bitstream_sha256
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G16,BEST_RATE_WITH_NONWORSE_SSE,,78986,78985,REPLACEMENT,78772,0.997290659104145,7833,15443,43941,10669,47,109,0,730,0.0009644218735047616,30.16687898922759,0.9835774311795831,0.10476022004149854,0.06292755901813507,383966.43996142247,398131200,0.0009644218789218792,30.15732945756984,30.16687898922759,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_01_qp3_G16_BEST_RATE_WITH_NONWORSE_SSE_fresh_ulong_01_qp3_G16_T3591.bin,883321452dbd89c84e71c47f4b33a45a9c263ba3aff7b8d7583af568118b6855
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G16,BEST_SSE_UNDER_BASELINE_RATE,,78986,78986,REPLACEMENT,78969,0.9997847719849087,7833,15363,43895,11131,45,80,0,622,0.0009629351961848442,30.173697185811278,0.9836056996136904,0.10468014667276293,0.062076037749648094,383374.54961173725,398131200,0.0009629352073179325,30.164029341121857,30.173697185811278,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_01_qp3_G16_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_01_qp3_G16_T3564.bin,69bb23f04539b3646f781a536791e7609798d7cce0581217e6a8d0162ad69590
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G8,TARGET_0.99,0.99,35312,34958,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G8,TARGET_0.975,0.975,35312,34429,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G8,TARGET_0.95,0.95,35312,33546,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G8,TARGET_0.9,0.9,35312,31780,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G8,TARGET_0.8,0.8,35312,28249,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G8,BEST_RATE_WITH_NONWORSE_SSE,,35312,35311,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G8,BEST_SSE_UNDER_BASELINE_RATE,,35312,35312,REPLACEMENT,35312,1.0,3259,10668,18400,2732,0,0,0,253,0.0014269640669226646,28.47158724994585,0.981841198168695,0.07612672576215118,0.07411882560700178,568118.9261892335,398131200,0.001426964091709551,28.45586955384729,28.47158724994585,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_10_qp1_G8_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_10_qp1_G8_T3460.bin,6b3c2df67aabc382b1e31c2361aeb9766abd69f77fdef30a288bca23ef127aa1
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G16,TARGET_0.99,0.99,35312,34958,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
