scope,dataset,video,method,stage,qp,bitstream_path,bitstream_bytes,bitstream_sha256,real_rans
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_5000_qp1.bin,8283,459ff608a643d5545ba3ec9a58bdc613be24543022d384ef43f7afc3134a4aee,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_5000_qp3.bin,12519,3e99be4b0b006f55181d8abc0d6145a14aeeeae877ac0e5612a6158e4ec1a13b,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,original,original,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/original_qp0.bin,47024,5cc416a794a5e1045149867084a2d698d060296238df212bbe2cc05171c6961f,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,original,original,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/original_qp1.bin,57653,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,original,original,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/original_qp2.bin,76829,8803aa44de557839d7f6f3261007e8c5e0919f7bf1a25e1f86abac81ae8c9e83,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,original,original,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/original_qp3.bin,96549,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_stage_a,A,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/stage_a_qp0.bin,48363,6665602e437441ad35ccf19da4b266ffa559c1b8c6eaa9ef2cd55aa8511bb546,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_stage_a,A,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/stage_a_qp1.bin,59357,7073fed7c8c4d65b68ffc2430144699c856fc7cbad8dfc8c7e54d4fac166a45d,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_stage_a,A,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/stage_a_qp2.bin,78465,eb0056d2869df60b473921d133c98deb85c15c86d7988e05f847bb9a30531c74,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_stage_a,A,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/stage_a_qp3.bin,98301,e58dc5d821523d7cbd0df80fbef9d8a721f0f58242ea5cda485723043ee37151,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_low,B,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_low_qp0.bin,43541,1c9a7daad0933d12618c623f1e1b0d97911012926d2e0aaac8bbbfc3301abc21,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_low,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_low_qp1.bin,54841,661d56271a2a63990224baed748517f7497295cc9ea657ad820c33f9cd5d64d6,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_low,B,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_low_qp2.bin,70972,02c1472e2c2e734adc15e1b875465774a2c7160fa90183a0d040cdc600afd9ce,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_low,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_low_qp3.bin,88562,400bedffe876f055205cf901b6403f8822ea887bd39a9b6f54e37c5ada4893c4,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_mid,B,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_mid_qp0.bin,35908,72ea204b7029e610f0cd546f9b982ac276e813d087659abe3d039f2974758123,True
