stage,beta,beta_value,step,video,qp,bytes,bits,bpp,kbps,total_pixel_SSE,aggregate_MSE,PSNR,SSIM,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,state_sync_pass,compression_hash_before,compression_hash_after,bytes_consumed,decode_status,independent_decode_pass,finite
B,beta_mid,38.450627278978764,1000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,10526,84208,0.005076195987654321,315.78,499661.3984375,0.010040135481720598,19.98260426775993,0.8947344422340393,0.6936501637101173,0.2767646126449108,0.18230877071619034,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_1000_qp1.bin,f9bfc0c0e99e0c87d60035d7375313b751c19be9a6e29f9d55f735310dbcc27f,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,10526,PASS,True,True
B,beta_mid,38.450627278978764,1000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,17759,142072,0.008564332561728396,532.77,433641.91015625,0.008713547898908701,20.598049771180513,0.9082881733775139,0.7480762675404549,0.24798051454126835,0.15101268142461777,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_1000_qp3.bin,aafcf2d130dbcbd900866dcbb85defcc246d17128512b6701756955cdbd08847,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,17759,PASS,True,True
B,beta_mid,38.450627278978764,2000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,10119,80952,0.004879918981481482,303.57,605311.5546875,0.012163056895566085,19.1495726173823,0.8746121153235435,0.6742584407329559,0.3139458931982517,0.18060044199228287,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_2000_qp1.bin,f3f20f66d98e2a0d21cdf7dc0465b92c0b893b91ed3f632c1629a282f4937641,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,10119,PASS,True,True
B,beta_mid,38.450627278978764,2000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,17200,137600,0.008294753086419753,516.0,509355.51953125,0.01023492797412009,19.89915209235209,0.8915140107274055,0.7358177229762077,0.2824621256440878,0.15675632655620575,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_2000_qp3.bin,cc1bc0584671aa04bb9f8140ea3f88cb015cefa2e7da6c724e9ef041000101f8,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,17200,PASS,True,True
B,beta_mid,38.450627278978764,5000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,9891,79128,0.0047699652777777775,296.73,922701.4453125,0.01854065082691334,17.318750250148128,0.8428879901766777,0.6526558101177216,0.3209006264805794,0.18840879201889038,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_5000_qp1.bin,1f3047f7e1f56137fe2b767d6bb647ca1d70d7ce768668ff79d497f62d912ca0,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,9891,PASS,True,True
B,beta_mid,38.450627278978764,5000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,16899,135192,0.008149594907407407,506.97,792705.390625,0.01592852588543676,17.97824414371086,0.864527091383934,0.721931554377079,0.2835514061152935,0.16331971436738968,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_5000_qp3.bin,9d642c11a0167532f274b2cb2f56b10c08be9205fcef50e3821074b83ec53f42,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,16899,PASS,True,True
B,beta_high,115.35188183693629,0,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,12768,102144,0.0061574074074074074,383.04,393659.875,0.007910153738265174,21.018150756639685,0.9134660065174103,0.7267123237252235,0.25278439559042454,0.16803347319364548,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_0000_qp1.bin,7b9a26eb39330df0629c97ced0f523ea3b20540a6c37a34ab56b18d48c5c41b6,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,12768,PASS,True,True
B,beta_high,115.35188183693629,0,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,20854,166832,0.010056905864197531,625.62,334576.375,0.006722937061953447,21.72440954456159,0.9265279173851013,0.7882126495242119,0.218875702470541,0.1405101865530014,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_0000_qp3.bin,c3e2179ee2854aa1f857e6ffe0029bd90a034a38f760d16d288d203cb1909126,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,20854,PASS,True,True
B,beta_high,115.35188183693629,500,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,10185,81480,0.004911747685185185,305.55,926052.3828125,0.018607984158237285,17.303006723487016,0.8249149918556213,0.6732105240225792,0.376897469162941,0.20960260182619095,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_0500_qp1.bin,6bcd22a6ff4989cb22823668c55f766c76b73ef2182e8c62d669278477fea9ec,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,10185,PASS,True,True
B,beta_high,115.35188183693629,500,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,16809,134472,0.00810619212962963,504.27,859913.046875,0.017278988371170107,17.624816876487582,0.8378092125058174,0.7181676998734474,0.36587099358439445,0.19970598816871643,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_0500_qp3.bin,3a2b34680ad6d4a693e266d33b95396e056317460a152a4d50ec672e5ed36137,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,16809,PASS,True,True
B,beta_high,115.35188183693629,1000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,8260,66080,0.00398341049382716,247.8,937144.546875,0.018830868756329572,17.251296434789964,0.8148233778774738,0.6175858080387115,0.37569570913910866,0.20312269032001495,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_1000_qp1.bin,53c03c9f8e1c9de36230080b8c20bb67eced8132ac2852eb19bfa6a7b46bea9d,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,8260,PASS,True,True
B,beta_high,115.35188183693629,1000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,13757,110056,0.006634355709876544,412.71,862239.5546875,0.017325736936718347,17.61308283945956,0.8263417705893517,0.6516153141856194,0.3442685939371586,0.19559762626886368,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_1000_qp3.bin,46c10559e6c5f48407bb7a9cf22f5e3144ba3a51f12b203376c0c2535cf36e62,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,13757,PASS,True,True
B,beta_high,115.35188183693629,2000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,10205,81640,0.004921392746913581,306.15,1363073.65625,0.027389436572667503,15.624169015137726,0.8128669634461403,0.6497765257954597,0.36229343339800835,0.23505473136901855,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_2000_qp1.bin,1f4c1482eaf6c4b429cf1f6cc854f2556017cd760dbbd2f2e1446f803a8ec58a,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,10205,PASS,True,True
B,beta_high,115.35188183693629,2000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,17023,136184,0.008209394290123457,510.69,1198686.9765625,0.024086270587434493,16.18230439050318,0.8410872593522072,0.7116468921303749,0.32065924629569054,0.19990979880094528,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_2000_qp3.bin,2a74196fd242a6bd0708b256a791b402014c37365b924c5a55dc6fc3fb0a167f,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,17023,PASS,True,True
B,beta_high,115.35188183693629,5000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,8283,66264,0.0039945023148148144,248.49,2822523.4609375,0.05671544377205303,12.46298665415516,0.7021434269845486,0.5646839663386345,0.4002825766801834,0.24439962953329086,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_5000_qp1.bin,459ff608a643d5545ba3ec9a58bdc613be24543022d384ef43f7afc3134a4aee,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,8283,PASS,True,True
B,beta_high,115.35188183693629,5000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,12519,100152,0.006037326388888889,375.57,2521366.828125,0.050664038952486015,12.953001910781001,0.7109417021274567,0.6044418215751648,0.37618475034832954,0.23772623389959335,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_5000_qp3.bin,3e99be4b0b006f55181d8abc0d6145a14aeeeae877ac0e5612a6158e4ec1a13b,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,12519,PASS,True,True
